wrong_circle: truth tail above M=3/5/7/9 = 0.000 / 0.000 / 0.000 / 0.000; truth energy ratio 1.00, radius 50.0 mm
  hybrid_r0 stage 1 (M=3,  6 states): tail max 0.027 end 0.027; energy ratio max 1.06; min radius 35.72 mm
  hybrid_r0 stage 2 (M=5,  3 states): tail max 0.012 end 0.012; energy ratio max 1.03; min radius 35.79 mm
  hybrid_r0 stage 3 (M=7,  3 states): tail max 0.001 end 0.001; energy ratio max 1.01; min radius 39.78 mm
  hybrid_r0 stage 4 (M=9,  2 states): tail max 0.000 end 0.000; energy ratio max 1.00; min radius 46.79 mm
  spd_l     stage 1 (M=3,  6 states): tail max 0.007 end 0.000; energy ratio max 1.11; min radius 37.80 mm
  spd_l     stage 2 (M=5,  1 states): tail max 0.000 end 0.000; energy ratio max 1.00; min radius 50.00 mm
  spd_l     stage 3 (M=7,  1 states): tail max 0.000 end 0.000; energy ratio max 1.00; min radius 50.00 mm
  spd_l     stage 4 (M=9,  1 states): tail max 0.000 end 0.000; energy ratio max 1.00; min radius 50.00 mm
circle_to_star: truth tail above M=3/5/7/9 = 0.943 / 0.283 / 0.283 / 0.283; truth energy ratio 17.40, radius 5.1 mm
  hybrid_r0 stage 1 (M=3, 10 states): tail max 0.014 end 0.014; energy ratio max 1.05; min radius 37.71 mm
  hybrid_r0 stage 2 (M=5,  6 states): tail max 0.104 end 0.057; energy ratio max 15.00; min radius 11.44 mm
  hybrid_r0 stage 3 (M=7,  3 states): tail max 0.058 end 0.058; energy ratio max 13.28; min radius 11.83 mm
  hybrid_r0 stage 4 (M=9,  3 states): tail max 0.058 end 0.058; energy ratio max 13.20; min radius 11.83 mm
  spd_l     stage 1 (M=3, 10 states): tail max 0.006 end 0.000; energy ratio max 1.09; min radius 38.45 mm
  spd_l     stage 2 (M=5,  5 states): tail max 0.283 end 0.283; energy ratio max 17.42; min radius 5.11 mm
  spd_l     stage 3 (M=7,  1 states): tail max 0.283 end 0.283; energy ratio max 17.40; min radius 5.11 mm
  spd_l     stage 4 (M=9,  1 states): tail max 0.283 end 0.283; energy ratio max 17.40; min radius 5.11 mm
circle_to_c: truth tail above M=3/5/7/9 = 0.143 / 0.084 / 0.042 / 0.024; truth energy ratio 5.80, radius 14.6 mm
  hybrid_r0 stage 1 (M=3, 20 states): tail max 0.517 end 0.517; energy ratio max 6.46; min radius 2.14 mm
  hybrid_r0 stage 2 (M=5, 18 states): tail max 0.475 end 0.475; energy ratio max 7.52; min radius 2.01 mm
  hybrid_r0 stage 3 (M=7, 23 states): tail max 0.437 end 0.437; energy ratio max 7.89; min radius 1.88 mm
  hybrid_r0 stage 4 (M=9, 23 states): tail max 0.593 end 0.593; energy ratio max 16.32; min radius 1.75 mm
  spd_l     stage 1 (M=3,  8 states): tail max 0.887 end 0.887; energy ratio max 25.93; min radius 0.46 mm
kite: truth tail above M=3/5/7/9 = 0.613 / 0.579 / 0.447 / 0.353; truth energy ratio 7.61, radius 2.1 mm
  hybrid_r0 stage 1 (M=3, 14 states): tail max 0.557 end 0.557; energy ratio max 5.07; min radius 2.18 mm
  hybrid_r0 stage 2 (M=5, 23 states): tail max 0.460 end 0.455; energy ratio max 7.12; min radius 1.88 mm
  hybrid_r0 stage 3 (M=7, 15 states): tail max 0.399 end 0.399; energy ratio max 11.94; min radius 1.31 mm
  hybrid_r0 stage 4 (M=9,  8 states): tail max 0.418 end 0.418; energy ratio max 12.83; min radius 1.11 mm
  spd_l     stage 1 (M=3,  8 states): tail max 0.763 end 0.376; energy ratio max 14.72; min radius 0.66 mm
  spd_l     stage 2 (M=5, 18 states): tail max 0.808 end 0.659; energy ratio max 20.77; min radius 0.43 mm
  spd_l     stage 3 (M=7, 23 states): tail max 0.701 end 0.655; energy ratio max 16.13; min radius 0.94 mm
  spd_l     stage 4 (M=9,  3 states): tail max 0.624 end 0.624; energy ratio max 20.30; min radius 1.40 mm
peanut: truth tail above M=3/5/7/9 = 0.267 / 0.179 / 0.110 / 0.068; truth energy ratio 2.15, radius 13.5 mm
  hybrid_r0 stage 1 (M=3, 11 states): tail max 0.595 end 0.595; energy ratio max 4.01; min radius 1.94 mm
  hybrid_r0 stage 2 (M=5, 23 states): tail max 0.518 end 0.518; energy ratio max 4.78; min radius 1.65 mm
  hybrid_r0 stage 3 (M=7, 13 states): tail max 0.476 end 0.306; energy ratio max 8.45; min radius 1.49 mm
  hybrid_r0 stage 4 (M=9, 20 states): tail max 0.289 end 0.282; energy ratio max 12.38; min radius 1.27 mm
  spd_l     stage 1 (M=3,  8 states): tail max 0.485 end 0.267; energy ratio max 4.19; min radius 3.28 mm
  spd_l     stage 2 (M=5,  1 states): tail max 0.179 end 0.179; energy ratio max 2.15; min radius 13.50 mm
  spd_l     stage 3 (M=7,  1 states): tail max 0.110 end 0.110; energy ratio max 2.15; min radius 13.50 mm
  spd_l     stage 4 (M=9,  1 states): tail max 0.068 end 0.068; energy ratio max 2.15; min radius 13.50 mm
hook: truth tail above M=3/5/7/9 = 0.202 / 0.112 / 0.023 / 0.016; truth energy ratio 7.25, radius 11.7 mm
  hybrid_r0 stage 1 (M=3,  8 states): tail max 0.167 end 0.167; energy ratio max 6.67; min radius 7.88 mm
  hybrid_r0 stage 2 (M=5,  8 states): tail max 0.376 end 0.361; energy ratio max 10.34; min radius 7.88 mm
  hybrid_r0 stage 3 (M=7,  7 states): tail max 0.288 end 0.274; energy ratio max 10.94; min radius 9.34 mm
  hybrid_r0 stage 4 (M=9,  4 states): tail max 0.180 end 0.180; energy ratio max 10.76; min radius 9.51 mm
  spd_l     stage 1 (M=3,  8 states): tail max 0.870 end 0.870; energy ratio max 37.05; min radius 0.34 mm
