arm,bandwidth,bem_seconds,bem_solve_count,canonical_per_frequency_relative_field_error,case,conditioning_audit_seconds,conversion_seconds,failure_reason,gradient_calls,gradient_points,maximum_relative_field_error,maximum_system_condition,maximum_system_residual,nodes,per_frequency_relative_field_error,raw_geometry_m,returned_geometry_m,self_convergence_to_next_nodes,status,value_calls,value_points
shared_zero_method_b,1,0.02528297621756792,2,,circle_exact,0.0019358396530151367,0.1432004477828741,,4,372,6.565954041550747e-14,4389.076825019129,1.987472772074673e-15,64,"[2.2976444174060887e-14, 6.565954041550747e-14]",,8.08254562088053e-16,4.7774921152985075e-14,success,7,4789
shared_zero_method_b,1,0.08761622477322817,2,,circle_exact,0.011464333161711693,0.1432004477828741,,4,372,7.701175099233628e-14,4389.076825019131,5.008204245059053e-15,128,"[2.3154126320410412e-14, 7.701175099233628e-14]",,8.08254562088053e-16,3.813639810659635e-14,success,7,4789
shared_zero_method_b,1,0.32742900773882866,2,,circle_exact,0.08099022135138512,0.1432004477828741,,4,372,6.635818730475596e-14,4389.076825019142,2.9033076369030104e-15,256,"[2.1923098542921017e-14, 6.635818730475596e-14]",,8.08254562088053e-16,,success,7,4789
offsurface_zero_method_b,1,0.024357527494430542,2,,circle_exact,0.001844216138124466,0.2357473513111472,,7,660,7.583285426249624e-07,4389.0768367203655,2.12191234739904e-15,64,"[2.5905490942019166e-07, 7.583285426249624e-07]",,9.341971666950345e-09,3.499658827958161e-14,success,10,5077
offsurface_zero_method_b,1,0.08277408126741648,2,,circle_exact,0.01133684441447258,0.2357473513111472,,7,660,7.583285459675482e-07,4389.076836720354,5.094528698362049e-15,128,"[2.5905491002167494e-07, 7.583285459675482e-07]",,9.341971666950345e-09,4.970031134747785e-14,success,10,5077
offsurface_zero_method_b,1,0.32165630627423525,2,,circle_exact,0.07963122520595789,0.2357473513111472,,7,660,7.583285385840105e-07,4389.076836720358,2.6762494491839326e-15,256,"[2.59054909555152e-07, 7.583285385840105e-07]",,9.341971666950345e-09,,success,10,5077
distance_contacts,1,0.024449404329061508,2,,circle_exact,0.0018437337130308151,0.22484456095844507,,7,660,8.459588996880092e-07,4389.076833192741,2.166127389583758e-15,64,"[2.8599452230951074e-07, 8.459588996880092e-07]",,9.480437705378646e-09,2.8391726516046312e-14,success,9,4981
distance_contacts,1,0.08541739545762539,2,,circle_exact,0.011164075694978237,0.22484456095844507,,7,660,8.459588944406301e-07,4389.076833192769,4.976510164703387e-15,128,"[2.8599452338113055e-07, 8.459588944406301e-07]",,9.480437705378646e-09,4.409827585153692e-14,success,9,4981
distance_contacts,1,0.32162424363195896,2,,circle_exact,0.0800994411110878,0.22484456095844507,,7,660,8.459588962940285e-07,4389.07683319276,2.657544183784832e-15,256,"[2.8599452230636957e-07, 8.459588962940285e-07]",,9.480437705378646e-09,,success,9,4981
distance_tangent_jet,1,0.023495428264141083,2,,circle_exact,0.0018144985660910606,0.22458433080464602,,7,660,7.191916481237823e-07,4389.076831205303,2.040807217323977e-15,64,"[2.42798588644075e-07, 7.191916481237823e-07]",,7.908392206342217e-09,4.08376302257654e-14,success,9,4981
distance_tangent_jet,1,0.08169937133789062,2,,circle_exact,0.011159244924783707,0.22458433080464602,,7,660,7.191916543539559e-07,4389.076831205279,5.283808563245766e-15,128,"[2.4279858870872564e-07, 7.191916543539559e-07]",,7.908392206342217e-09,4.669110467251825e-14,success,9,4981
distance_tangent_jet,1,0.31612821482121944,2,,circle_exact,0.08143430110067129,0.22458433080464602,,7,660,7.1919164707519e-07,4389.0768312052805,2.969000408318517e-15,256,"[2.4279858882645575e-07, 7.1919164707519e-07]",,7.908392206342217e-09,,success,9,4981
projected_tangent_jet,1,0.025629661977291107,2,,circle_exact,0.0018331808969378471,0.22430194448679686,,8,756,7.191916602807241e-07,4389.076831205304,2.034146439475414e-15,64,"[2.4279859116632614e-07, 7.191916602807241e-07]",,7.908392150981477e-09,2.6882638986492666e-14,success,11,5173
projected_tangent_jet,1,0.08245566487312317,2,,circle_exact,0.01142303179949522,0.22430194448679686,,8,756,7.191916514892418e-07,4389.076831205275,5.391033107890492e-15,128,"[2.4279859072871345e-07, 7.191916514892418e-07]",,7.908392150981477e-09,3.14348236151096e-14,success,11,5173
projected_tangent_jet,1,0.3210581177845597,2,,circle_exact,0.07865996193140745,0.22430194448679686,,8,756,7.191916556723516e-07,4389.076831205264,2.582908095926993e-15,256,"[2.4279859134272753e-07, 7.191916556723516e-07]",,7.908392150981477e-09,,success,11,5173
