coefficient_error,curve,factor_seconds,field_error,gmres_seconds,interpolation_error,kd,plain_iterations,preconditioned_iterations,projection_error,rank,reconstruct_seconds,samples,spacing,stride,tolerance
0.006835560547615533,ellipse,0.0005592489615082741,0.0800277029073298,0.0008466560393571854,0.006839602788684405,4.3125,10,5,0.00023511888451446987,7,0.00034794805105775595,11,2.0,16,0.001
0.004315803119423212,ellipse,0.0005475929938256741,0.03751490500619346,0.0005486360751092434,0.004333980287800762,7.0625,13,5,0.00039652427169139463,7,0.0003300060052424669,11,2.0,16,0.001
0.000736808875986161,ellipse,0.0005539419362321496,0.00991577760341923,0.0005505509907379746,0.0011793182250534387,9.8125,15,5,0.000920817363285348,7,0.00031855294946581125,11,2.0,16,0.001
0.0023582185348915573,ellipse,0.0005505669396370649,0.015468317699825006,0.0005505760200321674,0.0025266371422369223,12.5625,17,5,0.0009070309616813051,7,0.000317714991979301,11,2.0,16,0.001
0.0023959487684629397,ellipse,0.0005572879454120994,0.012834503333963646,0.0005389279685914516,0.002439091167360588,15.4375,19,5,0.0004567235696363664,7,0.0003269599983468652,11,2.0,16,0.001
0.0010270172030244547,ellipse,0.0005508459871634841,0.0038477784747899878,0.00045658694580197334,0.00104312062646838,18.1875,21,4,0.00018258242308009007,7,0.0003281210083514452,11,2.0,16,0.001
0.006920154967157457,ellipse,0.0005505549488589168,0.022830028883634113,0.0005547279724851251,0.0069403174903878975,20.9375,23,5,0.0005286544065671978,7,0.0003257200587540865,11,2.0,16,0.001
0.006877619945383772,ellipse,0.0005529830232262611,0.021579973324410025,0.0005512860370799899,0.006889732655079368,23.8125,25,5,0.0004083721755020356,7,0.0003230269066989422,11,2.0,16,0.001
0.006867308654614115,ellipse,0.0005467480514198542,0.08269951028763631,0.000571505050174892,0.006867314494532244,4.3125,10,5,8.956163041232132e-06,10,0.0003543549682945013,11,2.0,16,1e-06
0.004335150711718804,ellipse,0.0005621289601549506,0.03701203183588968,0.0005667449440807104,0.004335152059936326,7.0625,13,5,3.419016409142536e-06,10,0.00034988101106137037,11,2.0,16,1e-06
0.0007400676764103873,ellipse,0.0005673449486494064,0.004721433278223613,0.0004680870333686471,0.0007400689766211445,9.8125,15,4,1.3872600536764472e-06,10,0.0003386150347068906,11,2.0,16,1e-06
0.0023623014970528644,ellipse,0.0005492999916896224,0.010607482203261388,0.00045936903916299343,0.0023623015849302273,12.5625,17,4,6.443511621694639e-07,10,0.0003416929394006729,11,2.0,16,1e-06
0.0024001163104050115,ellipse,0.0005524629959836602,0.009733434533104142,0.00045759801287204027,0.002400116311960908,15.4375,19,4,8.642572619101829e-08,10,0.000338564976118505,11,2.0,16,1e-06
0.0010296975715361847,ellipse,0.0005494160577654839,0.0032678085147847796,0.000455140951089561,0.0010296979517580428,18.1875,21,4,8.848888748201647e-07,10,0.0003405510215088725,11,2.0,16,1e-06
0.006933858290386398,ellipse,0.0005497609963640571,0.02139776607084787,0.0005442440742626786,0.006933859135296625,20.9375,23,5,3.4230890686861666e-06,10,0.00034320796839892864,11,2.0,16,1e-06
0.006895632467222637,ellipse,0.0005604290636256337,0.02126617211706427,0.000554127967916429,0.006895638025919994,23.8125,25,5,8.755863658818382e-06,10,0.00034406897611916065,11,2.0,16,1e-06
0.0005405093834341332,ellipse,0.000557294930331409,0.011239410069150317,0.0005451469914987683,0.0008260626196651161,4.3125,10,4,0.0006246832573662996,7,0.0005335800815373659,21,1.0,8,0.001
6.589541921667515e-06,ellipse,0.0005490879993885756,0.004361632856389368,0.00047935498878359795,0.0005494964433573607,7.0625,13,4,0.0005494569311718198,7,0.0004681990249082446,21,1.0,8,0.001
4.228550530015429e-05,ellipse,0.0005518069956451654,0.010299754852153222,0.00048063299618661404,0.0009418619814984013,9.8125,15,4,0.000940912285931372,7,0.00047379895113408566,21,1.0,8,0.001
0.00011737458751242829,ellipse,0.0005544960731640458,0.011632393681686058,0.00047377299051731825,0.0008325922329766194,12.5625,17,4,0.0008242772846437391,7,0.00047996698413044214,21,1.0,8,0.001
0.00012666887111674986,ellipse,0.0005508550675585866,0.006739834754377359,0.00046593707520514727,0.00036793674100866683,15.4375,19,4,0.0003454452842186446,7,0.0004603699781000614,21,1.0,8,0.001
5.512248345615893e-05,ellipse,0.0005524660227820277,0.002266566834568095,0.00046979496255517006,0.0002763409004735953,18.1875,21,4,0.00027078738027277386,7,0.0004523380193859339,21,1.0,8,0.001
7.5026352582117554e-06,ellipse,0.0005604319740086794,0.007360814495932623,0.00047170009929686785,0.0005373191433372159,20.9375,23,4,0.0005372667608154011,7,0.00046236999332904816,21,1.0,8,0.001
0.0007900396894463975,ellipse,0.0005509399343281984,0.002875946532290007,0.00046839506831020117,0.0007919569623589132,23.8125,25,4,5.5073779805582614e-05,7,0.00046063808258622885,21,1.0,8,0.001
0.0005472577084615843,ellipse,0.000556295970454812,0.0073548203500530636,0.0005030970787629485,0.0005472586346029072,4.3125,10,4,1.0068153683866346e-06,11,0.000596769037656486,21,1.0,8,1e-06
6.620138314318373e-06,ellipse,0.0005590770160779357,4.500136296404304e-05,0.0004162699915468693,6.620479951717588e-06,7.0625,13,3,6.725685749906415e-08,11,0.0006328739691525698,21,1.0,8,1e-06
4.236862471532888e-05,ellipse,0.0005515250377357006,0.00025928716223966856,0.00041750294622033834,4.236946003497418e-05,9.8125,15,3,2.66051440215344e-07,11,0.0005901150871068239,21,1.0,8,1e-06
