curve,field_error,gradient_error,kd,rank
ellipse,2.017044323023715,2.0858973333148842,4.5,5
ellipse,1.344025989727326,1.3694470103873866,8.5,5
ellipse,1.0196334066530033,1.1154499840640952,12.5,5
ellipse,1.0669075755012027,1.1128412111711266,16.5,5
ellipse,1.1448356212054127,1.3687393773045535,20.5,5
ellipse,2.011087231895613,2.066938551272851,4.5,10
ellipse,1.19383895422574,1.2407051772801057,8.5,10
ellipse,0.9595312877367372,1.089302399910218,12.5,10
ellipse,1.0824051969045763,1.2826605761265237,16.5,10
ellipse,1.213284300889394,1.5945407581978042,20.5,10
ellipse,0.26171917577518883,0.4618708072789239,4.5,20
ellipse,0.3455213507284848,0.4494637370342181,8.5,20
ellipse,0.6388588244886431,0.7897716480539153,12.5,20
ellipse,0.8591812832354412,1.0242844673973732,16.5,20
ellipse,0.9017945494518019,0.9975606591803657,20.5,20
ellipse,0.0004533813563666212,0.007558247818603409,4.5,40
ellipse,0.00041842375464554984,0.005035240831461103,8.5,40
ellipse,0.0007904613540620704,0.005900375948755847,12.5,40
ellipse,0.0011238832489071657,0.007451925640580129,16.5,40
ellipse,0.004049414779786276,0.019837686593249592,20.5,40
ellipse,3.9432382178587034e-13,4.858876361383703e-07,4.5,80
ellipse,6.442422542689304e-13,4.874516713804653e-07,8.5,80
ellipse,8.988374585037126e-13,5.323173124370452e-07,12.5,80
ellipse,1.4222190201962938e-12,7.105692511526386e-07,16.5,80
ellipse,1.5404276559535187e-12,6.898959870762239e-07,20.5,80
kite,1.4789347590310826,1.5169199479242657,4.5,5
kite,1.090113705797031,1.1734629483077004,8.5,5
kite,1.1117072440707911,1.1893989345535567,12.5,5
kite,1.031828235674492,1.0414700305651021,16.5,5
kite,1.1846718848904063,1.4595431806053896,20.5,5
kite,1.4675855480432123,1.5220425956571146,4.5,10
kite,1.091491867801584,1.153262559569275,8.5,10
kite,1.0261420300255313,1.0569137966663746,12.5,10
kite,1.1290542770823442,1.534135851402883,16.5,10
kite,1.2902344231068779,2.1174612951354557,20.5,10
kite,1.2356434288470466,1.254088178812185,4.5,20
kite,0.9378000152528623,1.0296637410101972,8.5,20
kite,0.9581601851019479,1.016086986316072,12.5,20
kite,1.1708650764921664,1.72982547427297,16.5,20
kite,0.989030676350739,1.4704312475564918,20.5,20
kite,0.017548917374212276,0.05466571533447835,4.5,40
kite,0.02505850237017524,0.06109223200990064,8.5,40
kite,0.040839749690775605,0.0842328191321,12.5,40
kite,0.07342549668542381,0.17338677214344003,16.5,40
kite,0.10509067407142834,0.2588942519951755,20.5,40
kite,7.251356301633885e-08,0.00017874700930232355,4.5,80
kite,1.308719968970047e-07,0.0001715648540358681,8.5,80
kite,2.0438059251770335e-07,0.00025239551403659566,12.5,80
kite,2.6903146031208815e-07,0.00022587469016119283,16.5,80
kite,9.366393396689118e-07,0.00047638754269591077,20.5,80
crescent,1.5626508384033226,1.7050998196243516,4.5,5
crescent,1.1436371326878032,1.1751784174393718,8.5,5
crescent,1.0658266252128543,1.1441615414451742,12.5,5
crescent,1.0266778882561456,1.0955053789251998,16.5,5
crescent,1.117361028919,1.3867426854200093,20.5,5
crescent,1.6115031056361644,1.731353210567941,4.5,10
crescent,1.1659358594317275,1.2649941490387777,8.5,10
crescent,1.1178236285608778,1.3385719722252214,12.5,10
crescent,1.0599904660122483,1.2424984861069974,16.5,10
crescent,1.2468582018299315,1.7520039433351642,20.5,10
crescent,1.4157050321795053,1.417302226479575,4.5,20
crescent,1.0248821823224286,1.078384687782478,8.5,20
crescent,1.0229677888178403,1.1213979878279887,12.5,20
crescent,1.151046687902989,1.6145112296182356,16.5,20
crescent,2.6789270382568104,7.0310945221871926,20.5,20
crescent,0.03690559054422045,0.31543096247846203,4.5,40
crescent,0.038129993046851905,0.22485987901472185,8.5,40
crescent,0.05043597419120711,0.21369551826450991,12.5,40
crescent,0.1318276046263721,0.44523666077172674,16.5,40
crescent,0.1746775352818879,0.6372451351444098,20.5,40
crescent,7.230820095801132e-07,0.002969670946749136,4.5,80
crescent,7.404891975346126e-07,0.003712755155624741,8.5,80
crescent,1.3041325746053494e-06,0.003421386756503085,12.5,80
crescent,2.075928906668474e-06,0.003985536540503669,16.5,80
crescent,4.247853011531735e-06,0.005782078710382477,20.5,80
