anchor_kd,axis,change,curve,delta,preconditioned_iterations,unpreconditioned_iterations
14.0,frequency,0.0,ellipse,0.0,1,18
14.0,geometry,0.0,ellipse,0.0,1,18
14.0,frequency,0.04412746190470607,ellipse,0.25,7,18
14.0,geometry,0.020624458597328296,ellipse,0.25,7,18
14.0,frequency,0.08934322855515678,ellipse,0.5,9,18
14.0,geometry,0.041249262603307454,ellipse,0.5,8,18
14.0,frequency,0.18246009058212445,ellipse,1.0,11,19
14.0,geometry,0.08250110400522202,ellipse,1.0,9,18
14.0,frequency,0.37541296490763615,ellipse,2.0,14,20
14.0,geometry,0.16501699669350306,ellipse,2.0,12,18
14.0,frequency,0.760841378626148,ellipse,4.0,18,21
14.0,geometry,0.3299730019332976,ellipse,4.0,14,18
14.0,frequency,0.0,kite,0.0,1,21
14.0,geometry,0.0,kite,0.0,1,21
14.0,frequency,0.11199745374168157,kite,0.25,8,21
14.0,geometry,0.024832847360121268,kite,0.25,6,21
14.0,frequency,0.22559527506340307,kite,0.5,10,22
14.0,geometry,0.04242337610802751,kite,0.5,7,21
14.0,frequency,0.45366184057311254,kite,1.0,15,22
14.0,geometry,0.0804544719232928,kite,1.0,8,21
14.0,frequency,0.8861351816890068,kite,2.0,16,23
14.0,geometry,0.1568568949885348,kite,2.0,11,21
14.0,frequency,1.4836861673947788,kite,4.0,27,25
14.0,geometry,0.3028006066376456,kite,4.0,12,21
14.0,frequency,0.0,crescent,0.0,1,28
14.0,geometry,0.0,crescent,0.0,1,28
14.0,frequency,0.10790179549147573,crescent,0.25,8,29
14.0,geometry,0.027733211769107598,crescent,0.25,7,28
14.0,frequency,0.21769287791046937,crescent,0.5,10,29
14.0,geometry,0.055112254604618285,crescent,0.5,8,28
14.0,frequency,0.43960598359361536,crescent,1.0,13,30
14.0,geometry,0.10873733380860531,crescent,1.0,10,28
14.0,frequency,0.8691868121487092,crescent,2.0,22,32
14.0,geometry,0.21107931863873736,crescent,2.0,12,28
14.0,frequency,1.5096993410387256,crescent,4.0,33,35
14.0,geometry,0.39414643093246987,crescent,4.0,16,28
