curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,parameter,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,rule,trace_error
circle,24,1.7016054108119002e-16,4.3895734876195325e-17,9.443343368333511e-11,6.259422184717758e-09,256,3.5,2.0,1,1,1,2.0,6.802633589603131e-16,1,1324,49,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13785922532278216,fjs_q1,1.986312751855758e-16
circle,24,1.7016054108119002e-16,0.0,1.3884947772846442e-12,6.259422184717758e-09,256,3.5,2.0,1,1,1,2.0,6.066729604546535e-16,1,2716,49,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.282798833819242,fjs_q2,1.965827821642489e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,3.5,2.0,1,1,1,2.0,5.554083138515027e-16,1,5116,49,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5326947105372761,fjs_q4,1.895337758484344e-16
circle,24,1.7016054108119002e-16,0.0,8.855719775426732e-13,6.259422184717758e-09,256,3.5,2.0,1,1,1,2.0,7.139179408951744e-16,1,2604,49,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27113702623906705,jwy_mu1.2,1.8603802953351003e-16
circle,24,5.575451929415153e-16,4.2213966513848725e-16,1.3001077426758492e-08,5.062706571102665e-08,256,3.5,10.0,1,1,1,10.0,1.932375133350872e-15,1,1324,49,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13785922532278216,fjs_q1,1.2335025629965347e-15
circle,24,5.575451929415153e-16,2.804795387110071e-16,1.791402549287352e-09,5.062706571102665e-08,256,3.5,10.0,1,1,1,10.0,1.860661363429686e-15,1,2716,49,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.282798833819242,fjs_q2,1.193258526341839e-15
circle,24,5.575451929415153e-16,3.505319840989285e-17,6.253796583960519e-13,5.062706571102665e-08,256,3.5,10.0,1,1,1,10.0,1.772356634323474e-15,1,5116,49,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5326947105372761,fjs_q4,1.142295956820099e-15
circle,24,5.575451929415153e-16,2.1477701531980202e-16,1.405156922525541e-09,5.062706571102665e-08,256,3.5,10.0,1,1,1,10.0,1.9467052251820917e-15,1,2604,49,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27113702623906705,jwy_mu1.2,1.1727138814732062e-15
circle,54,7.37181566688145e-16,1.913285334704048e-15,8.061805964790968e-08,3.673053287700986e-07,512,3.5,30.0,1,1,1,30.0,6.3791722781961215e-15,1,3844,109,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08088544735291642,fjs_q1,4.223099937171943e-15
circle,54,7.37181566688145e-16,1.9551162473399756e-15,6.221521577777402e-12,3.673053287700986e-07,512,3.5,30.0,1,1,1,30.0,6.301006776362311e-15,1,7924,109,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16673680666610555,fjs_q2,4.203824310167564e-15
circle,54,7.37181566688145e-16,1.3798935319236197e-15,5.04087668191773e-12,3.673053287700986e-07,512,3.5,30.0,1,1,1,30.0,6.169409659913731e-15,1,14764,109,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3106640855146873,fjs_q4,3.991959782624963e-15
circle,54,7.37181566688145e-16,1.5915776199133542e-15,1.6370141016341044e-09,3.673053287700986e-07,512,3.5,30.0,1,1,1,30.0,6.426184253951343e-15,1,6620,109,1.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13929803888561568,jwy_mu1.2,4.071290466235956e-15
ellipse,24,8.331431036509984e-16,0.005231661294326601,0.08967198109595145,8.315510751095986e-09,256,0.30951960420311164,2.0,1,1,1,2.0,0.003020783766989715,1,1324,49,1.0,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,0.13785922532278216,fjs_q1,0.004488772722665348
ellipse,24,8.331431036509984e-16,5.47501088362298e-07,7.575757249824663e-05,8.315510751095986e-09,256,0.30951960420311164,2.0,1,1,1,2.0,0.0004223913975768387,1,2716,49,2.0,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,0.282798833819242,fjs_q2,2.9466228954688334e-05
ellipse,24,8.331431036509984e-16,6.2607381765480626e-15,2.6672786506190225e-11,8.315510751095986e-09,256,0.30951960420311164,2.0,1,1,1,2.0,4.4289272280474225e-05,1,5116,49,4.0,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,0.5326947105372761,fjs_q4,1.0547520446091355e-09
ellipse,24,8.331431036509984e-16,4.2352112500354534e-07,5.023526898760383e-05,8.315510751095986e-09,256,0.30951960420311164,2.0,1,1,1,2.0,0.000647946750151423,1,2604,49,1.2,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,0.27113702623906705,jwy_mu1.2,8.293969474083274e-06
ellipse,24,1.062559454371746e-15,0.860392817058421,1.5424519411144086,6.201586944019784e-08,256,0.30951960420311164,10.0,1,1,1,10.0,0.26332341978742246,1,1324,49,1.0,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,0.13785922532278216,fjs_q1,0.6397987926454076
ellipse,24,1.062559454371746e-15,0.125269010331625,0.3160419140349757,6.201586944019784e-08,256,0.30951960420311164,10.0,1,1,1,10.0,0.06375571216373657,1,2716,49,2.0,0.9952582490238285,0.9952582490237714,0.9965262970872826,0.9930898045800879,0.3845560671082649,0.38455606710802676,0.3289956748367188,0.4416278807464809,0.34126370833747055,0.282798833819242,fjs_q2,0.11581134591396838
