curve,cutoff,cutoff_converged,field_error,gradient_error,gradient_step_consistency,grid,halfband,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,matrix_error,max_mode,nonzeros,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,retained,trace_error
circle,24,1.7016054108119002e-16,2.4290497904079607e-16,1.6520265055570558,6.259422184717758e-09,256,0,3.5,2.0,1,1,1,2.0,8.771546496162992e-16,1,196,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02040816326530612,2.0829669881200746e-16
circle,24,1.7016054108119002e-16,1.2310280720375695e-16,0.6950184017844151,6.259422184717758e-09,256,1,3.5,2.0,1,1,1,2.0,7.401476295509601e-16,1,580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.060391503540191585,2.0192572217566698e-16
circle,24,1.7016054108119002e-16,6.711653323476778e-17,0.26021624693367246,6.259422184717758e-09,256,2,3.5,2.0,1,1,1,2.0,6.998318158877823e-16,1,956,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09954185755935027,1.9934206241018215e-16
circle,24,1.7016054108119002e-16,4.3895734876195325e-17,9.443343368333511e-11,6.259422184717758e-09,256,3,3.5,2.0,1,1,1,2.0,6.802633589603131e-16,1,1324,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13785922532278216,1.986312751855758e-16
circle,24,1.7016054108119002e-16,2.1649243082012894e-17,3.4746829358790484e-11,6.259422184717758e-09,256,4,3.5,2.0,1,1,1,2.0,6.514260095905059e-16,1,1684,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1753436068304873,1.9750572116485177e-16
circle,24,1.7016054108119002e-16,1.0205551060564847e-17,3.472119348922567e-11,6.259422184717758e-09,256,5,3.5,2.0,1,1,1,2.0,6.289647108176451e-16,1,2036,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21199500208246563,1.971532185687666e-16
circle,24,1.7016054108119002e-16,0.0,1.414722599484193e-12,6.259422184717758e-09,256,6,3.5,2.0,1,1,1,2.0,6.181121117412705e-16,1,2380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2478134110787172,1.96880469250399e-16
circle,24,1.7016054108119002e-16,0.0,1.3884947772846442e-12,6.259422184717758e-09,256,7,3.5,2.0,1,1,1,2.0,6.066729604546535e-16,1,2716,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.282798833819242,1.965827821642489e-16
circle,24,1.7016054108119002e-16,0.0,1.3884947772846442e-12,6.259422184717758e-09,256,8,3.5,2.0,1,1,1,2.0,5.931556344101102e-16,1,3044,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31695127030403997,1.938450670367656e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,9,3.5,2.0,1,1,1,2.0,5.819973255642344e-16,1,3364,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3502707205331112,1.9350333638060022e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,10,3.5,2.0,1,1,1,2.0,5.762063608206459e-16,1,3676,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3827571845064556,1.9316593300901332e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,11,3.5,2.0,1,1,1,2.0,5.713028591334257e-16,1,3980,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4144106622240733,1.928173906455749e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,12,3.5,2.0,1,1,1,2.0,5.632109922986354e-16,1,4276,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44523115368596416,1.9193144267829645e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,13,3.5,2.0,1,1,1,2.0,5.60338565440408e-16,1,4564,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4752186588921283,1.9165278953275777e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,14,3.5,2.0,1,1,1,2.0,5.583687715333476e-16,1,4844,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5043731778425656,1.906004074667785e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,15,3.5,2.0,1,1,1,2.0,5.554083138515027e-16,1,5116,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5326947105372761,1.895337758484344e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,16,3.5,2.0,1,1,1,2.0,5.515130769056888e-16,1,5380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5601832569762599,1.8722806769278147e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,17,3.5,2.0,1,1,1,2.0,5.498223256467572e-16,1,5636,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5868388171595169,1.8682495741952385e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,18,3.5,2.0,1,1,1,2.0,5.485137106753631e-16,1,5884,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6126613910870471,1.8630040839851789e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,19,3.5,2.0,1,1,1,2.0,5.473313608532367e-16,1,6124,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6376509787588505,1.8493167666410215e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,20,3.5,2.0,1,1,1,2.0,5.446150508037483e-16,1,6356,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6618075801749271,1.7576509467522364e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,21,3.5,2.0,1,1,1,2.0,5.429807196738809e-16,1,6580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.685131195335277,1.7357191738300421e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,22,3.5,2.0,1,1,1,2.0,5.40816704497062e-16,1,6796,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7076218242399,1.6824826770208648e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,23,3.5,2.0,1,1,1,2.0,5.327742400922658e-16,1,7004,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7292794668887963,1.373196220250945e-16
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,24,3.5,2.0,1,1,1,2.0,5.117263830085053e-16,1,7204,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7501041232819659,8.370865774782614e-17
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,25,3.5,2.0,1,1,1,2.0,5.010691616805738e-16,1,7396,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7700957934194086,1.1276350344292272e-17
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,26,3.5,2.0,1,1,1,2.0,4.95055014410409e-16,1,7580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7892544773011245,2.0030897403907946e-18
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,27,3.5,2.0,1,1,1,2.0,4.892358673580383e-16,1,7756,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8075801749271136,4.622928179191555e-19
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,28,3.5,2.0,1,1,1,2.0,4.750421358347193e-16,1,7924,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8250728862973761,4.7870752023991447e-20
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,29,3.5,2.0,1,1,1,2.0,4.699246257632174e-16,1,8084,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8417326114119117,2.066036736009991e-20
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,30,3.5,2.0,1,1,1,2.0,4.61833349735404e-16,1,8236,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8575593502707205,9.0943959190475e-21
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,31,3.5,2.0,1,1,1,2.0,4.541783602513468e-16,1,8380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8725531028738026,3.77077517244177e-21
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,32,3.5,2.0,1,1,1,2.0,4.3610896896985444e-16,1,8516,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8867138692211578,4.585536642481766e-22
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,33,3.5,2.0,1,1,1,2.0,4.2719296912951896e-16,1,8644,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9000416493127863,2.2972177993890674e-22
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,34,3.5,2.0,1,1,1,2.0,4.1941392642788964e-16,1,8764,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9125364431486881,1.336591858763212e-22
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,35,3.5,2.0,1,1,1,2.0,4.096662287732943e-16,1,8876,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.924198250728863,3.008674517340443e-23
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,36,3.5,2.0,1,1,1,2.0,3.9199437610468155e-16,1,8980,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9350270720533111,1.2223839300130722e-23
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,37,3.5,2.0,1,1,1,2.0,3.755597030978501e-16,1,9076,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9450229071220325,2.3640795652639577e-24
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,38,3.5,2.0,1,1,1,2.0,3.6465011770684707e-16,1,9164,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9541857559350271,1.448444865314823e-24
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,39,3.5,2.0,1,1,1,2.0,3.424108050229678e-16,1,9244,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9625156184922948,3.981044893146588e-25
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,40,3.5,2.0,1,1,1,2.0,3.089005352980649e-16,1,9316,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9700124947938359,1.3700756463143183e-25
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,41,3.5,2.0,1,1,1,2.0,2.868181576680992e-16,1,9380,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9766763848396501,3.440455658753805e-26
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,42,3.5,2.0,1,1,1,2.0,2.7568118475593714e-16,1,9436,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9825072886297376,1.5375226136558673e-26
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,43,3.5,2.0,1,1,1,2.0,2.5725693344815837e-16,1,9484,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9875052061640983,6.001040422775651e-27
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,44,3.5,2.0,1,1,1,2.0,2.266234312872146e-16,1,9524,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9916701374427322,1.8498633099132265e-27
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,45,3.5,2.0,1,1,1,2.0,1.8952989856540232e-16,1,9556,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9950020824656394,1.1124976923258779e-27
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,46,3.5,2.0,1,1,1,2.0,1.4862767040929714e-16,1,9580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9975010412328197,4.041902111737904e-28
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,47,3.5,2.0,1,1,1,2.0,5.2228662997064277e-17,1,9596,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9991670137442732,4.768995688240036e-29
circle,24,1.7016054108119002e-16,0.0,0.0,6.259422184717758e-09,256,48,3.5,2.0,1,1,1,2.0,0.0,1,9604,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0
circle,24,5.575451929415153e-16,5.147471343222277e-16,3.6687915546087595,5.062706571102665e-08,256,0,3.5,10.0,1,1,1,10.0,2.042852127932581e-15,1,196,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02040816326530612,1.2772713423487956e-15
circle,24,5.575451929415153e-16,4.520162951962036e-16,2.9462644661397532,5.062706571102665e-08,256,1,3.5,10.0,1,1,1,10.0,1.973802229690216e-15,1,580,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.060391503540191585,1.2490810282055945e-15
circle,24,5.575451929415153e-16,4.529641177185958e-16,2.024708571283938,5.062706571102665e-08,256,2,3.5,10.0,1,1,1,10.0,1.947718994005687e-15,1,956,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.09954185755935027,1.2444782455862303e-15
circle,24,5.575451929415153e-16,4.2213966513848725e-16,1.3001077426758492e-08,5.062706571102665e-08,256,3,3.5,10.0,1,1,1,10.0,1.932375133350872e-15,1,1324,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13785922532278216,1.2335025629965347e-15
circle,24,5.575451929415153e-16,3.5887014079333456e-16,8.351792879239637e-09,5.062706571102665e-08,256,4,3.5,10.0,1,1,1,10.0,1.897542028662817e-15,1,1684,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1753436068304873,1.2117233001099916e-15
