band_penalty,curve,cutoff,cutoff_converged,field_band_over_kd,field_field_error,field_gradient_error,field_halfband,field_matrix_error,field_nonzeros,field_q_equivalent,field_retained,field_trace_error,gradient_band_over_kd,gradient_field_error,gradient_gradient_error,gradient_halfband,gradient_matrix_error,gradient_nonzeros,gradient_q_equivalent,gradient_retained,gradient_step_consistency,gradient_trace_error,grid,halfwidth,kd,knee_0.001,knee_0.1,knee_1e-06,ko,max_mode,order,r2_K,r2_Kp,r2_T,r2_V,rate_K,rate_Kp,rate_T,rate_V,rate_envelope,shape_direction_modes,tolerance
3,circle,24,1.7016054108119002e-16,0.0,2.4290497904079607e-16,1.6520265055570558,0,8.771546496162992e-16,196,0.0,0.02040816326530612,2.0829669881200746e-16,1.5,4.3895734876195325e-17,9.443343368333511e-11,3,6.802633589603131e-16,1324,0.7708475135546261,0.13785922532278216,6.259422184717758e-09,1.986312751855758e-16,256,3.5,2.0,1,1,1,2.0,1,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.01
3,circle,24,1.7016054108119002e-16,0.0,2.4290497904079607e-16,1.6520265055570558,0,8.771546496162992e-16,196,0.0,0.02040816326530612,2.0829669881200746e-16,1.5,4.3895734876195325e-17,9.443343368333511e-11,3,6.802633589603131e-16,1324,0.7708475135546261,0.13785922532278216,6.259422184717758e-09,1.986312751855758e-16,256,3.5,2.0,1,1,1,2.0,1,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.0001
3,circle,24,1.7016054108119002e-16,0.0,2.4290497904079607e-16,1.6520265055570558,0,8.771546496162992e-16,196,0.0,0.02040816326530612,2.0829669881200746e-16,1.5,4.3895734876195325e-17,9.443343368333511e-11,3,6.802633589603131e-16,1324,0.7708475135546261,0.13785922532278216,6.259422184717758e-09,1.986312751855758e-16,256,3.5,2.0,1,1,1,2.0,1,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,1e-06
3,circle,24,5.575451929415153e-16,0.0,5.147471343222277e-16,3.6687915546087595,0,2.042852127932581e-15,196,0.0,0.02040816326530612,1.2772713423487956e-15,0.3,4.2213966513848725e-16,1.3001077426758492e-08,3,1.932375133350872e-15,1324,0.7708475135546261,0.13785922532278216,5.062706571102665e-08,1.2335025629965347e-15,256,3.5,10.0,1,1,1,10.0,1,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.01
3,circle,24,5.575451929415153e-16,0.0,5.147471343222277e-16,3.6687915546087595,0,2.042852127932581e-15,196,0.0,0.02040816326530612,1.2772713423487956e-15,0.3,4.2213966513848725e-16,1.3001077426758492e-08,3,1.932375133350872e-15,1324,0.7708475135546261,0.13785922532278216,5.062706571102665e-08,1.2335025629965347e-15,256,3.5,10.0,1,1,1,10.0,1,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.0001
3,circle,24,5.575451929415153e-16,0.0,5.147471343222277e-16,3.6687915546087595,0,2.042852127932581e-15,196,0.0,0.02040816326530612,1.2772713423487956e-15,0.3,4.2213966513848725e-16,1.3001077426758492e-08,3,1.932375133350872e-15,1324,0.7708475135546261,0.13785922532278216,5.062706571102665e-08,1.2335025629965347e-15,256,3.5,10.0,1,1,1,10.0,1,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,1e-06
3,circle,54,7.37181566688145e-16,0.0,2.407941106018415e-15,5.135084605537966,0,6.521160999786383e-15,436,0.0,0.009174311926605505,4.467869342548913e-15,0.1,1.9909279002684574e-15,1.2090408693217215e-07,3,6.431311196476221e-15,3004,0.6394750667210205,0.06321016749431865,3.673053287700986e-07,4.2612586201071025e-15,512,3.5,30.0,1,1,1,30.0,1,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.01
3,circle,54,7.37181566688145e-16,0.0,2.407941106018415e-15,5.135084605537966,0,6.521160999786383e-15,436,0.0,0.009174311926605505,4.467869342548913e-15,0.1,1.9909279002684574e-15,1.2090408693217215e-07,3,6.431311196476221e-15,3004,0.6394750667210205,0.06321016749431865,3.673053287700986e-07,4.2612586201071025e-15,512,3.5,30.0,1,1,1,30.0,1,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,0.0001
3,circle,54,7.37181566688145e-16,0.0,2.407941106018415e-15,5.135084605537966,0,6.521160999786383e-15,436,0.0,0.009174311926605505,4.467869342548913e-15,0.1,1.9909279002684574e-15,1.2090408693217215e-07,3,6.431311196476221e-15,3004,0.6394750667210205,0.06321016749431865,3.673053287700986e-07,4.2612586201071025e-15,512,3.5,30.0,1,1,1,30.0,1,109,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,1e-06
2,ellipse,24,8.331431036509984e-16,1.0,0.005231661294326597,0.15568987265671594,2,0.003020783766989715,956,0.5138983423697507,0.09954185755935027,0.004488772722665347,2.0,5.689321835604037e-05,0.004103777813641951,4,0.0007696283367851771,1684,1.0277966847395015,0.1753436068304873,8.315510751095986e-09,0.00034163639381439134,256,0.30951960420311164,2.0,1,1,1,2.0,1,49,0.995173682070024,0.9951736820703725,0.9864831571255339,0.982694668940394,0.3672318851940705,0.36723188519534206,0.30349198896342455,0.43655324495353437,0.3073250274035615,3,0.01
