curve,cutoff,halfband,halfwidth,kd,matrix_error,nonzeros,order,retained,rule,truncated_vs_full,truncated_vs_reference,untruncated_error
ellipse,128,5,0.30951960420311164,2.0,0.0003364465543798723,11188,257,0.042347348180896,fjs_q1,5.689321835604496e-05,5.689321835608103e-05,3.1571682857180795e-15
ellipse,128,11,0.30951960420311164,2.0,6.185160181006852e-05,23116,257,0.08749564717103968,fjs_q2,5.0379297872888435e-11,5.0379378090698636e-11,3.1571682857180795e-15
ellipse,128,22,0.30951960420311164,2.0,1.7537899007863806e-06,44236,257,0.16743629729443293,fjs_q4,0.0,3.1571682857180795e-15,3.1571682857180795e-15
ellipse,128,101,0.30951960420311164,2.0,0.00012099257652883503,17204,257,0.06511832124634741,jwy_mu1.2,3.722027307855706e-16,3.166173615962483e-15,3.1571682857180795e-15
ellipse,96,5,0.30951960420311164,2.0,0.0003882080693750976,8372,193,0.056189427904104805,fjs_q1,5.689321835600013e-05,5.689321835604966e-05,3.065114837580602e-15
ellipse,96,10,0.30951960420311164,2.0,7.136732599536008e-05,15772,193,0.10585519074337565,fjs_q2,5.037932751010484e-11,5.037940910522315e-11,3.065114837580602e-15
ellipse,96,21,0.30951960420311164,2.0,3.7081939549362545e-06,31348,193,0.21039490993046794,fjs_q4,2.0944254059894922e-17,3.0652579485441375e-15,3.065114837580602e-15
ellipse,96,80,0.30951960420311164,2.0,0.00015880247236684886,12556,193,0.08427071867701147,jwy_mu1.2,6.248589730933459e-15,6.9339894433482915e-15,3.065114837580602e-15
ellipse,64,4,0.30951960420311164,2.0,0.0004747553251847784,4564,129,0.06856559101015564,fjs_q1,5.6893218356065744e-05,5.689321835604759e-05,3.2373230385184705e-15
ellipse,64,9,0.30951960420311164,2.0,0.00015249673965686734,9444,129,0.1418784928790337,fjs_q2,4.892292421631343e-09,4.892292427487021e-09,3.2373230385184705e-15
ellipse,64,19,0.30951960420311164,2.0,8.286844034591986e-06,18604,129,0.27949041523946877,fjs_q4,4.41198553990329e-17,3.237090137123178e-15,3.2373230385184705e-15
ellipse,64,57,0.30951960420311164,2.0,0.00023063583221407652,7988,129,0.12000480740340123,jwy_mu1.2,6.412674088170951e-13,6.412985874928042e-13,3.2373230385184705e-15
ellipse,48,4,0.30951960420311164,2.0,0.0005473949527420522,3412,97,0.09065788075247104,fjs_q1,5.689321835600983e-05,5.689321835601503e-05,3.4057846233729786e-15
ellipse,48,9,0.30951960420311164,2.0,0.00017582940342016903,7012,97,0.1863109788500372,fjs_q2,4.892292410068465e-09,4.8922924235822184e-09,3.4057846233729786e-15
ellipse,48,18,0.30951960420311164,2.0,9.554767178084252e-06,12988,97,0.345095121691997,fjs_q4,5.314024084140396e-17,3.406472823692791e-15,3.4057846233729786e-15
ellipse,48,45,0.30951960420311164,2.0,0.00032191626503705583,5788,97,0.1537889254968647,jwy_mu1.2,5.034931853182675e-11,5.034940054446295e-11,3.4057846233729786e-15
ellipse,32,4,0.30951960420311164,2.0,0.0006684597775853139,2260,65,0.13372781065088757,fjs_q1,5.6893218356052504e-05,5.689321835590275e-05,3.2780810437899702e-15
ellipse,32,8,0.30951960420311164,2.0,0.00021471678413262572,4132,65,0.24449704142011836,fjs_q2,4.892292439170148e-09,4.892292550377462e-09,3.2780810437899702e-15
ellipse,32,16,0.30951960420311164,2.0,2.1241232487782845e-05,7492,65,0.4433136094674556,fjs_q4,3.7546628203483e-16,3.2562548148205652e-15,3.2780810437899702e-15
ellipse,32,32,0.30951960420311164,2.0,0.0004813531744910177,3668,65,0.2170414201183432,jwy_mu1.2,4.884591855838267e-09,4.884591965165569e-09,3.2780810437899702e-15
ellipse,24,3,0.30951960420311164,2.0,0.003020783766989715,1324,49,0.13785922532278216,fjs_q1,0.005231661294326601,0.00523166129432664,3.3295888690284578e-15
ellipse,24,7,0.30951960420311164,2.0,0.0004223913975768387,2716,49,0.282798833819242,fjs_q2,5.47501088362298e-07,5.475010884404083e-07,3.3295888690284578e-15
ellipse,24,15,0.30951960420311164,2.0,4.4289272280474225e-05,5116,49,0.5326947105372761,fjs_q4,6.2607381765480626e-15,7.0850247120779125e-15,3.3295888690284578e-15
ellipse,24,24,0.30951960420311164,2.0,0.000647946750151423,2604,49,0.27113702623906705,jwy_mu1.2,4.2352112500354534e-07,4.2352112502688724e-07,3.3295888690284578e-15
ellipse,16,3,0.30951960420311164,2.0,0.0036784116743005246,876,33,0.20110192837465565,fjs_q1,0.005231661294326653,0.0052316612943266085,3.2631347789902026e-15
ellipse,16,6,0.30951960420311164,2.0,0.0005143463736263796,1548,33,0.35537190082644626,fjs_q2,5.475010883313218e-07,5.475010884639991e-07,3.2631347789902026e-15
ellipse,16,13,0.30951960420311164,2.0,9.693546558358554e-05,2836,33,0.6510560146923783,fjs_q4,6.411823501205736e-13,6.412119634921921e-13,3.2631347789902026e-15
ellipse,16,16,0.30951960420311164,2.0,0.0008557592337249618,1580,33,0.3627180899908173,jwy_mu1.2,5.460450280281377e-07,5.460450281608041e-07,3.2631347789902026e-15
ellipse,128,5,0.30951960420311164,10.0,0.07066958483350325,11188,257,0.042347348180896,fjs_q1,0.4323467554150908,0.4323467554150911,1.5175675380667177e-15
ellipse,128,11,0.30951960420311164,10.0,0.003689142795281354,23116,257,0.08749564717103968,fjs_q2,0.0015160481573355416,0.0015160481573355726,1.5175675380667177e-15
ellipse,128,22,0.30951960420311164,10.0,6.240162689684451e-05,44236,257,0.16743629729443293,fjs_q4,3.4209970193734274e-12,3.421044011780457e-12,1.5175675380667177e-15
ellipse,128,101,0.30951960420311164,10.0,0.0029842871565073908,17204,257,0.06511832124634741,jwy_mu1.2,1.5650525405995668e-07,1.565052540999167e-07,1.5175675380667177e-15
ellipse,96,5,0.30951960420311164,10.0,0.08100329623081093,8372,193,0.056189427904104805,fjs_q1,0.4323467554150907,0.432346755415091,1.7008644810901675e-15
ellipse,96,10,0.30951960420311164,10.0,0.004228590381392277,15772,193,0.10585519074337565,fjs_q2,0.0015160481573356492,0.0015160481573356234,1.7008644810901675e-15
ellipse,96,21,0.30951960420311164,10.0,0.0001354640147970353,31348,193,0.21039490993046794,fjs_q4,1.4813436245093475e-10,1.481343719458506e-10,1.7008644810901675e-15
ellipse,96,80,0.30951960420311164,10.0,0.003940963292404215,12556,193,0.08427071867701147,jwy_mu1.2,3.965691862806776e-06,3.965691862795076e-06,1.7008644810901675e-15
ellipse,64,4,0.30951960420311164,10.0,0.09779207409011485,4564,129,0.06856559101015564,fjs_q1,0.43234675541509077,0.4323467554150911,1.7754394614673462e-15
ellipse,64,9,0.30951960420311164,10.0,0.014656873100755996,9444,129,0.1418784928790337,fjs_q2,0.01802879489050633,0.0180287948905064,1.7754394614673462e-15
ellipse,64,19,0.30951960420311164,10.0,0.0003104925211470032,18604,129,0.27949041523946877,fjs_q4,5.424672400554915e-09,5.424672425500535e-09,1.7754394614673462e-15
ellipse,64,57,0.30951960420311164,10.0,0.005854401180398923,7988,129,0.12000480740340123,jwy_mu1.2,8.343868801463465e-05,8.343868801462645e-05,1.7754394614673462e-15
ellipse,48,4,0.30951960420311164,10.0,0.11135850064340962,3412,97,0.09065788075247104,fjs_q1,0.4323467554150907,0.43234675541509093,1.7409799717799528e-15
ellipse,48,9,0.30951960420311164,10.0,0.016690180955942095,7012,97,0.1863109788500372,fjs_q2,0.018028794890506426,0.01802879489050645,1.7409799717799528e-15
ellipse,48,18,0.30951960420311164,10.0,0.0003535662980627749,12988,97,0.345095121691997,fjs_q4,5.42467239109728e-09,5.424672416747959e-09,1.7409799717799528e-15
ellipse,48,45,0.30951960420311164,10.0,0.009247325670731577,5788,97,0.1537889254968647,jwy_mu1.2,0.0014053539199009616,0.001405353919900966,1.7409799717799528e-15
ellipse,32,4,0.30951960420311164,10.0,0.13280407203189126,2260,65,0.13372781065088757,fjs_q1,0.4323467554150911,0.4323467554150912,1.8410275746076603e-15
ellipse,32,8,0.30951960420311164,10.0,0.01990439868615188,4132,65,0.24449704142011836,fjs_q2,0.01802879489050637,0.01802879489050654,1.8410275746076603e-15
ellipse,32,16,0.30951960420311164,10.0,0.0008016471545561816,7492,65,0.4433136094674556,fjs_q4,1.6632971707293582e-07,1.6632971721818673e-07,1.8410275746076603e-15
