affine_iterations,anchor_iterations,anchor_kd,curve,geometry_change,kd,plain_iterations,rank,reconstruction_error,samples,shift
2,20,14.0,ellipse,0.0,4.625,10,11,8.390718113496484e-07,81,0.0
2,20,14.0,ellipse,0.0,8.375,14,11,5.864167883690209e-07,81,0.0
2,16,14.0,ellipse,0.0,12.125,17,11,4.198947038240298e-07,81,0.0
2,14,14.0,ellipse,0.0,15.875,19,11,5.690603086360806e-07,81,0.0
2,21,14.0,ellipse,0.0,19.625,22,11,4.302105006845117e-07,81,0.0
2,31,14.0,ellipse,0.0,23.625,25,11,1.5645240807642134e-06,81,0.0
6,20,14.0,ellipse,0.006765492498951736,4.625,10,11,0.006765344273986567,81,0.01
8,20,14.0,ellipse,0.02474276269401756,8.375,14,11,0.02473741238323586,81,0.01
9,16,14.0,ellipse,0.05934571498680203,12.125,17,11,0.05929460070226486,81,0.01
10,13,14.0,ellipse,0.10818513002647047,15.875,19,11,0.10797625469027007,81,0.01
11,25,14.0,ellipse,0.16216575038258926,19.625,22,11,0.16169934383156764,81,0.01
12,26,14.0,ellipse,0.21785582428538008,23.625,25,11,0.21714372078526517,81,0.01
7,20,14.0,ellipse,0.01355599733504112,4.625,10,11,0.013554799550591669,81,0.02
9,20,14.0,ellipse,0.049598199184205924,8.375,14,11,0.04955519819681672,81,0.02
11,13,14.0,ellipse,0.11883412133992967,12.125,17,11,0.11842496191914541,81,0.02
15,16,14.0,ellipse,0.2160698216423033,15.875,19,11,0.21441261632575453,81,0.02
16,20,14.0,ellipse,0.3225873587310316,19.625,22,11,0.3189256190920172,81,0.02
15,31,14.0,ellipse,0.4308991596422287,23.625,25,11,0.42536756369304685,81,0.02
8,20,14.0,ellipse,0.027311001146379923,4.625,10,11,0.02730121839396425,81,0.04
11,17,14.0,ellipse,0.10007769192461759,8.375,14,11,0.09972648000141611,81,0.04
13,14,14.0,ellipse,0.23870506881975107,12.125,17,11,0.23542447678202788,81,0.04
15,16,14.0,ellipse,0.42947656558352276,15.875,19,11,0.41665241357153393,81,0.04
