scene,before_recovered,before_count,before_boundary_mm,before_iou,after_count,after_boundary_mm,after_iou,holdout_1_5_relative,holdout_2_5_relative,numerically_qualified,original_gates_pass,fresh_original_geometry_start,topology_run,fit_run,status
empty-ellipse-star,False,3,17.61633972820877,0.6927592954990215,2,0.05232908089770238,0.9997137131405669,5.466115659910212e-05,0.0010312120797472616,True,True,True,empty_two_frequency_ellipse_seeds,empty_six_frequency_polish,PASS
far-ellipse-star,False,3,17.616352291634165,0.6927592954990215,2,0.05232908089770238,0.9997137131405669,5.466115659910212e-05,0.0010312120797472616,True,True,True,uniform_far_ellipse_star/topology,uniform_far_ellipse_star/refinement,PASS
enclosing-ellipse-star,False,7,150.43493138879023,0.17514153910673097,2,0.052392323520014404,0.9997132205334098,5.472685470537204e-05,0.000964871535668349,True,True,True,enclosing_two_frequency_ellipse_seeds,enclosing_six_frequency_polish,PASS
far-three-shapes,False,7,30.330673861470952,0.37219551282051283,3,0.04670238359349678,0.9993344425956738,1.3557111840130643e-05,0.0003597785960806408,True,True,True,three_shapes_two_frequency_ellipse_seeds,three_shapes_six_frequency_polish,PASS
far-two-stars,False,2,9.973540164533365,0.8282482002056908,2,0.0016746714460008376,1.0,4.2554618131059736e-09,1.0324440489459568e-08,True,True,True,uniform_far_two_stars/topology,uniform_far_two_stars/refinement,PASS
death,True,2,2.008495882489577e-06,0.9986798679867986,2,1.1838171927205096e-06,0.9980211081794196,1.0806096634253557e-07,1.1062211602287352e-07,True,True,True,control_death_new_policy,control_death_new_policy,PASS
split,True,2,2.335689370289383e-05,0.9986807387862797,2,2.7030345345452004e-05,0.9986803035301881,3.0550285082505075e-06,2.5530259525254307e-06,True,True,True,control_split_new_policy,control_split_new_policy,PASS
repeated-birth,True,3,9.261684789106352e-06,1.0,3,2.0664986206141253e-06,1.0,1.718262279966833e-07,1.5563179602506776e-07,True,True,True,control_repeated-birth_new_policy,control_repeated-birth_new_policy,PASS
far-two-circles,True,2,0.00010580204999617314,1.0,2,1.134910051792784e-06,1.0,1.3595574173640133e-07,1.3038055363932832e-07,True,True,True,control_far-two-circles_new_policy,control_far-two-circles_new_policy,PASS
mixed,True,2,1.965139809778503e-05,0.9986807387862797,2,1.7684283780698698e-07,0.9986803035301881,1.537334618931283e-08,1.55358980673048e-08,True,True,True,control_mixed_new_policy,control_mixed_new_policy,PASS
merge,True,1,0.021428264131056262,0.9994005994005994,1,0.10198973480434766,0.9982039513071244,1.674062100473526e-05,0.0006170605644475495,True,True,True,control_merge_new_policy,control_merge_six_frequency_polish,PASS
central-ellipse-star,True,2,0.06233416141337228,0.9994264410668197,2,0.052392323518872325,0.9997132205334098,5.472685471416985e-05,0.0009648715356623587,True,True,True,control_central-ellipse-star_new_policy,control_central_six_frequency_polish,PASS
