topology 0 empty_domain 0.49999999999999994 solves 0
topology 0 before birth 0.49999999999999994 solves 55
topology 0 BIRTH accepted 0.19109652927872278 solves 55
topology 1 refine 0 0.19109652927872278 solves 57
topology 1 refine 1 0.19108850734480787 solves 59
topology 1 refine 2 0.1910881213376885 solves 61
topology 1 refine 3 0.19108810248976907 solves 63
topology 1 refine 4 0.1910881015619061 solves 65
topology 1 refine 5 0.1910881015161678 solves 67
topology 1 before birth 0.1910881015161678 solves 102
topology 1 BIRTH accepted 8.968023337693228e-05 solves 102
topology 2 refine 0 8.968023337693228e-05 solves 104
topology 2 refine 1 8.967457491284985e-05 solves 106
topology 2 refine 2 8.967455529992596e-05 solves 108
topology 2 promote 0 8.967455529992596e-05 solves 186
topology 2 promote 1 4.6417056172492425e-05 solves 188
topology 2 promote 2 4.45225068599207e-05 solves 190
topology 2 promote 3 4.451802120287813e-05 solves 192
topology 2 promote 4 4.451797337498452e-05 solves 194
topology 2 before promotion 8.967455529992596e-05 solves 195
topology 2 PROMOTION accepted 4.451797337498452e-05 solves 195
topology 3 refine 0 4.451797337498452e-05 solves 197
topology 3 refine 1 4.451797273531003e-05 solves 199
topology 3 promote 0 4.451797273531003e-05 solves 260
topology 3 promote 1 2.8927598479286043e-05 solves 262
topology 3 promote 2 2.349626173643756e-05 solves 264
topology 3 promote 3 2.320147124112525e-05 solves 266
topology 3 promote 4 2.318579034109877e-05 solves 268
topology 3 promote 5 2.3184208626362253e-05 solves 270
topology 3 promote 6 2.3184006052483147e-05 solves 272
topology 3 promote 7 2.318397779867248e-05 solves 274
topology 3 before promotion 4.451797273531003e-05 solves 275
topology 3 PROMOTION accepted 2.318397779867248e-05 solves 275
topology 4 refine 0 2.318397779867248e-05 solves 277
topology 4 refine 1 2.3183973836828524e-05 solves 279
topology 4 promote 0 2.3183973836828524e-05 solves 354
topology 4 promote 1 2.2105515972510207e-05 solves 356
topology 4 promote 2 1.1892874772978025e-05 solves 358
topology 4 promote 3 1.0951113482830899e-05 solves 360
topology 4 promote 4 1.0927289056168153e-05 solves 362
topology 4 promote 5 1.0917701893113513e-05 solves 364
topology 4 promote 6 1.0912817260002094e-05 solves 366
topology 4 promote 7 1.0910408131742915e-05 solves 368
topology 4 promote 8 1.0909252803094686e-05 solves 370
topology 4 promote 9 1.0908709388612886e-05 solves 372
topology 4 promote 10 1.0908457152350737e-05 solves 374
topology 4 promote 11 1.0908341122729403e-05 solves 376
topology 4 promote 12 1.0908288074367462e-05 solves 378
topology 4 before promotion 2.3183973836828524e-05 solves 379
topology 4 PROMOTION accepted 1.0908288074367462e-05 solves 379
topology 5 refine 0 1.0908288074367462e-05 solves 381
topology 5 refine 1 1.0908264847549038e-05 solves 383
topology 5 promote 0 1.0908264847549038e-05 solves 479
topology 5 promote 1 9.741058940958322e-06 solves 482
topology 5 promote 2 8.786151041290908e-06 solves 485
topology 5 promote 3 8.393789538838553e-06 solves 488
topology 5 promote 4 8.132491546505792e-06 solves 491
topology 5 promote 5 7.916618959937759e-06 solves 494
topology 5 promote 6 7.616087945146413e-06 solves 497
topology 5 promote 7 7.0278135621797105e-06 solves 500
topology 5 promote 8 5.644950151328769e-06 solves 503
topology 5 promote 9 4.603977000578897e-06 solves 505
topology 5 promote 10 2.044315927656359e-06 solves 507
topology 5 promote 11 2.002526902888945e-06 solves 509
topology 5 promote 12 2.0014934321654367e-06 solves 511
topology 5 promote 13 2.001444777329102e-06 solves 513
topology 5 before promotion 1.0908264847549038e-05 solves 514
topology 5 PROMOTION accepted 2.001444777329102e-06 solves 514
topology 6 refine 0 2.001444777329102e-06 solves 516
topology 6 refine 1 2.00144122893477e-06 solves 518
{"scene": "empty-ellipse-star", "status": "TOPOLOGY_COMPLETE", "geometry": {"component_count": 2, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 0.016846734784801233}, {"recovered_component": "t002.birth", "truth_component": "truth.ellipse", "hausdorff_m": 0.006414004827247099}], "maximum_matched_hausdorff_m": 0.016846734784801233, "union_iou": 0.7690747782002535, "final_maximum_modes": [5, 5]}, "topology_seconds": 185.3386788830394, "continuation_feasible": true}
