topology 0 empty_domain 0.5 solves 0
topology 0 before birth 0.5 solves 60
topology 0 BIRTH accepted 0.23843547610095245 solves 60
topology 1 refine 0 0.23843547610095245 solves 64
topology 1 refine 1 0.23842623254295092 solves 68
topology 1 refine 2 0.2384260498799254 solves 72
topology 1 refine 3 0.2384260463025457 solves 76
topology 1 refine 4 0.238426046232679 solves 80
topology 1 before birth 0.238426046232679 solves 146
topology 1 BIRTH accepted 0.025936384178667733 solves 146
topology 2 refine 0 0.025936384178667733 solves 150
topology 2 refine 1 0.025932059400492376 solves 154
topology 2 refine 2 0.025931896022280562 solves 158
topology 2 refine 3 0.025931889534744196 solves 162
topology 2 refine 4 0.025931889263542396 solves 166
topology 2 refine 5 0.02593188925125845 solves 170
topology 2 promote 0 0.02593188925125845 solves 261
topology 2 promote 1 0.025901790599120764 solves 265
topology 2 promote 2 0.025901203703330815 solves 269
topology 2 promote 3 0.025901161629721142 solves 273
topology 2 promote 4 0.025901157600720807 solves 277
topology 2 promote 5 0.0259011571762833 solves 281
topology 2 promote 6 0.025901157130032364 solves 285
topology 2 before promotion 0.02593188925125845 solves 287
topology 2 PROMOTION accepted 0.025901157130032364 solves 287
topology 3 refine 0 0.025901157130032364 solves 291
topology 3 before birth 0.025901157130032364 solves 387
topology 3 BIRTH accepted 0.01598068865684422 solves 387
topology 4 refine 0 0.01598068865684422 solves 391
topology 4 promote 0 0.01598068865684422 solves 494
topology 4 promote 0 0.01598068865684422 solves 502
topology 4 promote 1 0.015736460541090173 solves 506
topology 4 promote 2 0.015624405604940361 solves 510
topology 4 promote 3 0.015595541317639563 solves 514
topology 4 promote 4 0.015594318375411038 solves 518
topology 4 promote 5 0.015593495490931348 solves 522
topology 4 promote 6 0.01559335770178696 solves 526
topology 4 promote 7 0.01559333471509737 solves 530
topology 4 before promotion 0.01598068865684422 solves 532
topology 4 PROMOTION accepted 0.01559333471509737 solves 532
topology 5 refine 0 0.01559333471509737 solves 536
topology 5 promote 0 0.01559333471509737 solves 637
topology 5 promote 0 0.01559333471509737 solves 645
topology 5 promote 0 0.01559333471509737 solves 653
topology 5 promote 1 0.015450500565255038 solves 657
topology 5 before promotion 0.01559333471509737 solves 659
topology 5 PROMOTION accepted 0.015450500565255038 solves 659
topology 6 refine 0 0.015450500565255038 solves 663
topology 6 promote 0 0.015450500565255038 solves 759
topology 6 promote 0 0.015450500565255038 solves 767
topology 6 promote 0 0.015450500565255038 solves 775
{"scene": "empty-ellipse-star", "status": "TOPOLOGY_COMPLETE", "geometry": {"component_count": 3, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 0.009362142338224582}, {"recovered_component": "t002.birth", "truth_component": "truth.ellipse", "hausdorff_m": 0.012522973398952364}], "maximum_matched_hausdorff_m": 0.012522973398952364, "union_iou": 0.7045903257650543, "final_maximum_modes": [3, 1, 4]}, "topology_seconds": 237.5129367550835, "continuation_feasible": true}
