topology 0 empty_domain 0.49999999999999994 solves 0
topology 0 before birth 0.49999999999999994 solves 55
topology 0 BIRTH accepted 0.19749107630885926 solves 55
topology 1 refine 0 0.19749107630885926 solves 57
topology 1 refine 1 0.19749078555857294 solves 59
topology 1 refine 2 0.19749078089385771 solves 61
topology 1 refine 3 0.1974907808173551 solves 63
topology 1 before birth 0.1974907808173551 solves 108
topology 1 BIRTH accepted 0.007325295310647479 solves 108
topology 2 refine 0 0.007325295310647479 solves 110
topology 2 refine 1 0.007325255127197415 solves 112
topology 2 refine 2 0.007325254419464732 solves 114
topology 2 refine 3 0.007325254405955951 solves 116
topology 2 before birth 0.007325254405955951 solves 217
topology 2 BIRTH accepted 0.002110287864236162 solves 217
topology 3 refine 0 0.002110287864236162 solves 219
topology 3 refine 1 0.0020985263472595313 solves 221
topology 3 refine 2 0.002093419535275821 solves 229
topology 3 refine 3 0.0020847734813370256 solves 237
topology 3 refine 4 0.0020832366411723665 solves 245
topology 3 refine 5 0.002082170946744636 solves 253
topology 3 refine 6 0.0020818110697504314 solves 261
{"scene": "empty-ellipse-star", "status": "TOPOLOGY_COMPLETE", "geometry": {"component_count": 3, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 0.00965677979057426}, {"recovered_component": "t002.birth", "truth_component": "truth.ellipse", "hausdorff_m": 0.017616333699786556}], "maximum_matched_hausdorff_m": 0.017616333699786556, "union_iou": 0.6927592954990215, "final_maximum_modes": [1, 1, 1]}, "topology_seconds": 70.93628593406174, "continuation_feasible": false}
