topology 0 empty_domain 0.5 solves 0
topology 0 before birth 0.5 solves 100
topology 0 BIRTH accepted 0.29379314082788727 solves 100
topology 1 refine 0 0.29379314082788727 solves 104
topology 1 refine 1 0.29378016082754776 solves 108
topology 1 refine 2 0.29377825941538643 solves 112
topology 1 refine 3 0.29377786911336434 solves 116
topology 1 refine 4 0.2937777815040928 solves 120
topology 1 refine 5 0.2937777613657865 solves 124
topology 1 refine 6 0.29377775670396306 solves 128
topology 1 refine 7 0.29377775562243913 solves 132
topology 1 refine 8 0.29377775537135525 solves 136
topology 1 refine 9 0.2937777553130512 solves 140
topology 1 before birth 0.2937777553130512 solves 375
topology 1 BIRTH accepted 0.0757597712890348 solves 375
topology 2 refine 0 0.0757597712890348 solves 379
topology 2 refine 1 0.074609589814792 solves 383
topology 2 refine 2 0.07450424879838533 solves 387
topology 2 refine 3 0.07447955113714795 solves 391
topology 2 refine 4 0.07447270319647101 solves 395
topology 2 refine 5 0.07447077022966456 solves 399
topology 2 refine 6 0.07447022299184512 solves 403
topology 2 refine 7 0.07447006790127582 solves 407
topology 2 refine 8 0.07447002392436702 solves 411
topology 2 refine 9 0.0744700114509013 solves 415
topology 2 refine 10 0.07447000791243143 solves 419
topology 2 refine 11 0.07447000690855282 solves 423
topology 2 refine 12 0.07447000662374072 solves 427
topology 2 refine 13 0.07447000654292975 solves 431
topology 2 before birth 0.07447000654292975 solves 599
topology 2 BIRTH accepted 0.05735794783450314 solves 599
topology 3 refine 0 0.05735794783450314 solves 603
topology 3 refine 1 0.05735350491052124 solves 607
topology 3 refine 2 0.05735253506496424 solves 611
topology 3 refine 3 0.05735230232025962 solves 615
topology 3 refine 4 0.05735224027238251 solves 619
topology 3 refine 5 0.057352221882856345 solves 623
topology 3 refine 6 0.05735221597600862 solves 627
topology 3 refine 7 0.05735221397044626 solves 631
topology 3 refine 8 0.05735221326719431 solves 635
topology 3 refine 9 0.05735221301596463 solves 639
topology 3 refine 10 0.057352212925344495 solves 643
topology 3 before birth 0.057352212925344495 solves 807
topology 3 BIRTH accepted 0.04988689095153502 solves 807
topology 4 refine 0 0.04988689095153502 solves 811
topology 4 refine 1 0.049864939351135784 solves 815
topology 4 refine 2 0.0498527376436127 solves 819
topology 4 refine 3 0.049842479041601044 solves 823
topology 4 refine 4 0.04983575552902064 solves 827
topology 4 refine 5 0.04982983491842413 solves 831
topology 4 refine 6 0.04982567354010018 solves 835
topology 4 refine 7 0.04982201237577444 solves 839
topology 4 refine 8 0.04981935055514701 solves 843
topology 4 refine 9 0.049817042975366425 solves 847
topology 4 refine 10 0.04981533104798659 solves 851
topology 4 refine 11 0.04981387096208159 solves 855
topology 4 refine 12 0.04981277221159805 solves 859
topology 4 refine 13 0.0498118483878362 solves 863
topology 4 refine 14 0.04981114550673233 solves 867
topology 4 refine 15 0.04981056136109038 solves 871
topology 4 refine 16 0.049810113007639364 solves 875
topology 4 refine 17 0.04980974381719723 solves 879
topology 4 refine 18 0.04980945844084814 solves 883
topology 4 refine 19 0.04980922515367245 solves 887
topology 4 refine 20 0.049809043796608506 solves 891
topology 4 refine 21 0.04980889638729905 solves 895
topology 4 refine 22 0.04980878126394052 solves 899
topology 4 before birth 0.04980878126394052 solves 1152
topology 4 BIRTH accepted 0.04067561550402414 solves 1152
topology 5 refine 0 0.04067561550402414 solves 1156
topology 5 refine 1 0.04067312454916959 solves 1160
topology 5 refine 2 0.040671893658483255 solves 1164
topology 5 refine 3 0.04067126715819197 solves 1168
topology 5 refine 4 0.04067094644324226 solves 1172
topology 5 refine 5 0.04067078205982169 solves 1176
topology 5 refine 6 0.04067069923646886 solves 1180
topology 5 refine 7 0.040670659747162906 solves 1184
topology 5 refine 8 0.040670645573276785 solves 1188
topology 5 refine 9 0.040670603794151786 solves 1194
topology 5 refine 10 0.04067060275411782 solves 1200
topology 5 refine 11 0.04067060272663268 solves 1206
{"scene": "empty-ellipse-star", "status": "STOPPED", "geometry": {"component_count": 5, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.ellipse", "hausdorff_m": 0.013254861411999875}, {"recovered_component": "t002.birth", "truth_component": "truth.star", "hausdorff_m": 0.010432557774119335}], "maximum_matched_hausdorff_m": 0.013254861411999875, "union_iou": 0.6520163117353874, "final_maximum_modes": [1, 1, 1, 1, 1]}, "topology_seconds": 600.0044092490571, "continuation_feasible": true}
