topology 0 empty_domain 0.49999999999999994 solves 0
topology 0 before birth 0.49999999999999994 solves 55
topology 0 BIRTH accepted 0.19749107630885926 solves 55
topology 1 refine 0 0.19749107630885926 solves 57
topology 1 refine 1 0.19749078555857294 solves 59
topology 1 refine 2 0.19749078089385771 solves 61
topology 1 refine 3 0.1974907808173551 solves 63
topology 1 before birth 0.1974907808173551 solves 102
topology 1 BIRTH accepted 0.007325295310647479 solves 102
topology 2 refine 0 0.007325295310647479 solves 104
topology 2 refine 1 0.007325255127197415 solves 106
topology 2 refine 2 0.007325254419464732 solves 108
topology 2 refine 3 0.007325254405955951 solves 110
topology 2 before birth 0.007325254405955951 solves 193
topology 2 BIRTH accepted 0.002110287864236162 solves 193
topology 3 refine 0 0.002110287864236162 solves 195
topology 3 refine 1 0.0020985263472595313 solves 197
topology 3 refine 2 0.002093419535275821 solves 205
topology 3 before merge 0.002093419535275821 solves 301
topology 3 MERGE accepted 0.0020735398642586353 solves 301
topology 4 refine 0 0.0020735398642586353 solves 303
topology 4 refine 1 0.0016210931792591515 solves 305
topology 4 refine 2 0.0015504351030748611 solves 307
topology 4 refine 3 0.001536359376129708 solves 322
topology 4 refine 4 0.0013719533765895139 solves 339
topology 4 refine 5 0.0004730295376036182 solves 341
topology 4 refine 6 0.00034665728166126104 solves 343
topology 4 refine 7 0.00031977565609961 solves 356
topology 4 refine 8 0.00028305655051271165 solves 369
topology 4 refine 9 0.00027591932488909096 solves 371
topology 4 refine 10 0.0002757917910949791 solves 384
topology 4 refine 11 0.00015376546498882695 solves 386
topology 4 refine 12 0.00014327901569117688 solves 390
topology 4 refine 13 0.00013629657858704638 solves 394
topology 4 refine 14 0.00013295114158732592 solves 400
topology 4 refine 15 0.00012682691259018416 solves 411
topology 4 refine 16 0.00012352613166681324 solves 421
topology 4 refine 17 0.00012231306435711093 solves 427
topology 4 refine 18 0.00012205893181393801 solves 434
topology 4 refine 19 0.00012149481928972803 solves 438
topology 4 refine 20 0.00012144662656820935 solves 458
topology 4 refine 21 0.00012128007919955454 solves 464
topology 4 refine 22 0.00011927646286792928 solves 475
{"scene": "empty-ellipse-star", "status": "STOPPED", "geometry": {"component_count": 2, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 0.009040981474713739}, {"recovered_component": "t004.merge1", "truth_component": "truth.ellipse", "hausdorff_m": 0.009756275139113991}], "maximum_matched_hausdorff_m": 0.009756275139113991, "union_iou": 0.7491236855282924, "final_maximum_modes": [1, 9]}, "topology_seconds": 600.0122135620331, "continuation_feasible": true}
