topology 0 empty_domain 0.49999999999999994 solves 0
topology 0 before birth 0.49999999999999994 solves 55
topology 0 BIRTH accepted 0.19749107630885926 solves 55
topology 1 refine 0 0.19749107630885926 solves 57
topology 1 refine 1 0.19749078555857294 solves 59
topology 1 refine 2 0.19749078089385771 solves 61
topology 1 refine 3 0.1974907808173551 solves 63
topology 1 before birth 0.1974907808173551 solves 102
topology 1 BIRTH accepted 0.007325295310647479 solves 102
topology 2 refine 0 0.007325295310647479 solves 104
topology 2 refine 1 0.007325255127197415 solves 106
topology 2 refine 2 0.007325254419464732 solves 108
topology 2 refine 3 0.007325254405955951 solves 110
topology 2 before birth 0.007325254405955951 solves 189
topology 2 BIRTH accepted 0.002110287864236162 solves 189
topology 3 refine 0 0.002110287864236162 solves 191
topology 3 refine 1 0.0020985263472595313 solves 193
topology 3 refine 2 0.002093419535275821 solves 195
topology 3 before merge 0.002093419535275821 solves 267
topology 3 MERGE accepted 0.0020735398642586353 solves 267
topology 4 refine 0 0.0020735398642586353 solves 269
topology 4 refine 1 0.0016210931792591515 solves 271
topology 4 refine 2 0.0015504351030748611 solves 273
topology 4 refine 3 0.001536359376129708 solves 275
topology 4 refine 4 0.001450942683917628 solves 277
topology 4 refine 5 0.00017925932223314633 solves 279
topology 4 refine 6 0.00017509486311292595 solves 282
topology 4 refine 7 0.00013656242957912023 solves 292
topology 4 refine 8 0.00012774503535848862 solves 296
topology 4 refine 9 0.00012756789872255838 solves 301
topology 4 refine 10 0.00011496692526612833 solves 310
topology 4 refine 11 0.00011304551122017119 solves 321
topology 4 refine 12 0.00011059943045997099 solves 325
topology 4 refine 13 0.00010997013590504304 solves 336
topology 4 refine 14 0.00010481441358283514 solves 345
topology 4 refine 15 0.00010405067436878973 solves 351
topology 4 refine 16 0.00010389545553445794 solves 357
topology 4 refine 17 0.00010337853385427703 solves 369
topology 4 refine 18 0.00010308406809894854 solves 372
topology 4 refine 19 0.00010261028569260847 solves 384
topology 4 refine 20 0.00010184578945719729 solves 389
topology 4 refine 21 0.00010168695103138128 solves 399
topology 4 refine 22 0.00010004318354118788 solves 409
topology 4 promote 0 0.00010004318354118788 solves 459
topology 4 promote 1 9.705361300041179e-05 solves 463
topology 4 promote 2 9.561974362020082e-05 solves 475
topology 4 promote 3 6.50206008102839e-05 solves 485
topology 4 promote 4 6.186644031084897e-05 solves 489
topology 4 promote 5 5.7967239955315284e-05 solves 494
topology 4 promote 6 5.752919838025241e-05 solves 500
topology 4 promote 7 5.368479606120974e-05 solves 509
topology 4 promote 8 3.911501892967149e-05 solves 525
topology 4 promote 9 3.589922115936487e-05 solves 529
topology 4 promote 10 3.494163101222384e-05 solves 534
topology 4 promote 11 3.4136580886673906e-05 solves 543
topology 4 promote 12 3.313569622448368e-05 solves 552
topology 4 promote 13 3.270315158809283e-05 solves 557
topology 4 promote 14 3.1687507198744575e-05 solves 559
topology 4 promote 15 3.127283659870239e-05 solves 571
topology 4 promote 16 3.126791719034789e-05 solves 580
topology 4 promote 17 3.077978948951627e-05 solves 591
topology 4 promote 18 3.061610975897039e-05 solves 595
topology 4 promote 19 3.056869773347027e-05 solves 602
topology 4 promote 20 3.056858266999942e-05 solves 618
topology 4 promote 21 3.051827982957849e-05 solves 629
topology 4 promote 22 3.017849532681915e-05 solves 640
topology 4 before promotion 0.00010004318354118788 solves 641
topology 4 PROMOTION accepted 3.017849532681915e-05 solves 641
topology 5 refine 0 3.017849532681915e-05 solves 643
topology 5 refine 1 3.0115385885656052e-05 solves 649
topology 5 refine 2 3.0031274180479052e-05 solves 661
topology 5 refine 3 2.9976358737624986e-05 solves 667
topology 5 refine 4 2.9864827266431177e-05 solves 677
topology 5 refine 5 2.985337666600008e-05 solves 685
topology 5 refine 6 2.9829325057563042e-05 solves 698
topology 5 refine 7 2.9814948569140224e-05 solves 704
topology 5 refine 8 2.9791886892436536e-05 solves 717
topology 5 refine 9 2.978542570842279e-05 solves 724
topology 5 refine 10 2.9763145814958597e-05 solves 736
topology 5 refine 11 2.973767252685277e-05 solves 748
topology 5 refine 12 2.9720511293215116e-05 solves 755
topology 5 refine 13 2.971522197050145e-05 solves 762
topology 5 refine 14 2.9702416084915852e-05 solves 775
topology 5 refine 15 2.9700952919453178e-05 solves 783
topology 5 refine 16 2.9681554753909452e-05 solves 795
topology 5 refine 17 2.9659862279640948e-05 solves 807
topology 5 refine 18 2.9659551753725616e-05 solves 813
topology 5 refine 19 2.9642485998721598e-05 solves 825
topology 5 refine 20 2.9638427925037978e-05 solves 832
topology 5 refine 21 2.9637292625290956e-05 solves 840
topology 5 refine 22 2.9632866332465256e-05 solves 853
topology 5 promote 0 2.9632866332465256e-05 solves 908
topology 5 promote 1 2.617072414197195e-05 solves 911
topology 5 promote 2 2.3061226687171724e-05 solves 915
topology 5 promote 3 2.1180563088024427e-05 solves 921
topology 5 promote 4 2.0930760754209327e-05 solves 932
topology 5 promote 5 1.9626918010422885e-05 solves 944
topology 5 promote 6 1.939577311427082e-05 solves 949
topology 5 promote 7 1.851364335974235e-05 solves 954
topology 5 promote 8 1.8308685413700272e-05 solves 962
topology 5 promote 9 1.819467184075952e-05 solves 976
topology 5 promote 10 1.8187848173412446e-05 solves 991
topology 5 promote 11 1.814241198036137e-05 solves 997
topology 5 promote 12 1.1638518529517822e-05 solves 1014
topology 5 promote 13 1.1593667755132109e-05 solves 1020
topology 5 promote 14 9.771666325889218e-06 solves 1031
topology 5 promote 15 9.594578530226461e-06 solves 1036
topology 5 promote 16 9.26153216396911e-06 solves 1040
topology 5 promote 17 8.824259158175192e-06 solves 1057
topology 5 promote 18 8.800222376641017e-06 solves 1063
topology 5 promote 19 8.239941950802299e-06 solves 1074
topology 5 promote 20 8.041408847207388e-06 solves 1077
topology 5 promote 21 7.637357866714926e-06 solves 1088
topology 5 promote 22 7.510829907655624e-06 solves 1093
topology 5 before promotion 2.9632866332465256e-05 solves 1094
topology 5 PROMOTION accepted 7.510829907655624e-06 solves 1094
topology 6 refine 0 7.510829907655624e-06 solves 1096
topology 6 refine 1 7.495376961234943e-06 solves 1100
topology 6 refine 2 7.34532600405157e-06 solves 1112
topology 6 refine 3 7.273275945510294e-06 solves 1117
topology 6 refine 4 7.1271995195434315e-06 solves 1128
topology 6 refine 5 7.0979017835595776e-06 solves 1135
topology 6 refine 6 7.092703682431376e-06 solves 1141
topology 6 refine 7 7.052905715749588e-06 solves 1154
topology 6 refine 8 7.044244389132666e-06 solves 1160
topology 6 refine 9 7.039697759129969e-06 solves 1173
topology 6 refine 10 7.034447313793093e-06 solves 1180
topology 6 refine 11 7.023176762620475e-06 solves 1186
topology 6 refine 12 6.987860953282126e-06 solves 1204
topology 6 refine 13 6.984747603542617e-06 solves 1210
topology 6 refine 14 6.980029880816738e-06 solves 1217
topology 6 refine 15 6.962363401561139e-06 solves 1229
topology 6 refine 16 6.962081617605614e-06 solves 1237
topology 6 refine 17 6.958328802037844e-06 solves 1248
topology 6 refine 18 6.929162950148135e-06 solves 1261
topology 6 refine 19 6.914712463984663e-06 solves 1268
topology 6 refine 20 6.908942334913501e-06 solves 1275
topology 6 refine 21 6.9074224595248246e-06 solves 1289
topology 6 refine 22 6.900801348106072e-06 solves 1297
topology 6 promote 0 6.900801348106072e-06 solves 1350
topology 6 promote 1 6.249544674602657e-06 solves 1354
topology 6 promote 2 6.193204802579838e-06 solves 1360
topology 6 promote 3 5.963508120693535e-06 solves 1371
topology 6 promote 4 5.834244118705711e-06 solves 1377
topology 6 promote 5 5.8315836990152886e-06 solves 1385
topology 6 promote 6 5.5994446128238155e-06 solves 1397
topology 6 promote 7 5.244535829403857e-06 solves 1409
topology 6 promote 8 4.7107677351460296e-06 solves 1419
topology 6 promote 9 4.5891308372449075e-06 solves 1425
topology 6 promote 10 4.340592806231985e-06 solves 1436
topology 6 promote 11 4.239147494849419e-06 solves 1442
topology 6 promote 12 4.223265651406292e-06 solves 1448
topology 6 promote 13 4.20836693297575e-06 solves 1458
topology 6 promote 14 4.200629475716662e-06 solves 1466
topology 6 promote 15 4.1040146142698925e-06 solves 1479
topology 6 promote 16 3.99488654276457e-06 solves 1485
topology 6 promote 17 3.8465132722725144e-06 solves 1496
topology 6 promote 18 3.7219009010524793e-06 solves 1502
topology 6 promote 19 3.489843006291785e-06 solves 1513
topology 6 promote 20 3.4427096679580515e-06 solves 1520
topology 6 promote 21 3.4394309884285925e-06 solves 1528
topology 6 promote 22 3.2362648000953734e-06 solves 1546
topology 6 before promotion 6.900801348106072e-06 solves 1547
topology 6 PROMOTION accepted 3.2362648000953734e-06 solves 1547
topology 7 refine 0 3.2362648000953734e-06 solves 1549
topology 7 refine 1 3.07537926660439e-06 solves 1554
topology 7 refine 2 2.967526291069916e-06 solves 1559
topology 7 refine 3 2.8797620759642264e-06 solves 1570
topology 7 refine 4 2.8779564381262625e-06 solves 1576
topology 7 refine 5 2.803228443585221e-06 solves 1587
topology 7 refine 6 2.775161906824005e-06 solves 1594
topology 7 refine 7 2.7638423594408533e-06 solves 1600
topology 7 refine 8 2.760197173306635e-06 solves 1614
topology 7 refine 9 2.7289092681547313e-06 solves 1620
topology 7 refine 10 2.7253657247470013e-06 solves 1634
topology 7 refine 11 2.6707562406857066e-06 solves 1646
topology 7 refine 12 2.523682105149287e-06 solves 1657
topology 7 refine 13 2.511621185587963e-06 solves 1663
topology 7 refine 14 2.4967474919960508e-06 solves 1669
topology 7 refine 15 2.492425383766752e-06 solves 1680
topology 7 refine 16 2.4824816852947356e-06 solves 1688
topology 7 refine 17 2.444797583041581e-06 solves 1694
topology 7 refine 18 2.4423025541462106e-06 solves 1708
topology 7 refine 19 2.344801913843322e-06 solves 1719
topology 7 refine 20 2.3187351471802326e-06 solves 1731
topology 7 refine 21 2.3063789064127274e-06 solves 1737
topology 7 refine 22 2.283103313568834e-06 solves 1741
{"scene": "empty-ellipse-star", "status": "TOPOLOGY_COMPLETE", "geometry": {"component_count": 2, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 0.018875758770379777}, {"recovered_component": "t004.merge1", "truth_component": "truth.ellipse", "hausdorff_m": 0.013487204698133444}], "maximum_matched_hausdorff_m": 0.018875758770379777, "union_iou": 0.7643199596265455, "final_maximum_modes": [5, 9]}, "topology_seconds": 512.9530875859782, "continuation_feasible": true}
