topology 0 empty_domain 0.5000000000000002 solves 0
topology 0 before birth 0.5000000000000002 solves 72
topology 0 BIRTH accepted 0.23889804320601932 solves 72
topology 1 refine 0 0.23889804320601932 solves 76
topology 1 refine 1 0.2388897676785836 solves 80
topology 1 refine 2 0.2388877477886588 solves 84
topology 1 refine 3 0.2388872339469983 solves 88
topology 1 refine 4 0.2388871007157 solves 92
topology 1 refine 5 0.23888706587114972 solves 96
topology 1 refine 6 0.2388870567191995 solves 100
topology 1 refine 7 0.23888705431043022 solves 104
topology 1 refine 8 0.23888705367577284 solves 108
topology 1 refine 9 0.23888705350846487 solves 112
topology 1 refine 10 0.2388870534643471 solves 116
topology 1 before birth 0.2388870534643471 solves 168
topology 1 BIRTH accepted 6.34497350998428e-05 solves 168
topology 2 refine 0 6.34497350998428e-05 solves 172
topology 2 refine 1 6.343911351921641e-05 solves 176
topology 2 refine 2 6.343906301540115e-05 solves 180
topology 2 promote 0 6.343906301540115e-05 solves 312
topology 2 promote 1 3.303014599517299e-05 solves 316
topology 2 promote 2 3.212822847554415e-05 solves 320
topology 2 promote 3 3.212351885604797e-05 solves 324
topology 2 promote 4 3.212346058706551e-05 solves 328
topology 2 before promotion 6.343906301540115e-05 solves 330
topology 2 PROMOTION accepted 3.212346058706551e-05 solves 330
topology 3 refine 0 3.212346058706551e-05 solves 334
topology 3 refine 1 3.21234596079654e-05 solves 338
topology 3 promote 0 3.21234596079654e-05 solves 456
topology 3 promote 1 2.0906411490637838e-05 solves 460
topology 3 promote 2 1.7932636841239713e-05 solves 464
topology 3 promote 3 1.7722105500230182e-05 solves 468
topology 3 promote 4 1.7710362126564654e-05 solves 472
topology 3 promote 5 1.7709543939564264e-05 solves 476
topology 3 promote 6 1.7709477095592954e-05 solves 480
topology 3 before promotion 3.21234596079654e-05 solves 482
topology 3 PROMOTION accepted 1.7709477095592954e-05 solves 482
topology 4 refine 0 1.7709477095592954e-05 solves 486
topology 4 refine 1 1.770947094677691e-05 solves 490
topology 4 promote 0 1.770947094677691e-05 solves 630
topology 4 promote 1 1.4633032549442429e-05 solves 634
topology 4 promote 2 9.1953645253928e-06 solves 638
topology 4 promote 3 8.155973900760194e-06 solves 642
topology 4 promote 4 7.986142342501124e-06 solves 646
topology 4 promote 5 7.828946847828241e-06 solves 650
topology 4 promote 6 7.6067772419950194e-06 solves 654
topology 4 promote 7 7.349224114589427e-06 solves 658
topology 4 promote 8 6.907962412365646e-06 solves 664
topology 4 promote 9 6.447194255266057e-06 solves 670
topology 4 promote 10 5.932185739864829e-06 solves 676
topology 4 promote 11 5.58137839424512e-06 solves 680
topology 4 promote 12 4.715395342619499e-06 solves 684
topology 4 promote 13 4.646116429284359e-06 solves 688
topology 4 promote 14 4.639182669803107e-06 solves 692
topology 4 promote 15 4.6382096192968895e-06 solves 696
topology 4 promote 16 4.638061740541418e-06 solves 700
topology 4 promote 17 4.63803900400294e-06 solves 704
topology 4 before promotion 1.770947094677691e-05 solves 706
topology 4 PROMOTION accepted 4.63803900400294e-06 solves 706
topology 5 refine 0 4.63803900400294e-06 solves 710
topology 5 refine 1 4.638035606934428e-06 solves 714
topology 5 promote 0 4.638035606934428e-06 solves 874
topology 5 promote 1 4.564605310979424e-06 solves 880
topology 5 promote 2 4.449351711440492e-06 solves 886
topology 5 promote 3 4.293517241951892e-06 solves 890
topology 5 promote 4 4.282246604370425e-06 solves 894
topology 5 promote 5 4.269600981181156e-06 solves 900
topology 5 promote 6 4.264162116952698e-06 solves 906
topology 5 promote 7 4.2607509565671744e-06 solves 910
topology 5 promote 8 4.25534230359199e-06 solves 918
topology 5 promote 9 4.254416781611124e-06 solves 922
topology 5 promote 10 4.253754028820204e-06 solves 928
topology 5 promote 11 4.2532596194056735e-06 solves 934
topology 5 promote 12 4.252867550757408e-06 solves 940
topology 5 promote 13 4.25265139805972e-06 solves 946
topology 5 promote 14 4.252515248563192e-06 solves 952
topology 5 promote 15 4.252438991434066e-06 solves 958
topology 5 before promotion 4.638035606934428e-06 solves 960
topology 5 PROMOTION accepted 4.252438991434066e-06 solves 960
topology 6 refine 0 4.252438991434066e-06 solves 964
topology 6 refine 1 4.252393385547823e-06 solves 968
{"scene": "empty-ellipse-star", "status": "TOPOLOGY_COMPLETE", "geometry": {"component_count": 2, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 0.018283345222167305}, {"recovered_component": "t002.birth", "truth_component": "truth.ellipse", "hausdorff_m": 0.006809863437377831}], "maximum_matched_hausdorff_m": 0.018283345222167305, "union_iou": 0.7720588235294118, "final_maximum_modes": [5, 5]}, "topology_seconds": 236.95821466401685, "continuation_feasible": true}
