topology 0 empty_domain 0.5 solves 0
topology 0 before birth 0.5 solves 60
topology 0 BIRTH accepted 0.2380510302536835 solves 60
topology 1 refine 0 0.2380510302536835 solves 64
topology 1 refine 1 0.23803609005840248 solves 68
topology 1 refine 2 0.23803563990624138 solves 72
topology 1 refine 3 0.23803562548212795 solves 76
topology 1 refine 4 0.23803562500980946 solves 80
topology 1 refine 5 0.23803562499422193 solves 84
topology 1 before birth 0.23803562499422193 solves 148
topology 1 BIRTH accepted 0.0008781252225862039 solves 148
topology 2 refine 0 0.0008781252225862039 solves 152
topology 2 refine 1 0.0008780421943233049 solves 156
topology 2 refine 2 0.0008780419524580395 solves 160
topology 2 promote 0 0.0008780419524580395 solves 310
topology 2 promote 1 0.000854984016283055 solves 314
topology 2 promote 2 0.0008539894375993365 solves 318
topology 2 promote 3 0.00085394009699633 solves 322
topology 2 promote 4 0.0008539372455125037 solves 326
topology 2 promote 5 0.0008539370599560624 solves 330
topology 2 promote 6 0.0008539370469680076 solves 334
topology 2 before promotion 0.0008780419524580395 solves 336
topology 2 PROMOTION accepted 0.0008539370469680076 solves 336
topology 3 refine 0 0.0008539370469680076 solves 340
topology 3 promote 0 0.0008539370469680076 solves 486
topology 3 promote 1 0.0007001095762881749 solves 490
topology 3 promote 2 0.0006963478469515386 solves 494
topology 3 promote 3 0.0006961468577591908 solves 498
topology 3 promote 4 0.0006961338268401754 solves 502
topology 3 promote 5 0.000696132970964516 solves 506
topology 3 promote 6 0.0006961329145088843 solves 510
topology 3 before promotion 0.0008539370469680076 solves 512
topology 3 PROMOTION accepted 0.0006961329145088843 solves 512
topology 4 refine 0 0.0006961329145088843 solves 516
topology 4 refine 1 0.0006961329107809931 solves 520
topology 4 promote 0 0.0006961329107809931 solves 664
topology 4 promote 1 0.0005104302563134911 solves 668
topology 4 promote 2 0.00030173212620536726 solves 672
topology 4 promote 3 0.0002718001637590703 solves 676
topology 4 promote 4 0.00026878069746429637 solves 680
topology 4 promote 5 0.000268074571306641 solves 684
topology 4 promote 6 0.0002678697028948675 solves 688
topology 4 promote 7 0.00026780928580542277 solves 692
topology 4 promote 8 0.0002677914783526541 solves 696
topology 4 promote 9 0.00026778623478203426 solves 700
topology 4 promote 10 0.00026778469159464307 solves 704
topology 4 promote 11 0.0002677842375625881 solves 708
topology 4 promote 12 0.000267784103998933 solves 712
topology 4 promote 13 0.0002677840647115372 solves 716
topology 4 before promotion 0.0006961329107809931 solves 718
topology 4 PROMOTION accepted 0.0002677840647115372 solves 718
topology 5 refine 0 0.0002677840647115372 solves 722
topology 5 refine 1 0.00026778405318149786 solves 726
topology 5 promote 0 0.00026778405318149786 solves 880
topology 5 promote 1 0.00022201794820085293 solves 884
topology 5 promote 2 0.00020737869008394916 solves 888
topology 5 promote 3 0.0002072085469430378 solves 892
topology 5 promote 4 0.00020718792388757095 solves 896
topology 5 promote 5 0.00020718459669091083 solves 900
topology 5 promote 6 0.00020718405013955311 solves 904
topology 5 promote 7 0.00020718396007692017 solves 908
topology 5 before promotion 0.00026778405318149786 solves 910
topology 5 PROMOTION accepted 0.00020718396007692017 solves 910
topology 6 refine 0 0.00020718396007692017 solves 914
topology 6 refine 1 0.00020718394525212413 solves 918
topology 6 promote 0 0.00020718394525212413 solves 1056
topology 6 promote 1 0.0001548144918560139 solves 1062
topology 6 promote 2 0.00010503202501896633 solves 1068
topology 6 promote 3 6.209531561021653e-05 solves 1074
topology 6 promote 4 3.73021621816244e-05 solves 1078
topology 6 promote 5 2.8500835042015323e-06 solves 1082
topology 6 promote 6 1.0086194520619696e-08 solves 1086
topology 6 promote 7 7.339308512337161e-09 solves 1090
topology 6 before promotion 0.00020718394525212413 solves 1092
topology 6 PROMOTION accepted 7.339308512337161e-09 solves 1092
topology 7 refine 0 7.339308512337161e-09 solves 1096
{"scene": "empty-ellipse-star", "status": "TOPOLOGY_COMPLETE", "geometry": {"component_count": 2, "truth_component_count": 2, "matched_components": [{"recovered_component": "t001.birth", "truth_component": "truth.star", "hausdorff_m": 2.946674163846963e-05}, {"recovered_component": "t002.birth", "truth_component": "truth.ellipse", "hausdorff_m": 0.0006370301482162637}], "maximum_matched_hausdorff_m": 0.0006370301482162637, "union_iou": 0.9920273348519362, "final_maximum_modes": [6, 5]}, "topology_seconds": 293.25030683306977, "continuation_feasible": true}
