run,noise,seed,truth_count,found_count,labels_correct,maximum_center_error_mm,maximum_radius_error_mm,fit_relative,holdout_1_5_relative,holdout_2_5_relative,seconds,project_acquisition
mixed_empty_start_clean,0.0,16092026,2,2,True,3.6221517808187694e-09,2.237043883468459e-09,9.616006271105339e-11,1.5666705734864382e-10,2.7506104099112617e-10,32.618094597011805,False
mixed_empty_start_1pct,0.01,16092026,2,2,True,0.03893432934039972,0.01582173430680206,0.0098608486921877,0.0026094610268331056,0.005040198173219572,24.745745574939065,False
mixed_empty_start_5pct,0.05,16092027,2,2,True,0.25207862841289874,0.051661737709408906,0.04929085233434855,0.010944594778156846,0.02209124323081663,27.596752229961567,False
mixed_empty_one_metal,0.01,16092026,1,1,True,0.012807417991782893,0.0004064510793072573,0.009963559894787043,0.0013936107007638176,0.0023219624723777037,16.02724289696198,False
mixed_empty_three_objects,0.01,16092026,3,3,True,0.0830369357040442,0.042120504060584596,0.009778787734873616,0.0033186804027155897,0.00521326194918042,38.065731114009395,False
mixed_empty_swapped,0.01,16092026,2,2,True,0.027823556778403702,0.06749480745076725,0.009827866790226654,0.0029134974734304417,0.005319952183116999,31.7712203359697,False
mixed_empty_project_acquisition,0.01,16092026,2,2,True,0.04161944678590484,0.014268916303104145,0.009887781590973312,0.002491217389353192,0.004396067611213535,31.294578477041796,True
mixed_project_5pct,0.05,16092026,2,2,True,0.20760534913545026,0.07161779968952245,0.04959701898597254,0.012498265017138275,0.02210038346082184,28.28174790996127,True
mixed_project_1pct_seed2,0.01,16092027,2,2,True,0.04283303043715761,0.01139165118913682,0.009896115484179655,0.002070412945298044,0.004026911765667652,29.523038204060867,True
mixed_project_5pct_seed2,0.05,16092027,2,2,True,0.21170974563751585,0.05608261374041856,0.04930670736027336,0.01037576074100004,0.02010646596499189,26.92939825495705,True
