/home/drdeng/.config/matplotlib is not a writable directory
Matplotlib created a temporary cache directory at /tmp/matplotlib-feg7amho because there was an issue with the default path (/home/drdeng/.config/matplotlib); it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
noise=0 labels=('plastic', 'plastic') start=0 loss=0.445586 evaluations=120
noise=0 labels=('plastic', 'plastic') start=1 loss=0.445586 evaluations=120
noise=0 labels=('plastic', 'plastic') start=2 loss=0.467693 evaluations=108
noise=0 labels=('plastic', 'metal') start=0 loss=1.42382e-22 evaluations=11
noise=0 labels=('plastic', 'metal') start=1 loss=0.771628 evaluations=120
noise=0 labels=('plastic', 'metal') start=2 loss=0.0450227 evaluations=115
noise=0 labels=('metal', 'plastic') start=0 loss=0.547523 evaluations=82
noise=0 labels=('metal', 'plastic') start=1 loss=0.555042 evaluations=120
noise=0 labels=('metal', 'plastic') start=2 loss=0.654737 evaluations=120
noise=0 labels=('metal', 'metal') start=0 loss=0.138953 evaluations=60
noise=0 labels=('metal', 'metal') start=1 loss=0.138953 evaluations=62
noise=0 labels=('metal', 'metal') start=2 loss=0.331856 evaluations=119
noise=0.01 labels=('plastic', 'plastic') start=0 loss=0.445755 evaluations=120
noise=0.01 labels=('plastic', 'plastic') start=1 loss=0.445755 evaluations=120
noise=0.01 labels=('plastic', 'plastic') start=2 loss=0.467594 evaluations=120
noise=0.01 labels=('plastic', 'metal') start=0 loss=4.93436e-05 evaluations=12
noise=0.01 labels=('plastic', 'metal') start=1 loss=0.771556 evaluations=120
noise=0.01 labels=('plastic', 'metal') start=2 loss=0.0448123 evaluations=73
noise=0.01 labels=('metal', 'plastic') start=0 loss=0.54793 evaluations=80
noise=0.01 labels=('metal', 'plastic') start=1 loss=0.555492 evaluations=116
noise=0.01 labels=('metal', 'plastic') start=2 loss=0.654219 evaluations=120
noise=0.01 labels=('metal', 'metal') start=0 loss=0.139148 evaluations=61
noise=0.01 labels=('metal', 'metal') start=1 loss=0.139148 evaluations=62
noise=0.01 labels=('metal', 'metal') start=2 loss=0.331402 evaluations=120
