case,axis,value,data_error,physical_residual,bandwidth,angular_order,bessel_terms,baseline_matrix_change,baseline_rhs_change
circle,trace_cutoff,8,9.637229023675108e-09,0.0008522298563066361,,,,,
circle,trace_cutoff,12,6.280473696345193e-15,5.723366563502765e-07,,,,,
circle,trace_cutoff,16,6.1088083029208974e-15,1.1136266954730617e-10,,,,,
circle,trace_cutoff,24,6.1088083029208974e-15,4.437273053280087e-15,,,,,
circle,trace_cutoff,32,6.1088083029208974e-15,4.437630716504821e-15,,,,,
circle,trace_cutoff,40,6.1088083029208974e-15,4.437630716504821e-15,,,,,
circle,trace_cutoff,48,6.100644157400919e-15,4.437630716504821e-15,,,,,
ellipse,trace_cutoff,8,9.365233170190482e-09,0.00017433398104154137,,,,,
ellipse,trace_cutoff,12,4.822802448996959e-15,6.3039538721882e-08,,,,,
ellipse,trace_cutoff,16,4.887489589961255e-15,6.3442542373141095e-12,,,,,
ellipse,trace_cutoff,24,4.803112103415699e-15,3.697096842523542e-15,,,,,
ellipse,trace_cutoff,32,4.887489589961255e-15,3.7035840678157666e-15,,,,,
ellipse,trace_cutoff,40,4.727064645148166e-15,3.6831739625805056e-15,,,,,
ellipse,trace_cutoff,48,4.807946900433374e-15,3.687112340911008e-15,,,,,
star,trace_cutoff,8,0.018419515169706198,0.17450022154525996,,,,,
star,trace_cutoff,12,0.00026097176418284627,0.0471986679603312,,,,,
star,trace_cutoff,16,6.0012448504291265e-06,0.00896399220177749,,,,,
star,trace_cutoff,24,1.4884854727018415e-09,0.00011395509282347578,,,,,
star,trace_cutoff,32,2.9573797846236646e-13,2.4629033865792028e-06,,,,,
star,trace_cutoff,40,4.811189391883357e-15,3.8598832163145706e-08,,,,,
star,trace_cutoff,48,4.529509085421237e-15,2.3890453910975124e-09,,,,,
star,independent_expansion_controls,,4.814117714209613e-15,,64,36,28,5.420778864062817e-13,1.0603419757044144e-23
star,independent_expansion_controls,,4.882308598263376e-15,,128,36,28,2.1112357756355652e-16,0.0
star,independent_expansion_controls,,4.811050682045487e-15,,96,24,28,0.0,3.898555514099771e-18
star,independent_expansion_controls,,4.811189391883357e-15,,96,48,28,0.0,0.0
star,independent_expansion_controls,,4.811292299936091e-15,,96,36,20,2.4429484700674656e-17,0.0
star,independent_expansion_controls,,4.811189391883357e-15,,96,36,36,0.0,0.0
ellipse_star,trace_cutoff,8,0.013013941658571752,0.12257034281517931,,,,,
ellipse_star,trace_cutoff,12,0.0001888744153928451,0.033381712375126216,,,,,
ellipse_star,trace_cutoff,16,4.3417498813361775e-06,0.0063648708596099795,,,,,
ellipse_star,trace_cutoff,24,1.0848053680847666e-09,8.069084295739332e-05,,,,,
ellipse_star,trace_cutoff,32,2.0766358670531962e-13,1.7325097178646365e-06,,,,,
ellipse_star,trace_cutoff,40,4.850426408440449e-15,2.7448994782928512e-08,,,,,
ellipse_star,trace_cutoff,48,4.827001427684376e-15,1.6832176539705685e-09,,,,,
ellipse_star,independent_expansion_controls,,4.792640533020411e-15,,64,36,28,3.83795234318998e-13,8.209285706823158e-24
ellipse_star,independent_expansion_controls,,4.8172654805653674e-15,,128,36,28,2.436276592108672e-16,0.0
ellipse_star,independent_expansion_controls,,4.827151317946318e-15,,96,24,28,9.850602662362832e-12,3.753223698491074e-18
ellipse_star,independent_expansion_controls,,4.850912624072665e-15,,96,48,28,1.70721723324139e-16,3.877092707892487e-27
ellipse_star,independent_expansion_controls,,4.844369350889321e-15,,96,36,20,2.639283963651415e-17,2.7548693079501605e-35
ellipse_star,independent_expansion_controls,,4.850426408440449e-15,,96,36,36,0.0,0.0
