case,method,repetition,seconds,data_error,nodal_nodes_per_component,one_time_setup_seconds
circle,nodal,0,0.003957765991799533,3.982579817698122e-15,32,0
circle,native,0,0.06282607500907034,6.1088083029208974e-15,32,0.0014614830724895
circle,compiled,0,0.0074671918991953135,1.3241443247678047e-14,32,0.908441964071244
circle,compiled,1,0.007216627011075616,1.3241443247678047e-14,32,0.908441964071244
circle,native,1,0.06276787805836648,6.1088083029208974e-15,32,0.0014614830724895
circle,nodal,1,0.003881111042574048,3.982579817698122e-15,32,0
circle,nodal,2,0.0035437849583104253,3.982579817698122e-15,32,0
circle,native,2,0.06159565399866551,6.1088083029208974e-15,32,0.0014614830724895
circle,compiled,2,0.007078888942487538,1.3241443247678047e-14,32,0.908441964071244
circle,compiled,3,0.006971118040382862,1.3241443247678047e-14,32,0.908441964071244
circle,native,3,0.06238865805789828,6.1088083029208974e-15,32,0.0014614830724895
circle,nodal,3,0.003862702054902911,3.982579817698122e-15,32,0
circle,nodal,4,0.003564018988981843,3.982579817698122e-15,32,0
circle,native,4,0.06214080995414406,6.1088083029208974e-15,32,0.0014614830724895
circle,compiled,4,0.007506930036470294,1.3241443247678047e-14,32,0.908441964071244
circle,compiled_self_matrix,0,0.002053787000477314,,,0.908441964071244
circle,compiled_self_matrix,1,0.0019385539926588535,,,0.908441964071244
circle,compiled_self_matrix,2,0.0017781939823180437,,,0.908441964071244
circle,compiled_self_matrix,3,0.001667089993134141,,,0.908441964071244
circle,compiled_self_matrix,4,0.0016850800020620227,,,0.908441964071244
ellipse,nodal,0,0.0035539879463613033,5.258290689983025e-15,32,0
ellipse,native,0,0.0700260529993102,4.727064645148166e-15,32,0.007095064967870712
ellipse,compiled,0,0.008637423045001924,4.6818887642157266e-15,32,0.8786993440007791
ellipse,compiled,1,0.0086987370159477,4.6818887642157266e-15,32,0.8786993440007791
ellipse,native,1,0.0699051310075447,4.727064645148166e-15,32,0.007095064967870712
ellipse,nodal,1,0.0033163679763674736,5.258290689983025e-15,32,0
ellipse,nodal,2,0.0030439889524132013,5.258290689983025e-15,32,0
ellipse,native,2,0.06977017596364021,4.727064645148166e-15,32,0.007095064967870712
