stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
pre_topology,0,0.41783644950295706,0.9141514639303018,0.001,7,1.3443342740920908e-15,1,2,1.3104031650000252,large_initial,"[0.5, 0.5, 0.115, -1.5077186461126546e-17, 2.4166330487252233e-18, -1.277622919407881e-18, 1.5395670849294163e-17, 0.115, 1.2061411943662857e-18, 2.0795540899685526e-18]",,
pre_topology,1,0.40190153946176455,0.8965506560833743,0.001,14,1.488498671957504e-15,1,2,1.3104031650000252,large_initial,"[0.49999999999997413, 0.49999999999996364, 0.1123052162940337, -1.4525467479474004e-17, 2.371394536121944e-18, -1.2102831920648954e-18, 1.497812164306475e-17, 0.1123052162940337, 1.2450890333262725e-18, 1.6830034008937355e-18]",,
pre_topology,2,0.4017145447419823,0.8963420605349078,0.0003,21,1.4498349295584008e-15,1,2,1.3104031650000252,large_initial,"[0.5000000000000063, 0.4999999999999366, 0.11200244158775406, -1.446347862587922e-17, 2.3663117247127535e-18, -1.202717179949681e-18, 1.4931207548255027e-17, 0.11200244158775406, 1.2494650507688703e-18, 1.6384486122686638e-18]",,
pre_topology,3,0.4017128717866387,0.8963401941078383,8.999999999999999e-05,28,1.4618930170573031e-15,1,2,1.3104031650000252,large_initial,"[0.5000000000000122, 0.4999999999999381, 0.1119736792089121, -1.445758993420818e-17, 2.3658288780802535e-18, -1.2019984392415995e-18, 1.4926750898013252e-17, 0.1119736792089121, 1.2498807548184244e-18, 1.6342160866214457e-18]",,
pre_topology,4,0.40171285732774226,0.8963401779768015,2.6999999999999996e-05,35,1.4806456582648749e-15,1,2,1.3104031650000252,large_initial,"[0.5000000000000132, 0.499999999999904, 0.11197100491892004, -1.4457042411025594e-17, 2.365783983604588e-18, -1.2019316116299795e-18, 1.4926336524250732e-17, 0.11197100491892004, 1.2499194064607484e-18, 1.6338225516832637e-18]",,
pre_topology,5,0.4017128572025229,0.8963401778371007,8.099999999999999e-06,42,1.414324816030183e-15,1,2,1.3104031650000252,large_initial,"[0.4999999999999732, 0.4999999999999274, 0.1119707568884078, -1.4456991630274126e-17, 2.365779819807906e-18, -1.2019254136160054e-18, 1.492629809261584e-17, 0.1119707568884078, 1.2499229912577124e-18, 1.6337860527723042e-18]",,
pre_topology,6,0.40171285720137145,0.8963401778358163,2.4299999999999996e-06,49,1.4169317979580406e-15,1,2,1.3104031650000252,large_initial,"[0.499999999999996, 0.49999999999992817, 0.11197073389299403, -1.445698692228727e-17, 2.3657794337738383e-18, -1.201924838985511e-18, 1.4926294529540725e-17, 0.11197073389299403, 1.2499233236115375e-18, 1.633782668883959e-18]",,
split_proposal_first_k1,0,0.37016236986570455,0.8604212571359501,0.001,7,4.1638146401891135e-16,1,1,1.5186367240094114,split_seed_000,"[0.43, 0.5, 0.016068126383003995, 0.0, 0.0, 0.016068126383003995]",,
split_proposal_first_k1,1,0.238775108692514,0.6910500831235229,0.001,14,4.2793865122450777e-16,1,1,1.5186367240094114,split_seed_000,"[0.43321772330143576, 0.4999999999999923, 0.028068126383003992, -2.1820984641973846e-18, 1.6996616692943938e-18, 0.028068126383003995]",,
split_proposal_first_k1,2,0.18517154819043258,0.6085582111687139,0.0003,21,4.648066231392895e-16,1,1,1.5186367240094114,split_seed_000,"[0.4296151569869856, 0.5000000000000068, 0.040068126383003985, -4.364196928394769e-18, 3.3993233385887876e-18, 0.040068126383004]",,
