iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_mean_radius,raw_amplitude,raw_rotation,gradient_center_x,gradient_center_y,gradient_log_mean_radius,gradient_amplitude,gradient_rotation,step_center_x,step_center_y,step_log_mean_radius,step_amplitude,step_rotation
0,1.4608054057475712,1.199636954737388,0.48,0.52,0.06,0.001,11,3.629113203945023e-15,9.595546670258045,8.723357600159943,0.0,0.48,0.52,-2.8134107167600364,0.12,0.25,-17.964209148498934,18.44069586339277,-1.8842395298370627,2.3651191838937877,0.2869290535568727,0.0,0.0,0.0,0.0,0.0
1,1.0755348449103717,1.0384383176313108,0.48231939577081867,0.5178267859172735,0.06551991160810233,0.001,22,3.6767694140425935e-15,9.70065517257899,8.817604103125632,0.8830266008153558,0.48231939577081867,0.5178267859172735,-2.7254011885209204,0.05,0.22359266066609573,-19.056285302871572,20.885805046344537,-0.3466017737085155,1.2869255922891003,0.17180674242702276,0.0023193957708186885,-0.0021732140827265267,0.08800952823911601,-0.06999999999999999,-0.026407339333904267
2,0.8563982924757885,0.9187078713226701,0.4877468165260649,0.5111365587075437,0.06618080554893936,0.0003,33,3.8236699074348035e-15,9.736400184221566,8.858148273080587,0.8782298360019922,0.4877468165260649,0.5111365587075437,-2.7153648044724004,0.05,0.13592331350664433,-18.31932677515463,9.38353038895002,1.0277269162620737,0.7617646454986707,0.14595383557957203,0.005427420755246215,-0.006690227209729782,0.01003638404852003,0.0,-0.0876693471594514
3,0.7031546641287434,0.8259835223006947,0.4931480132659761,0.5074857944143303,0.0651587948564876,8.999999999999999e-05,44,4.006837448447824e-15,9.60829056147486,8.737244106829166,0.8710241233929992,0.4931480132659761,0.5074857944143303,-2.730927990562246,0.05,0.06426098497594497,-13.162859873778194,8.729675667846319,1.9824845922990824,-0.060698515576927736,0.12384377088207985,0.00540119673991124,-0.0036507642932134265,-0.015563186089845527,0.0,-0.07166232853069936
4,0.5549122326149805,0.728817565008879,0.4972531704508751,0.5038197851758178,0.06299457262720082,2.6999999999999996e-05,55,4.787011343153942e-15,9.428075456991792,8.57274801377207,0.8553043073043227,0.4972531704508751,0.5038197851758178,-2.7647067050762133,0.05,-0.0005089384756553905,-7.023630359658382,9.256517127598352,1.7861779883976694,-1.3081942533142341,-0.00029258956677950115,0.004105157184898955,-0.0036660092385124576,-0.03377871451396741,0.0,-0.06476992345160036
5,0.3798825832124675,0.601269714779397,0.4991648825896681,0.5012567077915906,0.060477188955270926,8.099999999999999e-06,66,4.106118347311499e-15,9.439308912493289,8.58558273036033,0.8537044255062938,0.4991648825896681,0.5012567077915906,-2.805489027105209,0.09609861917126714,-0.00032889222479297737,-3.664786632989509,5.627907306449323,2.095114407308043,-1.3891856591713045,-0.0032235497391395404,0.0019117121387930425,-0.0025630773842272303,-0.040782322028995566,0.04609861917126713,0.00018004625086241315
6,0.14293059711053668,0.36790209038328614,0.49978294427672254,0.5003226114734138,0.05595842536219984,2.4299999999999996e-06,77,3.1664358831495238e-15,9.365050158463418,8.516025139018893,0.8490025056526065,0.49978294427672254,0.5003226114734138,-2.8831462682119233,0.1583304193635688,0.00021624997172981056,-1.5458289512006278,2.331501605244441,1.530180559345953,-1.2244154711695094,0.00244857946807717,0.0006180616870544164,-0.0009340963181767581,-0.07765724110671446,0.06223180019230165,0.0005451421965227879
7,0.005319608319028888,0.07078999969695834,0.4999664901376536,0.5000491132435313,0.050958347497201406,7.289999999999998e-07,88,4.732187871192294e-15,9.37972866743803,8.526759163476527,0.8529475554823875,0.4999664901376536,0.5000491132435313,-2.9767466956929622,0.22718496000074145,0.00014690965468814606,-0.27710568937179797,0.4071052652242337,0.22333899147948608,-0.29896016135884707,0.0015084680783474047,0.00018354586093105585,-0.0002734982298825406,-0.09360042748103892,0.06885454063717267,-6.93403170416645e-05
8,1.8656968123842045e-05,0.004204234149318577,0.4999993977183361,0.5000008679921341,0.050014218297683065,2.1869999999999994e-07,99,5.554779862935966e-15,9.405798747204244,8.554122984409332,0.8516517151147127,0.4999993977183361,0.5000008679921341,-2.995447948024664,0.2483476267304962,8.789722323961106e-05,-0.0050711803794006236,0.007156054645808816,0.000489751856756558,-0.015459618026559069,0.00022503079294495078,3.2907580682528526e-05,-4.8245251397238675e-05,-0.018701252331701834,0.021162666729754753,-5.9012431448535004e-05
9,9.645699282230984e-06,0.0030214534057171494,0.5000000000604771,0.500000000773773,0.05000460138663237,6.560999999999998e-08,110,6.2795310617853306e-15,9.470111176371574,8.611353740096092,0.8587349280714989,0.5000000000604771,0.500000000773773,-2.9956402500556356,0.24950298170573404,7.850949844416264e-05,-1.4899892374579254e-05,1.8728227302502315e-05,8.351399827049265e-07,-7.151711365623633e-05,2.0228976146540074e-06,6.02342140942902e-07,-8.672183610114459e-07,-0.0001923020309715362,0.0011553549752378323,-9.387724795448414e-06
10,9.645505860641244e-06,0.0030213147321324183,0.5000000017596312,0.4999999984545388,0.05000456207123576,1.9682999999999992e-08,121,6.930387448424011e-15,10.10479819495231,9.24757456406951,0.8571993745863438,0.5000000017596312,0.4999999984545388,-2.9956410362915213,0.24950834528877594,7.842310144056933e-05,-4.9105697565512973e-08,5.574406101820084e-08,2.4399938904691876e-08,-2.1683508839279077e-07,1.3357204070672118e-08,1.6991541507138663e-09,-2.319234249092972e-09,-7.862358857302354e-07,5.363583041900766e-06,-8.63970035933152e-08
11,9.64550585689956e-06,0.0030213143544253105,0.5000000017650511,0.49999999844749293,0.05000456186771718,5.904899999999998e-09,132,6.6541370393657734e-15,11.740530083887279,10.68449507188052,1.0560048250481486,0.5000000017650511,0.49999999844749293,-2.9956410403615217,0.24950836177172964,7.842252158742032e-05,-1.6479148427783752e-10,1.625379015407491e-10,2.136461562675905e-10,-6.522144724795641e-10,8.278606641355657e-11,5.419886761615089e-12,-7.045863892329862e-12,-4.07000033675331e-09,1.6482953696383973e-08,-5.798531490033842e-10
