iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,modal_step_m,loss,relative_l2_error,applied_damping,accepted_backtrack_count,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,trust_region_predicted_relative_change,accepted_step_predicted_relative_change,arclength_refit_rms_m,arclength_refit_maximum_m,arclength_speed_ratio_before,arclength_speed_ratio_after,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1,0,0.5,3,"0,0,0,0,0,0,0",0.7003924126296983,1.1835475593567824,0.0,0,0.0,0.0,0.00026145787949414406,0.10201407773787122,0.4927542519210629,0.00022509548996127796,0.0,0.0,0.0,0.0,1.87990752635215,1.87990752635215,0.002747951363865959,,0,0,initialized,1,6.121447004386777e-16
1,1,1,0.5,3,"-0.00071257413706804701,0.00079716216153169928,-0.00052363455218569542,-0.00032284289184882157,-0.0006390589433845291,5.9292828915075876e-05,-0.00019076378284923329",0.6442735398135813,1.1351418764309429,23.08241526761366,0,0.001994954967775463,0.001994013987565353,0.00010913747877790943,0.0943591338236083,0.4999931977631088,8.749330230832606e-05,0.08212445736565434,0.08212445736565434,0.0,0.0,1.8624047993315533,1.8624047993315533,0.002747951363865965,,0,400,distance_boundary_and_eikonal_tolerances,16,6.291984688937026e-16
2,1,2,0.5,3,"-0.00067597791585877361,0.00080323810301473288,-0.00053361313529334353,-0.00032915223997163716,-0.00063239399856735118,8.6544971115531865e-05,-0.00018385151220737077",0.5912376434716,1.0874167954115843,22.70008611420349,0,0.001997642771487046,0.0019972634739680944,0.00013917870689864352,0.09121053317542181,0.5341550485034053,0.0001128481418149925,0.08446986657455469,0.08446986657455469,0.0,0.0,1.8482008186484653,1.8482008186484653,0.0027479513638659567,,0,300,distance_boundary_and_eikonal_tolerances,31,6.291984688937026e-16
3,1,3,0.5,3,"-0.0006366258115264252,0.00080439206375390333,-0.00054252270833499323,-0.00033459245617778428,-0.00062389433934535699,0.00011263105489294152,-0.00017629171779043809",0.5413824324059667,1.0405598804547163,22.32408972882702,0,0.001991268031569328,0.001990912110311336,8.404680923087988e-05,0.07410305102997945,0.5806320824067296,5.5845149869117663e-05,0.08661898313060289,0.08661898313060289,0.0,0.0,1.8339216318616285,1.8339216318616285,0.002747951363865948,,0,1180,distance_boundary_and_eikonal_tolerances_at_final_state,46,6.291984688937026e-16
4,1,4,0.5,3,"-0.00059984934156141843,0.00080759532744070718,-0.0005549069185318777,-0.00034184223093032843,-0.00061867872960259655,0.00013737379877703189,-0.00016974504364170639",0.4943774324824272,0.9943615363462396,21.75773906956001,0,0.001991402281263664,0.0019906919779062843,9.121553651291699e-05,0.07145605971581384,0.5934756267829451,6.252541174100215e-05,0.08929563383832206,0.08929563383832206,0.0,0.0,1.8193382688802155,1.8193382688802155,0.002747951363865953,,0,240,distance_boundary_and_eikonal_tolerances,61,6.291984688937026e-16
5,1,5,0.5,3,"-0.00056452824566638937,0.00081291808015816747,-0.00057091679850789011,-0.00035091580139472525,-0.00061628036762194696,0.00016044515113640813,-0.00016413817700198648",0.449953872033763,0.9486346736586881,21.015877043372527,0,0.0019966241027361007,0.0019953156860282382,8.103388574861368e-05,0.06497594020990567,0.5360175399429443,5.717964755551259e-05,0.09254219524851862,0.09254219524851862,0.0,0.0,1.802894356262696,1.802894356262696,0.0027479513638659484,,0,1180,distance_boundary_and_eikonal_tolerances_at_final_state,76,6.291984688937026e-16
6,1,6,0.5,3,"-0.0005251029529576189,0.00081344849053740403,-0.00058576935670038004,-0.00035883463203297531,-0.00061100601013585785,0.0001800749450687382,-0.00015803920763388826",0.40823879409911856,0.9035914940935627,20.299309891075175,0,0.0019888076035650968,0.0019867096222075924,0.00011193688432690556,0.06451045070246185,0.5384996861995326,7.185456769230863e-05,0.09560106859204683,0.09560106859204683,0.0,0.0,1.7854624727345396,1.7854624727345396,0.0027479513638659667,,0,260,distance_boundary_and_eikonal_tolerances,91,6.291984688937026e-16
7,1,7,0.5,3,"-0.0004900006198392641,0.00082303106594799566,-0.00060940316130224511,-0.00037148268197623267,-0.00061289590475482392,0.00019727941726620062,-0.00015416564417477976",0.3686731446786098,0.8586887034060825,19.257616255614614,0,0.0019992143189306267,0.001996279039393564,7.515749984213452e-05,0.0625501626306082,0.5122657348940922,4.8436981948484555e-05,0.10010966610691585,0.10010966610691585,0.0,0.0,1.7648352897809905,1.7648352897809905,0.0027479513638659636,,0,680,distance_boundary_and_eikonal_tolerances,106,6.291984688937026e-16
8,1,8,0.5,3,"-0.00044900478573998515,0.00082742573589577955,-0.00063184135782195887,-0.00038272711668901167,-0.00061072328998373155,0.00020845719206676909,-0.00014959720721383191",0.331438329317934,0.8141723764878467,18.26937890196766,0,0.0019919199964939815,0.001988508350374001,0.00010691849785272554,0.0651287455561402,0.48337161951770746,6.859268990970017e-05,0.10448627025827364,0.10448627025827364,0.0,0.0,1.7425961538151085,1.7425961538151085,0.002747951363865954,,0,100,distance_boundary_and_eikonal_tolerances,121,6.291984688937026e-16
9,1,9,0.5,3,"-0.00040912574857129846,0.0008404879950984959,-0.00066368830865541617,-0.00039877280194502382,-0.00061431162950442123,0.00021434266824808847,-0.0001466923940725592",0.29609663694892807,0.7695409501110749,17.022860405131745,0,0.0019972938678554744,0.0019953618868175653,0.00011096780858665,0.07037212624024469,0.45946000802848186,8.075633856098607e-05,0.1105351628168972,0.1105351628168972,0.0,0.0,1.7188187227329694,1.7188187227329694,0.0027479513638659658,,0,100,distance_boundary_and_eikonal_tolerances,136,6.291984688937026e-16
