accepted_step,backtracks,case,coefficients,forward_solves,gradient_norm,kind,loss,maximum_normal_step_m,relative_l2,seed,stage,stage_accepted_step
0,0,circle,"[0.045, 0.485, 0.51, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,,identity,0.19714176032137706,0.0,0.6279199954156215,,0,0
1,0,circle,"[0.044981818398213816, 0.48654869363571096, 0.509172782842142, 0.0001399518356143231, -0.0002133221265581308, -4.103092828442594e-05, -8.438865981216111e-06, 0.0, 0.0, 0.0, 0.0]",2,53.10772020612504,identity,0.16325508551911364,0.002,0.5714106850928037,,0,1
2,0,circle,"[0.0450023453112807, 0.48808560226111924, 0.5083286701447262, 0.0002535934295365741, -0.00039711603411684226, -8.176810373247758e-05, -1.7800970421742813e-05, 0.0, 0.0, 0.0, 0.0]",3,48.65906283688637,identity,0.13263357294207137,0.002,0.5150409167087047,,0,2
3,0,circle,"[0.045063821461293486, 0.4896087186695839, 0.5074666173525246, 0.0003411514292158581, -0.0005498333769906212, -0.00012225489755272306, -2.772845727897324e-05, 0.0, 0.0, 0.0, 0.0]",4,44.052343828219406,identity,0.10527069950712807,0.002,0.4588479040098758,,0,3
4,0,circle,"[0.04516945853412998, 0.491115288962722, 0.5065854146969074, 0.0004027560616592012, -0.0006695154104551499, -0.00016247214161655319, -3.775703666338221e-05, 0.0, 0.0, 0.0, 0.0]",5,39.30574267488688,identity,0.08116209108127458,0.002,0.40289475320801726,,0,4
5,0,circle,"[0.045323906604698046, 0.4926012336975861, 0.5056838033031775, 0.000438423204283592, -0.000753638010020946, -0.00020229361321112406, -4.731820083927319e-05, 0.0, 0.0, 0.0, 0.0]",6,34.440510141153965,identity,0.06030677944400451,0.002,0.3472946283604298,,0,5
5,0,circle,"[0.045323906604698046, 0.4926012336975861, 0.5056838033031775, 0.000438423204283592, -0.000753638010020946, -0.00020229361321112406, -4.731820083927319e-05, 0.0, 0.0, 0.0, 0.0]",8,,identity,0.45527889254960824,0.0,0.56487965663247,,1,0
6,0,circle,"[0.045337077299880846, 0.4942345222013471, 0.5046690773047874, 0.00041697121435023865, -0.0006458048218971198, -2.965865183329847e-05, -5.4281331611983144e-05, 1.3345243734533868e-05, -3.460180816351973e-05, 5.714726221874779e-06, 1.3657435512741017e-05]",10,188.98129722702677,identity,0.32815693904723264,0.002,0.4780051912822885,,1,1
7,0,circle,"[0.04554987877568514, 0.4957203822400867, 0.5036894065957191, 0.0004257339359921452, -0.0005390833247734535, 0.00011688622896565852, -9.328608324000881e-05, 2.7500626489464382e-05, -4.671213030728312e-05, 1.0937284497283317e-05, 1.2986117213852857e-05]",12,164.51561297940322,identity,0.2251850955641733,0.002,0.3947478606984431,,1,2
8,0,circle,"[0.04592941876546735, 0.49703872135902494, 0.5027551055530046, 0.00045570497839547556, -0.00044375990245389954, 0.00022750649149447846, -0.00013809645674610832, 3.682037689659114e-05, -4.558300678060482e-05, 1.1008275672373713e-05, 7.22349079039852e-06]",14,139.31447566774028,identity,0.14424084749149213,0.002,0.31517340464717675,,1,3
9,0,circle,"[0.046464721054407285, 0.49821820463621863, 0.501840003508004, 0.0004906974616410759, -0.00035395067711023183, 0.00029924910643452506, -0.00017338614261974442, 3.532128102209984e-05, -3.5203385459719625e-05, 5.906884947955623e-06, 2.5766179575227293e-06]",16,112.54044251297225,identity,0.08210259391680805,0.002,0.2375018782253909,,1,4
10,0,circle,"[0.04717839473003247, 0.4992385313070106, 0.5009409838442828, 0.0005084983808179539, -0.000256754619570947, 0.00032191913322328233, -0.0001860626959865843, 1.8763599957030613e-05, -1.660248119116825e-05, -2.4168751431594724e-06, 1.5864031603596119e-06]",18,83.12270395537398,identity,0.03855231395059866,0.002,0.16292272630580712,,1,5
11,0,circle,"[0.04813444397059449, 0.49996136295321414, 0.5001408524165885, 0.0004673370966305336, -0.00013323918797862204, 0.000269051791207667, -0.0001560313216599664, -1.2278771375420143e-05, 4.700509344428568e-06, -9.032485863496833e-06, 2.598159379147537e-06]",20,52.28899750701537,identity,0.013435016980939279,0.002,0.09660482124263098,,1,6
12,0,circle,"[0.04950766467621197, 0.4999713073561288, 0.49985578515313617, 0.00024354585894789102, 3.347567787108342e-05, 7.243586207278458e-05, -3.7959465415785725e-05, -3.5119690146057247e-05, -7.585554662320089e-07, -2.510812946645045e-06, -2.4820680627963506e-06]",22,26.552500194593513,identity,0.0011025037670478503,0.002,0.027854184674655374,,1,7
