stage,stage_iteration,training_frequency_count,maximum_mode,loss,relative_l2_error,representation_evaluated,redistance_curve_drift_m,redistance_steps,redistance_stop_reason,evaluation_count
1,0,1,3,0.7003924126296983,1.1835475593567824,False,,0,not_evaluated,1
1,1,1,3,0.6442735398135813,1.1351418764309429,False,,0,not_evaluated,16
1,2,1,3,0.5912376434716,1.0874167954115843,False,,0,not_evaluated,31
1,3,1,3,0.5413824324059667,1.0405598804547163,False,,0,not_evaluated,46
1,4,1,3,0.4943774324824272,0.9943615363462396,False,,0,not_evaluated,61
1,5,1,3,0.449953872033763,0.9486346736586881,False,,0,not_evaluated,76
1,6,1,3,0.40823879409911856,0.9035914940935627,False,,0,not_evaluated,91
1,7,1,3,0.3686731446786098,0.8586887034060825,False,,0,not_evaluated,106
1,8,1,3,0.331438329317934,0.8141723764878467,False,,0,not_evaluated,121
1,9,1,3,0.29609663694892807,0.7695409501110749,False,,0,not_evaluated,136
1,10,1,3,0.2625962024290277,0.7247015971129465,False,,0,not_evaluated,151
1,11,1,3,0.23065719781235006,0.6792012924197803,False,,0,not_evaluated,166
1,12,1,3,0.20009933904849897,0.6326125813616086,False,,0,not_evaluated,181
1,13,1,3,0.17060967590716794,0.5841398392631133,False,,0,not_evaluated,196
1,14,1,3,0.14290603205366254,0.5346139393125893,False,,0,not_evaluated,211
1,15,1,3,0.11974484190489543,0.4893768321138535,False,,0,not_evaluated,226
1,16,1,3,0.10000949387861939,0.44723482395408204,False,,0,not_evaluated,241
1,17,1,3,0.08307133432911298,0.40760602137140456,False,,0,not_evaluated,256
1,18,1,3,0.06847333193292451,0.37006305390547833,False,,0,not_evaluated,271
1,19,1,3,0.05578774981205585,0.3340291897785456,False,,0,not_evaluated,286
2,0,2,5,0.7580063475012682,0.8437757042783114,False,,0,not_evaluated,1
2,1,2,5,0.6546694238180049,0.7842340561603114,False,,0,not_evaluated,24
2,2,2,5,0.560526471374491,0.7257697715358453,False,,0,not_evaluated,47
2,3,2,5,0.47458992139376,0.6679722041385546,False,,0,not_evaluated,70
2,4,2,5,0.39630181412783105,0.6105999926295916,False,,0,not_evaluated,93
2,5,2,5,0.32502266960417275,0.5532387186010993,False,,0,not_evaluated,116
2,6,2,5,0.26034375383812847,0.49549572966262906,False,,0,not_evaluated,139
2,7,2,5,0.20158336905941276,0.4364672263421562,False,,0,not_evaluated,162
2,8,2,5,0.1512225652942556,0.3785747801123175,False,,0,not_evaluated,185
2,9,2,5,0.11032635673015567,0.3238636395653108,False,,0,not_evaluated,208
2,10,2,5,0.08430575000683407,0.2833680168735791,False,,0,not_evaluated,231
2,11,2,5,0.06499984258604713,0.24892034565196125,False,,0,not_evaluated,254
2,12,2,5,0.04895746269564836,0.2160648798058591,False,,0,not_evaluated,277
2,13,2,5,0.035014270562865026,0.18273472518422385,False,,0,not_evaluated,300
2,14,2,5,0.023233791560397097,0.14885754756103944,False,,0,not_evaluated,323
2,15,2,5,0.013797660392202444,0.11471818946373823,False,,0,not_evaluated,346
2,16,2,5,0.006814407815283429,0.08062593866595007,False,,0,not_evaluated,369
2,17,2,5,0.002372290214745284,0.04757475856960832,False,,0,not_evaluated,392
2,18,2,5,0.00032306825621641026,0.01754985879537794,False,,0,not_evaluated,415
2,19,2,5,1.8177005804485418e-05,0.004158742302806386,False,,0,not_evaluated,438
2,20,2,5,5.830515570348791e-07,0.0007438065395650869,False,,0,not_evaluated,461
3,0,3,5,5.054653136514171e-06,0.0011114537798857468,False,,0,not_evaluated,1
3,1,3,5,4.150789306485739e-08,0.00010159841818892737,False,,0,not_evaluated,24
3,2,3,5,3.6044465720154694e-10,9.556341448882263e-06,False,,0,not_evaluated,47
3,3,3,5,3.3752188116181103e-12,9.379003336355525e-07,False,,0,not_evaluated,70
3,4,3,5,3.5088444676875544e-14,9.731693748971506e-08,False,,0,not_evaluated,93
3,5,3,5,4.086982623108104e-16,1.0683124213404753e-08,False,,0,not_evaluated,116
