stage,stage_iteration,training_frequency_count,maximum_mode,loss,relative_l2_error,representation_evaluated,redistance_curve_drift_m,redistance_steps,redistance_stop_reason,evaluation_count
1,0,1,3,0.7003924126296983,1.1835475593567824,True,0.00026145787949414406,0,initialized,1
1,1,1,3,0.6442735398135813,1.1351418764309429,True,0.00010913747877790943,400,distance_boundary_and_eikonal_tolerances,16
1,2,1,3,0.5912376434716,1.0874167954115843,True,0.00013917870689864352,300,distance_boundary_and_eikonal_tolerances,31
1,3,1,3,0.5413824324059667,1.0405598804547163,True,8.404680923087988e-05,1180,distance_boundary_and_eikonal_tolerances_at_final_state,46
1,4,1,3,0.4943774324824272,0.9943615363462396,True,9.121553651291699e-05,240,distance_boundary_and_eikonal_tolerances,61
1,5,1,3,0.449953872033763,0.9486346736586881,True,8.103388574861368e-05,1180,distance_boundary_and_eikonal_tolerances_at_final_state,76
1,6,1,3,0.40823879409911856,0.9035914940935627,True,0.00011193688432690556,260,distance_boundary_and_eikonal_tolerances,91
1,7,1,3,0.3686731446786098,0.8586887034060825,True,7.515749984213452e-05,680,distance_boundary_and_eikonal_tolerances,106
1,8,1,3,0.331438329317934,0.8141723764878467,True,0.00010691849785272554,100,distance_boundary_and_eikonal_tolerances,121
1,9,1,3,0.29609663694892807,0.7695409501110749,True,0.00011096780858665,100,distance_boundary_and_eikonal_tolerances,136
1,10,1,3,0.2625962024290277,0.7247015971129465,True,0.00012290908945687326,120,distance_boundary_and_eikonal_tolerances,151
1,11,1,3,0.23065719781235006,0.6792012924197803,True,0.00010815846341523143,100,distance_boundary_and_eikonal_tolerances,166
1,12,1,3,0.20009933904849897,0.6326125813616086,True,9.698512300436598e-05,180,distance_boundary_and_eikonal_tolerances,181
1,13,1,3,0.17060967590716794,0.5841398392631133,True,8.602146295067578e-05,180,distance_boundary_and_eikonal_tolerances,196
1,14,1,3,0.14290603205366254,0.5346139393125893,True,9.967660573543312e-05,100,distance_boundary_and_eikonal_tolerances,211
1,15,1,3,0.11974484190489543,0.4893768321138535,True,7.73470281471161e-05,200,distance_boundary_and_eikonal_tolerances,226
1,16,1,3,0.10000949387861939,0.44723482395408204,True,8.601261823373229e-05,300,distance_boundary_and_eikonal_tolerances,241
1,17,1,3,0.08307133432911298,0.40760602137140456,True,0.00012118119153070676,120,distance_boundary_and_eikonal_tolerances,256
1,18,1,3,0.06847333193292451,0.37006305390547833,True,7.098579416721163e-05,200,distance_boundary_and_eikonal_tolerances,271
1,19,1,3,0.05578774981205585,0.3340291897785456,True,7.0494211476505e-05,340,distance_boundary_and_eikonal_tolerances,286
2,0,2,5,0.7580063475012682,0.8437757042783114,True,7.0494211476505e-05,0,initialized,1
2,1,2,5,0.6546694238180049,0.7842340561603114,True,9.104328490019088e-05,100,distance_boundary_and_eikonal_tolerances,24
2,2,2,5,0.560526471374491,0.7257697715358453,True,7.254390848627571e-05,220,distance_boundary_and_eikonal_tolerances,47
2,3,2,5,0.47458992139376,0.6679722041385546,True,0.00010154240428704451,120,distance_boundary_and_eikonal_tolerances,70
2,4,2,5,0.39630181412783105,0.6105999926295916,True,9.42092033785741e-05,200,distance_boundary_and_eikonal_tolerances,93
2,5,2,5,0.32502266960417275,0.5532387186010993,True,0.00013109239673372316,140,distance_boundary_and_eikonal_tolerances,116
2,6,2,5,0.26034375383812847,0.49549572966262906,True,0.000155179979785,360,distance_boundary_and_eikonal_tolerances,139
2,7,2,5,0.20158336905941276,0.4364672263421562,True,0.0001648910291586151,280,distance_boundary_and_eikonal_tolerances,162
2,8,2,5,0.1512225652942556,0.3785747801123175,True,0.00019903580809159483,780,distance_boundary_and_eikonal_tolerances,185
2,9,2,5,0.11032635673015567,0.3238636395653108,True,0.00024621488450179773,300,distance_boundary_and_eikonal_tolerances,208
2,10,2,5,0.08430575000683407,0.2833680168735791,True,0.0002646102094651523,620,distance_boundary_and_eikonal_tolerances,231
2,11,2,5,0.06499984258604713,0.24892034565196125,True,0.0003046108077025105,800,distance_boundary_and_eikonal_tolerances,254
2,12,2,5,0.04895746269564836,0.2160648798058591,True,0.00033110140537897555,860,distance_boundary_and_eikonal_tolerances,277
2,13,2,5,0.035014270562865026,0.18273472518422385,True,0.00034601223082076743,180,distance_boundary_and_eikonal_tolerances,300
2,14,2,5,0.023233791560397097,0.14885754756103944,True,0.00039379292720465676,140,distance_boundary_and_eikonal_tolerances,323
2,15,2,5,0.013797660392202444,0.11471818946373823,True,0.00042927009641527126,340,distance_boundary_and_eikonal_tolerances,346
2,16,2,5,0.006814407815283429,0.08062593866595007,True,0.00044617592873028516,280,distance_boundary_and_eikonal_tolerances,369
2,17,2,5,0.002372290214745284,0.04757475856960832,True,0.0004231202809702679,540,distance_boundary_and_eikonal_tolerances,392
2,18,2,5,0.00032306825621641026,0.01754985879537794,True,0.00035676850014769185,900,distance_boundary_and_eikonal_tolerances,415
2,19,2,5,1.8177005804485418e-05,0.004158742302806386,True,0.00034209410094620873,100,distance_boundary_and_eikonal_tolerances,438
2,20,2,5,5.830515570348791e-07,0.0007438065395650869,True,0.0003220050585292187,720,distance_boundary_and_eikonal_tolerances,461
3,0,3,5,5.054653136514171e-06,0.0011114537798857468,True,0.0003220050585292187,0,initialized,1
3,1,3,5,4.150789306485739e-08,0.00010159841818892737,True,0.0003226136007552193,260,distance_boundary_and_eikonal_tolerances,24
3,2,3,5,3.6044465720154694e-10,9.556341448882263e-06,True,0.0003391085589432067,180,distance_boundary_and_eikonal_tolerances,47
3,3,3,5,3.3752188116181103e-12,9.379003336355525e-07,True,0.0003226536191831353,220,distance_boundary_and_eikonal_tolerances,70
3,4,3,5,3.5088444676875544e-14,9.731693748971506e-08,True,0.0003307989272144543,100,distance_boundary_and_eikonal_tolerances,93
