topology,nodes_per_component,frequency_hz,relative_oracle_error,oracle_tolerance,linear_system_relative_residual,pass,production_to_refined_relative_change
one_circle,64,500000000.0,1.9556751105346524e-15,0.0001,4.2487236518557293e-16,True,2.859082708047433e-14
one_circle,64,1500000000.0,8.528339956745512e-14,0.0001,9.24409745511178e-16,True,2.859082708047433e-14
one_circle,64,2500000000.0,2.070940300363038e-14,0.0001,1.534134454637861e-15,True,2.859082708047433e-14
one_circle,128,500000000.0,2.1358384035377555e-15,1e-06,5.083791957070801e-16,True,2.859082708047433e-14
one_circle,128,1500000000.0,1.1539168778396677e-13,1e-06,1.4164089624435557e-15,True,2.859082708047433e-14
one_circle,128,2500000000.0,5.71195173232913e-14,1e-06,1.8102922604256173e-15,True,2.859082708047433e-14
two_circles,64,500000000.0,2.9332617388267192e-15,0.0001,5.564582832898123e-16,True,3.5122230488453694e-14
two_circles,64,1500000000.0,6.41557787424699e-14,0.0001,2.0373430700729207e-15,True,3.5122230488453694e-14
two_circles,64,2500000000.0,3.8188343173859057e-14,0.0001,4.5080747706221705e-15,True,3.5122230488453694e-14
two_circles,128,500000000.0,2.0869468020700518e-15,1e-06,6.169560560018647e-16,True,3.5122230488453694e-14
two_circles,128,1500000000.0,1.322215791502589e-13,1e-06,1.9814729654837414e-15,True,3.5122230488453694e-14
two_circles,128,2500000000.0,5.700409458360099e-14,1e-06,3.6123623721807355e-15,True,3.5122230488453694e-14
