stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
pre_topology,0,0.8554648253938976,1.3080250956261483,0.001,7,4.559925244563804e-16,1,1,1.8178862899949308,far_initial,"[0.035, 0.5, 0.66]",,
pre_topology,1,0.5515940591339084,1.05032762425246,0.001,14,4.3269551332503834e-16,1,1,1.8178862899949308,far_initial,"[0.023000000000000003, 0.5000003517374942, 0.6500047694707117]",,
pre_topology,2,0.45935853251931613,0.9584972952693356,0.0003,21,4.167917212774169e-16,1,1,1.8178862899949308,far_initial,"[0.012783936063477792, 0.5000005708008147, 0.6250047694707117]",,
pre_topology,3,0.4381054557976771,0.9360613823865153,8.999999999999999e-05,29,4.278562413218892e-16,1,1,1.8178862899949308,far_initial,"[0.018599447661509703, 0.5000002237610374, 0.6129334674855642]",,
pre_topology,4,0.43293715280442513,0.9305236727826165,2.6999999999999996e-05,36,4.345148139839181e-16,1,1,1.8178862899949308,far_initial,"[0.02271670208299596, 0.5000000704528687, 0.6248153977269086]",,
pre_topology,5,0.4287297267409368,0.9259910655518623,8.099999999999999e-06,43,4.3367234861695484e-16,1,1,1.8178862899949308,far_initial,"[0.022952767890968312, 0.5000000466745039, 0.6154379320945457]",,
pre_topology,6,0.42767827057488367,0.9248548757236278,2.4299999999999996e-06,50,4.3160251860947103e-16,1,1,1.8178862899949308,far_initial,"[0.023151018535917472, 0.5000000251750354, 0.6200114720335667]",,
pre_topology,7,0.42741065113649634,0.9245654667318007,7.289999999999998e-07,57,4.290369030134266e-16,1,1,1.8178862899949308,far_initial,"[0.023371167866606243, 0.5000000171950508, 0.6177452525331377]",,
pre_topology,8,0.427349934901585,0.9244997943770294,2.1869999999999994e-07,64,4.182623747039978e-16,1,1,1.8178862899949308,far_initial,"[0.023351206267931204, 0.5000000116239998, 0.6188081072943873]",,
pre_topology,9,0.4273370964627221,0.924485907369844,6.560999999999998e-08,71,4.410903961797972e-16,1,1,1.8178862899949308,far_initial,"[0.02338248737470804, 0.5000000093937684, 0.6183184127435137]",,
pre_topology,10,0.4273343811546749,0.9244829702646499,1.9682999999999992e-08,78,4.2633830797158923e-16,1,1,1.8178862899949308,far_initial,"[0.023373131170387768, 0.5000000079409332, 0.618543172449498]",,
pre_topology,11,0.42733381172732227,0.9244823543230256,5.904899999999998e-09,85,4.3039689127621313e-16,1,1,1.8178862899949308,far_initial,"[0.023378511798626246, 0.5000000073292711, 0.6184401608452825]",,
pre_topology,12,0.42733369198102666,0.9244822247950757,1.7714699999999993e-09,92,4.146803774542359e-16,1,1,1.8178862899949308,far_initial,"[0.023376277111087678, 0.5000000069510447, 0.6184873695969533]",,
pre_topology,13,0.42733366687583213,0.9244821976391239,5.314409999999998e-10,99,4.2447585519218935e-16,1,1,1.8178862899949308,far_initial,"[0.023377349885789673, 0.5000000067850905, 0.618465737220324]",,
pre_topology,14,0.42733366158944375,0.9244821919209083,1.5943229999999992e-10,106,4.0285889533967907e-16,1,1,1.8178862899949308,far_initial,"[0.023376868543919568, 0.5000000066863906, 0.6184756500195207]",,
pre_topology,15,0.42733366048589894,0.9244821907272186,4.7829689999999974e-11,113,4.2564562218014463e-16,1,1,1.8178862899949308,far_initial,"[0.023377091262141464, 0.5000000066416166, 0.6184711076699857]",,
post_topology_k1,0,0.31920602339169224,0.7990069128508114,0.001,13,5.903185059299907e-16,2,1,8.345096047007246,far_initial,"[0.023377091262141464, 0.5000000066416166, 0.6184711076699857]",td_birth_001,"[0.01617780769985051, 0.42945945945945946, 0.499954954954955]"
post_topology_k1,1,0.21625025368853165,0.6576477076498201,0.001,26,5.906344076450649e-16,2,1,8.345096047007246,far_initial,"[0.015974615043175353, 0.4997581744573432, 0.6187467947809303]",td_birth_001,"[0.02817780769985051, 0.43572058514275713, 0.5009413914720171]"
post_topology_k1,2,0.17424866295277816,0.590336620840649,0.0003,39,6.239981665210372e-16,2,1,8.345096047007246,far_initial,"[0.014742400456779154, 0.4977598519030462, 0.615603484067476]",td_birth_001,"[0.038949950025309814, 0.4281024119532592, 0.5013750528032634]"
post_topology_k1,3,0.1641556003073318,0.5729844680396351,8.999999999999999e-05,52,6.291928235048595e-16,2,1,8.345096047007246,far_initial,"[0.015480686604288096, 0.48930241552853593, 0.6091300237366295]",td_birth_001,"[0.04038787995032218, 0.433540557283563, 0.5018888637013291]"
post_topology_k1,4,0.15720339374827055,0.5607198832719783,2.6999999999999996e-05,65,6.108891595402883e-16,2,1,8.345096047007246,far_initial,"[0.017094370776920633, 0.48019165933571567, 0.604945852533868]",td_birth_001,"[0.04089540141177942, 0.4321025457192664, 0.503036233961691]"
post_topology_k1,5,0.1539727668809605,0.5549284041765395,8.099999999999999e-06,78,6.222643776900404e-16,2,1,8.345096047007246,far_initial,"[0.018342042326358776, 0.4756374955081981, 0.6000844608736511]",td_birth_001,"[0.041746908956408375, 0.43259751551506875, 0.5035016467711237]"
post_topology_k1,6,0.15303187141344593,0.5532302801066584,2.4299999999999996e-06,91,6.260885059490083e-16,2,1,8.345096047007246,far_initial,"[0.018732502331524466, 0.47227307153394554, 0.5993227928496566]",td_birth_001,"[0.041845593923366904, 0.4322476894405696, 0.5034276416161783]"
post_topology_k1,7,0.15274704843432682,0.5527152041229313,7.289999999999998e-07,104,6.228745945038574e-16,2,1,8.345096047007246,far_initial,"[0.018810669533895263, 0.4710216028058493, 0.5976930878752884]",td_birth_001,"[0.04200716755066032, 0.43226573766841014, 0.503281776902573]"
post_topology_k1,8,0.15265122803303174,0.5525418138621396,2.1869999999999994e-07,117,6.221487252251099e-16,2,1,8.345096047007246,far_initial,"[0.018810849967588982, 0.46995156415792927, 0.5973242730308419]",td_birth_001,"[0.04202215333616781, 0.43219809566489553, 0.503183809597302]"
post_topology_k1,9,0.15261791920928502,0.5524815276718036,6.560999999999998e-08,130,6.284551092149031e-16,2,1,8.345096047007246,far_initial,"[0.018787074089441053, 0.4694677804075953, 0.5968059712569818]",td_birth_001,"[0.04205734120542057, 0.432184376873033, 0.503104499168667]"
post_topology_k1,10,0.15260599381557957,0.5524599421054517,1.9682999999999992e-08,143,6.22576356366619e-16,2,1,8.345096047007246,far_initial,"[0.01877060605834299, 0.4691056581011879, 0.5966256687729513]",td_birth_001,"[0.04206576913582355, 0.43216763818223614, 0.5030612212891117]"
post_topology_k1,11,0.15260169633356402,0.5524521632387078,5.904899999999998e-09,156,6.13532392685764e-16,2,1,8.345096047007246,far_initial,"[0.018756881964410332, 0.4689194084230008, 0.5964544698990683]",td_birth_001,"[0.04207481702270431, 0.43216003550205734, 0.5030306581253965]"
post_topology_k1,12,0.15260013671411746,0.552449340146438,1.7714699999999993e-09,169,6.245312503073151e-16,2,1,8.345096047007246,far_initial,"[0.018748785412230413, 0.46879251837268765, 0.5963787824354613]",td_birth_001,"[0.042078567879288306, 0.43215481503653047, 0.5030136594159073]"
post_topology_k1,13,0.15259956961409596,0.5524483136259825,5.314409999999998e-10,182,6.168668831653886e-16,2,1,8.345096047007246,far_initial,"[0.018743234749303873, 0.46872244557460463, 0.5963201584557557]",td_birth_001,"[0.042081344703704254, 0.4321517678473782, 0.5030024573384452]"
post_topology_k1,14,0.15259936301932714,0.5524479396636883,1.5943229999999992e-10,195,6.039048859605776e-16,2,1,8.345096047007246,far_initial,"[0.018739987526115096, 0.46867715870519966, 0.5962905220076]",td_birth_001,"[0.04208280781767727, 0.4321499430141717, 0.5029960411910697]"
post_topology_k1,15,0.1525992877099926,0.5524478033443386,4.7829689999999974e-11,208,6.279557768266684e-16,2,1,8.345096047007246,far_initial,"[0.018737903790064035, 0.468651147848762, 0.596269945542019]",td_birth_001,"[0.04208375392921876, 0.43214881082707934, 0.5029919715256654]"
