stage,iteration,loss,relative_l2_error,damping,evaluation_count,maximum_system_residual,component_count,maximum_mode,stage_total_seconds,component_0_id,component_0_parameters,component_1_id,component_1_parameters
pre_topology,0,2.487393646528994,1.6223758378826092,0.001,7,2.089045362587961e-15,1,1,3.220021978020668,middle_initial,"[0.05, 0.5, 0.5]",,
pre_topology,1,1.940030536011204,1.497422977269573,0.001,14,1.6163772648276208e-15,1,1,3.220021978020668,middle_initial,"[0.04325098178693735, 0.5002808886371919, 0.5004909452409386]",,
pre_topology,2,1.6524575614281753,1.4040900070325286,0.0003,21,1.1897222824960168e-15,1,1,3.220021978020668,middle_initial,"[0.03804081898263643, 0.5009049731266818, 0.5015019399757978]",,
pre_topology,3,1.6042273220183922,1.37166205250318,8.999999999999999e-05,28,1.0129479376059775e-15,1,1,3.220021978020668,middle_initial,"[0.035777695919584074, 0.5017489592099749, 0.5023403053122941]",,
pre_topology,4,1.5906868028542092,1.355248644620126,2.6999999999999996e-05,35,8.937143201451915e-16,1,1,3.220021978020668,middle_initial,"[0.034526478931084924, 0.5023039104642504, 0.5023661545544932]",,
pre_topology,5,1.5838675411148517,1.3441720387620135,8.099999999999999e-06,42,8.677998666355766e-16,1,1,3.220021978020668,middle_initial,"[0.03364883125496259, 0.5026306078179453, 0.5020124000397914]",,
pre_topology,6,1.578149349829574,1.3348730875743045,2.4299999999999996e-06,49,8.306152293317339e-16,1,1,3.220021978020668,middle_initial,"[0.03290312927155598, 0.5027467183482008, 0.501386475244225]",,
pre_topology,7,1.5708092452824989,1.3253246631481868,7.289999999999998e-07,56,8.288166863722534e-16,1,1,3.220021978020668,middle_initial,"[0.03215723964697635, 0.5026211882728182, 0.500478549200807]",,
pre_topology,8,1.558590157723895,1.313419475486878,2.1869999999999994e-07,63,7.827346243632464e-16,1,1,3.220021978020668,middle_initial,"[0.03129464395995258, 0.5021989862069333, 0.49924391684038033]",,
pre_topology,9,1.5363162389437557,1.2961593314713657,6.560999999999998e-08,70,7.574158934632013e-16,1,1,3.220021978020668,middle_initial,"[0.030167123947906157, 0.5014256996730966, 0.49764769737813075]",,
pre_topology,10,1.496793093287892,1.2694354303464361,1.9682999999999992e-08,77,7.142881311448259e-16,1,1,3.220021978020668,middle_initial,"[0.028562370472594238, 0.5002905882895288, 0.49572316800525645]",,
pre_topology,11,1.434321906514217,1.2296659598698962,5.904899999999998e-09,84,6.966399644603803e-16,1,1,3.220021978020668,middle_initial,"[0.026225767739445398, 0.49888579375559555, 0.493636896831368]",,
pre_topology,12,1.353900365471084,1.1790255155954337,1.7714699999999993e-09,91,6.702322809353744e-16,1,1,3.220021978020668,middle_initial,"[0.023064106750833143, 0.49742333029280716, 0.4916811718127993]",,
pre_topology,13,1.271081976392026,1.1270865991230288,5.314409999999998e-10,98,7.482760793362558e-16,1,1,3.220021978020668,middle_initial,"[0.019313504319705938, 0.49613500876700733, 0.4901193305032941]",,
pre_topology,14,1.1732847827190653,1.0736969263201055,1.5943229999999992e-10,105,8.29576655388493e-16,1,1,3.220021978020668,middle_initial,"[0.014572511928899547, 0.49512024047327247, 0.4890025964764288]",,
pre_topology,15,1.0246115701454905,1.011904609894657,4.7829689999999974e-11,112,4.1384483184326226e-16,1,1,3.220021978020668,middle_initial,"[0.006543561901035439, 0.4942961088240938, 0.48818836554733674]",,
split_proposal_first_k1,0,0.8732113743911212,0.9497202059513704,0.001,7,8.12612595097456e-16,1,1,1.7090267910098191,split_seed_000,"[0.012, 0.58, 0.5633333333333332]",,
split_proposal_first_k1,1,0.8715192134414972,0.9512914485871717,0.001,14,8.318873009666201e-16,1,1,1.7090267910098191,split_seed_000,"[0.011745427196524272, 0.5804888149150574, 0.564374168240113]",,
split_proposal_first_k1,2,0.8713809775154777,0.9511007274795261,0.0003,21,7.880079004032644e-16,1,1,1.7090267910098191,split_seed_000,"[0.011917039988388169, 0.580718025100848, 0.5643222106613645]",,
