analytic_direction_evaluations,budget_exhausted,case,forward_solves,geometry_symmetric_distance_m,holdout_clean_relative_error,joint_shape,material_absolute_error,name,noisy,physical_recovery_passed,policy,qualification_seconds,search_completed,selected_training_loss,verified_stationarity,workflow_seconds,workflow_status
732,False,circle,126,0.041439059847842255,0.8495300940093323,True,1.1188959656952928,circle_joint_clean_full_band,False,False,full_band,1.3132181484252214,True,0.7022631127746762,False,40.59264527447522,selected
504,False,circle,103,0.021740717879777927,0.9214183187844761,True,4.584139133156751,circle_joint_clean_continuation,False,False,continuation,1.3351858612149954,True,0.6551556632913755,False,24.801959658041596,selected
534,False,circle,112,1.2412670766236366e-16,1.7796891559317104e-14,True,3.1086244689504383e-15,circle_joint_clean_multistart,False,True,multistart,1.096978085115552,True,1.0929821695695267e-28,True,28.36730480566621,selected
864,False,circle,148,0.041492802902126556,0.8475244971199317,True,1.12472523866919,circle_joint_noisy_full_band,True,False,full_band,1.3046491350978613,True,0.7047850321211463,False,43.52564105670899,selected
588,False,circle,113,0.021771163323597117,0.921309649116671,True,4.5848146431689125,circle_joint_noisy_continuation,True,False,continuation,1.3377973325550556,True,0.6548053951590979,False,31.87565474025905,selected
690,False,circle,136,6.489308952677983e-05,0.0034875962591106274,True,4.8317111643214616e-05,circle_joint_noisy_multistart,True,True,multistart,1.137720818631351,True,7.417091622811785e-05,True,35.613794785924256,selected
300,False,noncircular,52,0.01675779690739135,0.5234945177986773,True,0.4582484420571271,noncircular_joint_clean_full_band,False,False,full_band,1.1874484373256564,True,0.2127078717342015,False,11.733579955995083,selected
54,False,noncircular,11,3.31578194440582e-14,2.297101593111322e-11,True,2.469136006766348e-13,noncircular_joint_clean_continuation,False,True,continuation,1.2231689123436809,True,2.6496557175703415e-22,True,2.0205930108204484,selected
120,False,noncircular,27,2.4133628613654646e-14,2.1626329578767545e-11,True,6.750155989720952e-14,noncircular_joint_clean_multistart,False,True,multistart,1.2207262897863984,True,2.353206701898326e-22,True,4.497757995501161,selected
312,False,noncircular,54,0.01677680221568902,0.5234820144664678,True,0.4595948843941393,noncircular_joint_noisy_full_band,True,False,full_band,1.1855673789978027,True,0.2134841709684824,False,12.211585552431643,selected
108,False,noncircular,21,5.1051089878045175e-05,0.006426834877572806,True,0.0019470456820673832,noncircular_joint_noisy_continuation,True,True,continuation,1.24676594696939,True,6.904239313239858e-05,True,4.245938454754651,selected
228,False,noncircular,57,5.1051091188107646e-05,0.006426834937693084,True,0.0019470457720007772,noncircular_joint_noisy_multistart,True,True,multistart,1.2496436638757586,True,6.904239313187011e-05,True,9.026567230932415,selected
68,False,circle,70,0.0,1.246785563925727,False,7.143255249087268,circle_fixed_clean_full_band,False,False,full_band,1.210601070895791,True,1.0813475900882628,False,3.611949953250587,selected
79,False,circle,81,0.0,1.2467856687873928,False,7.1432544877139,circle_fixed_clean_continuation,False,False,continuation,1.2083226135000587,True,1.081347590084723,False,4.163780000060797,selected
87,False,circle,92,0.0,1.5331267003163558e-14,False,8.881784197001252e-16,circle_fixed_clean_multistart,False,True,multistart,1.0959374895319343,True,2.5021782645655076e-28,True,4.523797690868378,selected
