iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,modal_step_m,loss,relative_l2_error,applied_damping,accepted_backtrack_count,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,trust_region_predicted_relative_change,accepted_step_predicted_relative_change,arclength_refit_rms_m,arclength_refit_maximum_m,arclength_speed_ratio_before,arclength_speed_ratio_after,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1,0,"0.5,1.5",5,"0,0,0,0,0,0,0,0,0,0,0",1.4232416288537713,1.192383977933574,0.0,0,0.0,0.0,0.0,0.09797271827026022,0.4963451359850982,2.484369090918065e-08,0.0,0.0,0.0,0.0,1.000015918565735,1.000015918565735,0.0007190024970595784,,0,0,initialized,1,2.3089458201643585e-15
1,1,1,"0.5,1.5",5,"-0.00095167868467968509,-0.00011582996161823759,-0.00083031373978908834,-0.00013025261618110036,0.00013620590358498274,0.00050334250047670873,-0.00023209378199021092,-0.00025990655336009019,-0.00056423380443593044,0.00029094810941832761,-0.00023894270892950279",1.3278672213079714,1.15252235888432,6.915821094890897,0,0.001992333037108282,0.0020017495823417076,8.957946705527666e-05,0.09527155310631319,0.4669495542213621,7.607155091943207e-05,0.06674153681119192,0.06674153681119192,1.1157543941595154e-08,3.158203955831332e-08,1.1180269186221283,1.0000525143057912,0.0007876496882647386,,0,180,distance_boundary_and_eikonal_tolerances,25,2.862441598606556e-15
2,1,2,"0.5,1.5",5,"-0.00093148507458511479,-0.00012616348598986962,-0.0010100852184175202,-0.00011799854355597751,0.00011777219506159044,0.00046306107049958839,-0.00025988895631304969,-0.00026638387326747371,-0.00048364811008836501,0.00024794399774720905,-0.00032361016552528906",1.2283524191816646,1.1094141691635073,6.6202022072537705,0,0.0019904344451748966,0.0019952476545223277,0.0001668976056635235,0.09507790109531772,0.48218735708234706,0.00015270815968984348,0.07554976240025489,0.07554976240025489,1.715671487898103e-08,5.196255427277207e-08,1.1361034618176402,1.000080187401805,0.0008518350262111722,,0,180,distance_boundary_and_eikonal_tolerances,49,2.862441598606556e-15
3,1,3,"0.5,1.5",5,"-0.00085758433562193258,-0.00011363960461937615,-0.0011680457067472577,-0.00012618546046547509,5.3127963382692564e-05,0.00041404656077906164,-0.00024983305512666921,-0.00025159788033239904,-0.00035245485713370823,0.00018254310745015478,-0.00038820117744463946",1.131283452648403,1.065614131832603,6.5693705529153785,0,0.0019891029631999386,0.001989966254261306,0.00025271568637284,0.09530472712410186,0.5230312475190929,0.00017911636081833896,0.08060214941948726,0.08060214941948726,5.343859675713114e-08,1.9871653067224935e-07,1.151077034833856,1.0003099457338473,0.0009051437011877873,,0,180,distance_boundary_and_eikonal_tolerances,73,2.862441598606556e-15
4,1,4,"0.5,1.5",5,"-0.00075336319264275424,-8.1817895027131273e-05,-0.0012643808439109529,-0.00014802641234970979,-3.3960770268917944e-05,0.00037301034952683755,-0.00021391869428721017,-0.00021481718338518604,-0.00020742336684893619,0.00010279404215296999,-0.00042498897298977664",1.0419254978147225,1.0235228992639769,6.697226918648107,0,0.0019956026612808287,0.001994997462191149,0.00027435718956660783,0.0968613884410396,0.5341669874876147,0.00017838868782414017,0.08131564072341829,0.08131564072341829,1.7484071255198314e-07,7.431696856389557e-07,1.170137462954809,1.0010692227135798,0.0009457896167074115,,0,180,distance_boundary_and_eikonal_tolerances,97,2.862441598606556e-15
5,1,5,"0.5,1.5",5,"-0.00065408431678298611,-4.0251711780817695e-05,-0.0013072781038905188,-0.00017863574480022259,-0.00011788426468261495,0.00034614800186449999,-0.00017405701495477058,-0.00016572345837871633,-8.235008835399534e-05,2.3082620693163015e-05,-0.0004437399613428543",0.9618597875635373,0.9841535534352426,6.766436630358393,0,0.001992656913834619,0.0019920940160565487,0.0003179983384544329,0.09984270409774808,0.5377054910864028,0.00020662150442368027,0.07968201126531861,0.07968201126531861,3.979396458189599e-07,1.814758498095993e-06,1.1859660806871197,1.00258289121677,0.000976947635965678,,0,180,distance_boundary_and_eikonal_tolerances,121,2.948829642204212e-15
6,1,6,"0.5,1.5",5,"-0.00057403278978016849,7.3584981252654845e-06,-0.001325748223159935,-0.00021906555901803019,-0.0001896764150021461,0.00032951169365974693,-0.00014118324362240843,-0.00011108033988079769,1.552236751007402e-05,-5.0594218176628745e-05,-0.00045741089584973386",0.8904162521448218,0.9475092139244861,6.5947756178359676,0,0.0019956793675870122,0.00199587445935537,0.00037176424492932266,0.09511287393845914,0.5440898705685241,0.00023708749513372132,0.07750177102696448,0.07750177102696448,7.411939799629334e-07,3.83257248091096e-06,1.2031796218887014,1.00486674455399,0.0010043383048648513,,0,220,distance_boundary_and_eikonal_tolerances,145,3.2521898984757493e-15
7,1,7,"0.5,1.5",5,"-0.00051031673146131038,6.3553725442648044e-05,-0.0013387442319802896,-0.00027206431975894564,-0.00024869805454128972,0.00031743302655273613,-0.0001151791629948279,-5.1852567833381943e-05,9.2162662572479131e-05,-0.00011928390883819892,-0.00047298501716896583",0.8264268787519808,0.9132922043380366,6.144814519857444,0,0.0019901012233571177,0.0019911170953880956,0.00042690068574012324,0.10200606557672466,0.5564303285456034,0.00025689811075147156,0.07541470205934626,0.07541470205934626,1.2117480013234532e-06,6.673327005167065e-06,1.2236896328368816,1.0083873694321883,0.0010342133125136605,,0,180,distance_boundary_and_eikonal_tolerances,169,3.2521898984757493e-15
8,1,8,"0.5,1.5",5,"-0.00046180363240881477,0.00013627717771300696,-0.0013745490782845844,-0.00034373328655443706,-0.00029923880762485269,0.00030843247279727494,-9.266023147024561e-05,1.3564156153139316e-05,0.00015640806105728168,-0.00018867359448660858,-0.00050034794015703095",0.7680523751025103,0.8807428728224082,5.376179778728472,0,0.001999232293245453,0.0020011810627018514,0.0004944463154304621,0.10372962932937566,0.5675690861899463,0.00028879376260611527,0.07457442376613548,0.07457442376613548,1.8829352911765172e-06,9.826242691925295e-06,1.2508686469395442,1.0148839384780863,0.0010726149652186174,,0,200,distance_boundary_and_eikonal_tolerances,193,3.959967493669679e-15
9,1,9,"0.5,1.5",5,"-0.00041388529037154339,0.00023557710309559781,-0.00142357494547052,-0.00043368900525857945,-0.0003377245089854127,0.00029637910508947135,-6.8801485869095466e-05,8.8317462323430639e-05,0.00021381806631432873,-0.00026307718688372851,-0.00053521703239451171",0.7144760961135906,0.8495512351972921,4.456575698463397,0,0.0019899368317503837,0.001993911919857798,0.0004693924356567085,0.10580536679436724,0.6066532651234549,0.0003130762728820466,0.07413007751949607,0.07413007751949607,2.8642656105589225e-06,1.6676728419658105e-05,1.295371699669805,1.023204507804395,0.0011240792041757014,,0,220,distance_boundary_and_eikonal_tolerances,217,3.959967493669679e-15
