iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,trust_region_predicted_relative_change,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1,0,0.5,1,0.701365600095142,1.1843695370070455,0.0,0.0,0.0,0.0,0.09797271827026022,0.4963451359850982,2.484369090918065e-08,0.0,0.011712094027614722,,0,0,initialized,1,6.057616794719436e-16
1,1,1,0.5,1,0.6049257949071869,1.09993253875607,7.635060803383347,0.003992076292217427,0.003992075645904238,0.00015153379047812464,0.09681707072913391,0.5123256521636235,9.378319582344433e-05,0.14323410956725294,0.011816585376020277,,0,180,distance_boundary_and_eikonal_tolerances,8,6.199796684101906e-16
2,1,2,0.5,1,0.5155982881158027,1.015478496193595,7.050420253840469,0.003989480346352285,0.0039894819865170395,0.00019067744498172404,0.09334303321860214,0.5286483977671437,0.0001108781982564512,0.15528978900258703,0.011926849517842057,,0,220,distance_boundary_and_eikonal_tolerances,15,6.199796684101906e-16
3,1,3,0.5,1,0.43369662272525256,0.9313394899017783,6.280475263738798,0.003994000945033184,0.003994004351647143,0.00024661822507496153,0.09382123111105911,0.5462313423036234,0.00015348934097028885,0.16881705387739995,0.012040985856707234,,0,220,distance_boundary_and_eikonal_tolerances,22,6.199796684101906e-16
4,1,4,0.5,1,0.35964838798921867,0.848113657464869,5.3969079920584795,0.0039841588630796015,0.003984138849886819,0.00029968018387948133,0.09430777114749336,0.5374312843177166,0.00016594977905693429,0.18351119138102706,0.012153588033253586,,0,240,distance_boundary_and_eikonal_tolerances,29,6.199796684101906e-16
5,1,5,0.5,1,0.29280838569990564,0.7652560168987964,4.393999658979175,0.003989855093618541,0.003989812190797574,0.0003684930313834904,0.0981241904051591,0.5344368905150257,0.0001987382456498663,0.20223602810427563,0.012255238479670916,,0,260,distance_boundary_and_eikonal_tolerances,36,6.199796684101906e-16
6,1,6,0.5,1,0.2323581060335978,0.6817009696833323,3.359164512479697,0.003995176710970976,0.003995178323532679,0.0004930684144200878,0.10054283211298787,0.7648585527434173,0.00023656469273837868,0.22754843114070736,0.012327544763457314,,0,360,distance_boundary_and_eikonal_tolerances,43,6.199796684101906e-16
7,1,7,0.5,1,0.2173530642142572,0.6593224768112447,2.3683521514768993,0.0009958298429936642,0.0009958025294167618,0.000444866078154126,0.1088444871979743,0.8454103245853622,0.00019935801329357995,0.265231142718119,0.012326006983943942,,0,160,distance_boundary_and_eikonal_tolerances,52,6.199796684101906e-16
8,1,8,0.5,1,0.2098368890089604,0.647822335226195,2.1097149627457927,0.0004993881822235055,0.0004993983262889382,0.0004911929875217355,0.09994464282678212,0.908543212017689,0.00020247787945413317,0.28045985855384087,0.012321889480901743,,0,300,distance_boundary_and_eikonal_tolerances,62,6.199796684101906e-16
9,1,9,0.5,1,0.20607525230252177,0.6419894894817543,1.9835300657160913,0.0002498651384196119,0.00024987154627402274,0.0004706722482849384,0.10100482158699885,0.945354974665562,0.00021663779073353637,0.28883306953668425,0.012318907312616822,,0,200,distance_boundary_and_eikonal_tolerances,73,6.199796684101906e-16
