iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,0.810431299163487,0.927792320722728,0.0,0.0,0.0,0.0,0.1001227152455013,0.5040874638879582,0.00011351073599193476,0,initialized,1,4.789022250375159e-16
1,0.795610260971141,0.9193045083350961,100.0,0.0004961883440338453,0.0027944266601647423,6.482858957940733e-05,0.09999676009362281,0.49941755786160025,0.00011803160360357098,160,distance_boundary_and_eikonal_tolerances,17,5.157600576154699e-16
2,0.7485471513698174,0.8918158661452763,30.0,0.0015767447946126005,0.0020019626047799582,8.120527425072706e-05,0.09714144669736863,0.4933159715909271,0.00011806905960404235,160,distance_boundary_and_eikonal_tolerances,33,5.157600576154699e-16
3,0.7330111536249351,0.8825486500894275,90.0,0.0005397076849186618,0.0007156305868771478,0.00010854766819571054,0.09551413783418301,0.49791541273108686,0.00011514638932049251,160,distance_boundary_and_eikonal_tolerances,49,5.157600576154699e-16
4,0.6849369433513186,0.8532171221190903,27.0,0.0017180876739207413,0.0021906446291149973,0.00014461830459820568,0.09415607942108487,0.494488712135731,0.00011522971761480233,160,distance_boundary_and_eikonal_tolerances,65,5.157600576154699e-16
5,0.6693136151315193,0.843457279169544,81.0,0.0005839196848461041,0.0027308938421648724,0.0002569061367940866,0.09349526392882934,0.49779669508760205,9.75321996937277e-05,160,distance_boundary_and_eikonal_tolerances,81,5.157600576154699e-16
6,0.6210418961291244,0.8125414036807685,24.3,0.0018595855994005337,0.002272314184592615,9.572316884453422e-05,0.08881067624742331,0.4815754825634091,9.355776234743624e-05,180,distance_boundary_and_eikonal_tolerances,97,5.157600576154699e-16
7,0.6057817380074931,0.8025159527188662,72.9,0.0006287864237599441,0.0007938735356828685,0.00012120673130540444,0.09156527054314684,0.502519632661611,7.567022021350879e-05,160,distance_boundary_and_eikonal_tolerances,113,5.157600576154699e-16
8,0.5579913713982979,0.7702557453316144,21.87,0.0019876191085148585,0.0032535351954990585,0.00012086329615494634,0.09025830122654468,0.48549771451658663,8.189229523803028e-05,180,distance_boundary_and_eikonal_tolerances,129,5.157600576154699e-16
9,0.5426011696214751,0.7595708756613253,65.61,0.0006599761170464082,0.0008329494930943684,0.00016132666335837265,0.09276388992673038,0.4999653368043736,6.527666603607651e-05,160,distance_boundary_and_eikonal_tolerances,145,5.157600576154699e-16
10,0.49556086937381916,0.7259249417487087,19.683,0.0020794663118899777,0.0024608262016085837,9.859995505010168e-05,0.09110203450107805,0.46423474659855624,7.662455028194758e-05,200,distance_boundary_and_eikonal_tolerances,161,5.157600576154699e-16
11,0.4803893532759085,0.7147290505509795,59.04899999999999,0.0006864375276693241,0.0026756472563049076,9.419220696400268e-05,0.09188872453525902,0.477795092803751,8.485362886058272e-05,180,distance_boundary_and_eikonal_tolerances,177,5.157600576154699e-16
12,0.43502571441954185,0.6801491675581773,17.714699999999997,0.0021164549036694195,0.002535200032513385,0.00011215710285233653,0.09590858364972976,0.48766262732901033,9.008075004560134e-05,180,distance_boundary_and_eikonal_tolerances,193,5.157600576154699e-16
13,0.42087678314231247,0.6689931651466964,53.14409999999999,0.0006733989067889831,0.002628651645540314,0.0001042662018773332,0.09603933265612678,0.5127689695372848,8.15070139684724e-05,180,distance_boundary_and_eikonal_tolerances,209,5.157600576154699e-16
14,0.37894318549735845,0.63476874675472,15.943229999999996,0.0020649546687669398,0.00242292737663577,0.00013703430816781209,0.09599060386260433,0.5216523583594188,9.596640364857405e-05,200,distance_boundary_and_eikonal_tolerances,225,5.157600576154699e-16
15,0.36585509419403756,0.6236988579402551,47.829689999999985,0.0006528347671736649,0.0008359598913423891,0.00011715388398624971,0.09678185214853204,0.5408108198632979,7.460413079179475e-05,180,distance_boundary_and_eikonal_tolerances,241,5.157600576154699e-16
16,0.3276262760658222,0.5901693863590625,14.348906999999995,0.001980111330177793,0.003163294244092961,0.00011884724354845164,0.09589463372184912,0.5254475147809582,7.807785563974934e-05,200,distance_boundary_and_eikonal_tolerances,257,5.157600576154699e-16
17,0.31593815873624487,0.5795292105316552,43.046720999999984,0.0005988297364673211,0.0007813162590052755,9.075667106656374e-05,0.09674877629288837,0.5333911458219889,7.628179492186887e-05,180,distance_boundary_and_eikonal_tolerances,273,5.157600576154699e-16
18,0.28166137243759093,0.5471320882448237,12.914016299999995,0.0018014906651418893,0.0031827345133642166,0.00010292031691080989,0.09841897765730716,0.5140309416242503,6.917535140905234e-05,180,distance_boundary_and_eikonal_tolerances,289,5.157600576154699e-16
19,0.2711254126314585,0.536781243986978,38.742048899999986,0.0005513846322186275,0.0007783872981948688,8.247293175003927e-05,0.09754216868782303,0.5120568695827705,7.798766923306985e-05,180,distance_boundary_and_eikonal_tolerances,305,5.157600576154699e-16
20,0.24008032927650313,0.5050494822458005,11.622614669999995,0.0016414695716729067,0.0023641093566075214,8.806680334800347e-05,0.09794781559655542,0.4850078078241169,8.150396287923481e-05,180,distance_boundary_and_eikonal_tolerances,321,5.157600576154699e-16
21,0.17049965018017216,0.42508945626472794,3.4867844009999986,0.003969463901195361,0.004753226512059173,0.001078507918033809,0.09692814586905964,0.525913286988233,0.00011326036105327453,220,distance_boundary_and_eikonal_tolerances,337,5.157600576154699e-16
22,0.15023705138928214,0.3989619739279816,10.460353202999995,0.0014579657616449987,0.0022010617658867067,8.601028340247703e-05,0.09722584275177701,0.5896648053957925,0.00011754484401284987,180,distance_boundary_and_eikonal_tolerances,353,5.157600576154699e-16
23,0.14392186394701398,0.390464302225498,31.381059608999987,0.0005051120843407092,0.0007413165441278656,8.060592775990393e-05,0.09630924202291222,0.6004693780806044,0.00010300679137441315,180,distance_boundary_and_eikonal_tolerances,369,5.157600576154699e-16
24,0.12450924156474476,0.363101633530203,9.414317882699995,0.0016185174550164304,0.0027472816720780185,8.394519689391524e-05,0.09691885301013412,0.6280644117577174,0.0001075580053772826,180,distance_boundary_and_eikonal_tolerances,385,5.157600576154699e-16
25,0.11867726000984498,0.3544742466258,28.242953648099984,0.0005622633759299856,0.0007916565677558243,8.197308133349216e-05,0.09576290793585902,0.6308606694343017,8.702835142262652e-05,180,distance_boundary_and_eikonal_tolerances,401,5.157600576154699e-16
26,0.10054055670579003,0.32618839629837987,8.472886094429995,0.0018050246824315773,0.0025594544773742743,5.749567589374924e-05,0.09606967006034804,0.651541596149737,8.410550235349312e-05,180,distance_boundary_and_eikonal_tolerances,417,5.157600576154699e-16
27,0.0950184158670822,0.31708147410737786,25.418658283289982,0.0006283355581546606,0.000871561717297314,7.604225005227676e-05,0.09492584522979192,0.6615906218169638,8.066662031274568e-05,180,distance_boundary_and_eikonal_tolerances,433,5.157600576154699e-16
28,0.07853098716354355,0.2881849627964794,7.6255974849869945,0.0019474384928126471,0.002766521198588837,6.278968949343005e-05,0.09429304668389327,0.6789524289836995,8.407032034501646e-05,180,distance_boundary_and_eikonal_tolerances,449,5.157600576154699e-16
29,0.07356107975562631,0.27889774219445873,22.876792454960984,0.0006715674373394647,0.0009147662876192277,0.0001002673406589975,0.09756082408357455,0.7113947077397296,8.151794571959955e-05,160,distance_boundary_and_eikonal_tolerances,465,5.157600576154699e-16
30,0.059137727409382335,0.24998923009006638,6.8630377364882955,0.0020235614351025487,0.002790175930985996,6.360692439190842e-05,0.09385617061627609,0.7031032222868534,6.460488007701409e-05,180,distance_boundary_and_eikonal_tolerances,481,5.157600576154699e-16
31,0.05480387997248359,0.24063486988609606,20.589113209464887,0.000705690588434873,0.0009289122994242684,9.657773160089936e-05,0.09580428844746215,0.7190126931867185,5.861826948023313e-05,160,distance_boundary_and_eikonal_tolerances,497,5.157600576154699e-16
32,0.04269273322373545,0.21232099465992674,6.176733962839466,0.002038498401412664,0.002874620238680979,6.231546464309687e-05,0.09260344463381182,0.7128881293299367,6.855939036146466e-05,180,distance_boundary_and_eikonal_tolerances,513,5.157600576154699e-16
33,0.03912889993249397,0.20325070619207886,18.5302018885184,0.000704222588555184,0.0009078868461732598,8.481575771487899e-05,0.0950208469841367,0.7328829741669869,7.383941527496288e-05,160,distance_boundary_and_eikonal_tolerances,529,5.157600576154699e-16
34,0.029484709303733536,0.1763773547487235,5.5590605665555195,0.001970044044150061,0.0025732258325498495,6.640112362480586e-05,0.09174505700753785,0.7185378930376696,0.00010401125055807536,180,distance_boundary_and_eikonal_tolerances,545,5.157600576154699e-16
35,0.02677165565284228,0.1680506297042033,16.67718169966656,0.0006636285974163676,0.0007927300741987036,5.828706458673188e-05,0.09720549714962264,0.7339566914643224,0.00010514996551368172,100,distance_boundary_and_eikonal_tolerances,561,5.157600576154699e-16
36,0.01968999140667623,0.14407751317308562,5.003154509899967,0.0017626974518402852,0.002226639535511371,7.157575754338316e-05,0.0914931072568881,0.7098857608107243,0.00011836126714739881,180,distance_boundary_and_eikonal_tolerances,577,5.157600576154699e-16
37,0.007982638675933365,0.09166244722151436,1.50094635296999,0.0038603104422034523,0.003803942094930395,8.572039088608874e-05,0.09390063030664737,0.6977068246314575,0.00011396255737127631,180,distance_boundary_and_eikonal_tolerances,593,5.157600576154699e-16
38,0.005674002733365767,0.07727133134065589,4.50283905890997,0.0010580046793253394,0.0012333027889081737,8.34168498717417e-05,0.09337425657261818,0.6694201759547191,0.00011215876327579782,180,distance_boundary_and_eikonal_tolerances,609,5.157600576154699e-16
39,0.0022522905277024413,0.04868632328537207,1.350851717672991,0.0020893912151487212,0.002335199903826321,7.386542956319347e-05,0.09286229204956185,0.6686334263618913,0.00012063037687914252,180,distance_boundary_and_eikonal_tolerances,625,5.157600576154699e-16
40,0.00042294679055815236,0.021198412492672757,0.4052555153018973,0.002230937812741089,0.0023389338019096846,7.69714732210285e-05,0.09819757733879889,0.660278484606524,9.407665934966364e-05,160,distance_boundary_and_eikonal_tolerances,641,5.157600576154699e-16
41,0.0002011269416537506,0.014790524158335483,0.12157665459056918,0.0009562050419072612,0.0010366417798655051,8.50748643531284e-05,0.09415211946525207,0.6565361380607773,0.00010054050031522987,180,distance_boundary_and_eikonal_tolerances,657,5.157600576154699e-16
42,0.0001963111148607543,0.0146367084289882,0.036472996377170754,0.00014678963996532523,0.00018913009095998686,3.7995471934013805e-05,0.09928145724104888,0.6909343936699348,8.393919608310624e-05,100,distance_boundary_and_eikonal_tolerances,673,5.157600576154699e-16
43,0.0001956329456299636,0.014612844338098022,0.010941898913151225,2.2507013363731813e-05,4.8232537168377875e-05,4.46660742653935e-05,0.10011242085490213,0.7108007916368438,6.777913472769126e-05,100,distance_boundary_and_eikonal_tolerances,689,5.157600576154699e-16
44,0.00019538932551146267,0.014598678060962747,0.0032825696739453673,2.3325631601152927e-05,0.001964680888123581,0.000207610056386296,0.1012586049503674,0.7254379169607403,6.593849425634308e-05,140,distance_boundary_and_eikonal_tolerances,705,5.157600576154699e-16
45,0.00019515649922772295,0.014597158558079847,0.0009847709021836102,4.395781235340168e-06,3.584547073110212e-05,2.984122459322662e-05,0.10121128563840694,0.730012133678005,6.436161090584563e-05,100,distance_boundary_and_eikonal_tolerances,721,5.157600576154699e-16
46,0.00019514472350695263,0.014595269303464687,0.00029543127065508306,2.4031067590342117e-05,3.636951861209528e-05,3.2280934586115484e-05,0.10052477769156762,0.7290411813855078,7.642004169252248e-05,100,distance_boundary_and_eikonal_tolerances,737,5.157600576154699e-16
47,0.00019455502500288386,0.01456888481584529,8.862938119652492e-05,2.3165170251630406e-05,4.118572563341117e-05,2.0071328624091154e-05,0.09933722278139304,0.7243442908242375,9.679044001383724e-05,100,distance_boundary_and_eikonal_tolerances,753,5.157600576154699e-16
48,0.00019432883442609998,0.014557920348173312,2.6588814358957473e-05,1.5411933432203573e-05,4.185385134969624e-05,3.836092361369218e-05,0.09745250570527256,0.7178993080059384,8.033883844538181e-05,100,distance_boundary_and_eikonal_tolerances,769,5.157600576154699e-16
49,0.00019379208381696062,0.014540352920463892,7.976644307687242e-06,5.6411376615661045e-06,3.0499159212098143e-05,2.391355298701724e-05,0.09705300602069308,0.7344391164785331,7.659303976490645e-05,100,distance_boundary_and_eikonal_tolerances,789,5.157600576154699e-16
50,0.00019341682210340114,0.01452643265057116,2.3929932923061724e-06,5.724323568818955e-06,3.766922312243306e-05,3.016010229555773e-05,0.09375382223365614,0.699950894710117,9.230642625705082e-05,100,distance_boundary_and_eikonal_tolerances,807,5.157600576154699e-16
