iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,0.8123911623556666,0.9288450223099215,0.0,0.0,0.0,0.0,0.1001227152455013,0.5040874638879582,0.00011351073599193476,0,initialized,1,5.07880456271596e-16
1,0.7950908052551373,0.9189059241629332,100.0,0.0007561438195118759,0.0028332489504650283,7.920706988952371e-05,0.09999613118473252,0.49251166585611594,0.0001196915692217547,160,distance_boundary_and_eikonal_tolerances,25,5.143047631946001e-16
2,0.7385879944288793,0.885663099451547,30.0,0.002568384011664899,0.0033298629788445686,0.00012351521094858535,0.09701697557636603,0.4834576270546599,0.00013547741648345726,180,distance_boundary_and_eikonal_tolerances,49,5.143047631946001e-16
3,0.718500948222903,0.8735163172721727,90.0,0.0011507048597763736,0.0015465454781101247,0.00011876909151551042,0.09531302275194635,0.5163172768013071,0.00013493118656386985,180,distance_boundary_and_eikonal_tolerances,73,5.143047631946001e-16
4,0.6526109797333537,0.8324007813919319,27.0,0.003920563930310945,0.0045542791102089995,0.00015623302681783252,0.09547095355815995,0.5674851874861145,0.00017085243907398115,220,distance_boundary_and_eikonal_tolerances,97,5.143047631946001e-16
5,0.6278755100270568,0.8164124588355285,81.0,0.0016182389213789561,0.002989915376989401,0.00016911496860525275,0.09736209477621331,0.5970470449102032,0.0001558557987428634,200,distance_boundary_and_eikonal_tolerances,121,5.143047631946001e-16
6,0.6194886811749274,0.8109178471835164,243.0,0.0005664151352002247,0.0010498233364389935,0.00016435102933336297,0.09928491244261958,0.6272386056125729,0.00013574438481185266,180,distance_boundary_and_eikonal_tolerances,145,5.143047631946001e-16
7,0.591701419662094,0.7924480040029562,72.89999999999999,0.0018412105749021955,0.0029816464295128273,0.00018208537155986113,0.10203721976767045,0.6251344795244278,0.0001555814407522677,200,distance_boundary_and_eikonal_tolerances,169,5.143047631946001e-16
8,0.5821113602507274,0.7859741976719983,218.7,0.0006391207234558481,0.00287723358795611,0.00018368344664757,0.10052922814592587,0.610721459549818,0.00012672452585113167,200,distance_boundary_and_eikonal_tolerances,193,5.143047631946001e-16
9,0.5516219909229154,0.7650315769270707,65.61,0.0020136945962643993,0.003278847161265074,0.0002307828160621429,0.10424326580587555,0.5710844100816761,0.00017357572137295663,220,distance_boundary_and_eikonal_tolerances,217,5.143047631946001e-16
