iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,0.810431299163487,0.927792320722728,0.0,0.0,0.0,0.0,0.1001227152455013,0.5040874638879582,0.00011351073599193476,0,initialized,1,4.789022250375159e-16
1,0.7931687713524649,0.9178614564048583,100.0,0.0007594731057678014,0.002834914959638579,7.924514367943255e-05,0.10000300849789429,0.49251682455560175,0.0001196613801045833,160,distance_boundary_and_eikonal_tolerances,25,5.157600576154699e-16
2,0.7367955309577406,0.8846496512493116,30.0,0.0025803973873259637,0.0033284375005779103,0.00012374311815344286,0.09711013340228188,0.48400695400604854,0.0001358815520389363,180,distance_boundary_and_eikonal_tolerances,49,5.157600576154699e-16
3,0.7167465677203022,0.8725100098943521,90.0,0.0011574904676392138,0.0015519388991677274,0.00011910040737860665,0.09543522671963088,0.5171266787492811,0.00013611595987916836,180,distance_boundary_and_eikonal_tolerances,73,5.157600576154699e-16
4,0.6509528406258743,0.8314001014629991,27.0,0.003946578665600062,0.0045841079037472355,0.00015693569825615385,0.09573259409715298,0.5689034015074222,0.00017077940881553635,220,distance_boundary_and_eikonal_tolerances,97,5.163205785646058e-16
5,0.6261906845141805,0.8153733411285069,81.0,0.001632102658779931,0.003016339667490066,0.0001708336138172214,0.09769759644624645,0.5986085778505119,0.000158466869016681,200,distance_boundary_and_eikonal_tolerances,121,5.163205785646058e-16
6,0.6177543217992388,0.809838970869073,243.0,0.0005719094908129815,0.0010618172740656845,0.00016616454701980985,0.09963114306691734,0.6278622675461258,0.000139073520999608,180,distance_boundary_and_eikonal_tolerances,145,5.163205785646058e-16
7,0.5899297788265483,0.7913176671402486,72.89999999999999,0.0018574157284874646,0.003009529545054098,0.00018490906337564994,0.10243150681001709,0.6249163425861599,0.00015706625213707248,200,distance_boundary_and_eikonal_tolerances,169,5.163205785646058e-16
8,0.580300504012647,0.7848075733031782,218.7,0.0006449481606529561,0.0028768987104308705,0.00018450048229577885,0.10083323892549956,0.6133795191839262,0.00012360129387490974,200,distance_boundary_and_eikonal_tolerances,193,5.163205785646058e-16
9,0.5496944877855316,0.7637512485043396,65.61,0.002030335042359303,0.0032910829614149497,0.00023514269049847224,0.10445745870559311,0.5719840386935264,0.0001712135830991713,220,distance_boundary_and_eikonal_tolerances,217,5.163205785646058e-16
10,0.5392481379372446,0.7564361970845365,196.82999999999998,0.0006847688275309651,0.0015915930078597802,0.0002435286598196044,0.1040732271502042,0.5614476947794618,0.00015709597435666772,200,distance_boundary_and_eikonal_tolerances,241,5.163205785646058e-16
11,0.5063755532156275,0.7329450406519227,59.04899999999999,0.0021326538999284564,0.0032327511138027804,0.0002725754839897577,0.10294806215834486,0.535335708329149,0.0002145628577727137,260,distance_boundary_and_eikonal_tolerances,265,5.163205785646058e-16
12,0.4956798678979474,0.7251407825902786,177.14699999999996,0.000714168606465069,0.001640716936506494,0.0002966214886613717,0.10256062964566338,0.5300562793608035,0.00021007127437202427,200,distance_boundary_and_eikonal_tolerances,289,5.163205785646058e-16
13,0.46150361827976616,0.6996423579039508,53.14409999999999,0.00221747794807183,0.0032195125852975287,0.00030874879891754526,0.10220923595430467,0.5553665075154353,0.00026686643573714877,260,distance_boundary_and_eikonal_tolerances,313,5.163205785646058e-16
14,0.45032830216568664,0.6911090220836074,159.43229999999997,0.000747886677578125,0.001747350537853992,0.0002803764288500545,0.10077761475165983,0.5753717121695767,0.0002594833989300743,220,distance_boundary_and_eikonal_tolerances,337,5.163205785646058e-16
15,0.41843011157202337,0.6661082430673825,47.82968999999999,0.0023346355405389394,0.003353350642648316,0.0005302706312506686,0.10118634199789454,0.5911301581710193,0.0002695361803066766,300,distance_boundary_and_eikonal_tolerances,361,5.163205785646058e-16
16,0.4028546478209315,0.6537018956706588,143.48906999999997,0.0007626156123092147,0.002211206757820013,0.0008196857112439605,0.10092242595774582,0.6044594852185696,0.0002847784463383608,240,distance_boundary_and_eikonal_tolerances,385,5.412037100896253e-16
17,0.3701086279596234,0.626580494137455,43.04672099999999,0.002354128775925139,0.0033015457542847184,0.0003705181033489819,0.10199643715872109,0.6275626061863461,0.0003399982303706041,320,distance_boundary_and_eikonal_tolerances,409,5.650682654146959e-16
18,0.3598177898481829,0.6178193478342626,129.14016299999997,0.0007819530899761773,0.0021966459086418125,0.0003484287217763149,0.10334881400657385,0.6293451682737339,0.00036665664813072957,240,distance_boundary_and_eikonal_tolerances,433,5.650682654146959e-16
19,0.32529915893695455,0.5875641092827145,38.74204889999999,0.0024068880973955537,0.0038172783657670732,0.0008320283303319964,0.1041033417064712,0.6405192369141421,0.00045919298255503276,320,distance_boundary_and_eikonal_tolerances,457,5.650682654146959e-16
