iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1.4278583267590634,1.1943114053912396,0.0,0.0,0.0,0.0,0.10049562965069418,0.5020961118159166,2.7061505977060696e-08,0,initialized,1,2.264817789009312e-15
1,1.3579974006078226,1.1651981894054995,10.0,0.001483599494142181,0.002245249286630137,8.680946328966283e-05,0.1007748147710204,0.4768774735352601,1.0941910839196156e-08,160,distance_boundary_and_eikonal_tolerances,29,2.4574536632462698e-15
2,1.1744798074760232,1.085387498722379,3.0,0.003801340023680672,0.005064556931083493,0.00015203887313058564,0.09899480927030783,0.48207968897483455,3.232953564059893e-08,180,distance_boundary_and_eikonal_tolerances,57,2.4574536632462698e-15
3,1.108725681059212,1.0552703748000327,9.0,0.0014738499529727016,0.0022260463477381362,0.00011244692658081381,0.0971670758054118,0.49179257460925685,3.910182546241342e-08,180,distance_boundary_and_eikonal_tolerances,85,2.578150383444779e-15
4,1.0872940286158188,1.0452438254680663,26.999999999999996,0.0005328628352006335,0.0014215493879956957,9.025150823642705e-05,0.09468977177678392,0.5062885675807605,3.8207625081571744e-08,180,distance_boundary_and_eikonal_tolerances,113,2.578150383444779e-15
5,1.0248457207123376,1.0154793479410893,8.099999999999998,0.0015856881586593517,0.002112794880210952,0.0001200218126917581,0.0946854796337803,0.5313443824001912,3.3778322074302924e-08,180,distance_boundary_and_eikonal_tolerances,141,2.578150383444779e-15
6,1.0045942558872802,1.0056125810930536,24.299999999999994,0.0005799661889247359,0.0014039997103946517,0.00012634214313084473,0.09297544156003541,0.5418129059233694,2.9012662960438418e-08,180,distance_boundary_and_eikonal_tolerances,169,2.578150383444779e-15
7,0.9459518218269096,0.9764901958771792,7.289999999999997,0.0018351279356501216,0.0019537431898477946,0.00011712355554780163,0.09422410137653896,0.5611446970909453,2.2341338778986142e-08,180,distance_boundary_and_eikonal_tolerances,197,2.578150383444779e-15
8,0.9279361773549226,0.9673067873030786,21.86999999999999,0.0006704073121123044,0.0013660844750670456,0.0001516169030124529,0.09807037081410341,0.583089682818046,2.280507942556409e-08,160,distance_boundary_and_eikonal_tolerances,225,2.578150383444779e-15
9,0.8751644183499314,0.9399425932352952,6.560999999999997,0.002041177826673915,0.001789971740248536,0.00012189193667725119,0.09730012884947278,0.5844086027578664,4.32435175237722e-08,180,distance_boundary_and_eikonal_tolerances,253,2.578150383444779e-15
10,0.8586429959182875,0.9311632343678358,19.68299999999999,0.0007140833518859247,0.0013300739364854224,0.00011880363683887194,0.0969132891175992,0.5957516480682128,5.5562268990588803e-08,180,distance_boundary_and_eikonal_tolerances,281,2.578150383444779e-15
11,0.812007028730671,0.9059233920028179,5.904899999999997,0.0021246528237763677,0.0017213354329657378,0.00012608833038401767,0.09927212537752693,0.5986505715496526,9.227926187765911e-08,180,distance_boundary_and_eikonal_tolerances,309,2.578150383444779e-15
12,0.7979254292892843,0.8981116000008011,17.71469999999999,0.0007059271699981548,0.0008452850912327924,0.00010307892482183584,0.09914681922800186,0.606703454203046,1.0860801985534962e-07,180,distance_boundary_and_eikonal_tolerances,337,2.578150383444779e-15
13,0.7574134369778758,0.8752416112062927,5.314409999999997,0.002048007767695795,0.001630182408545615,0.0001169195201286085,0.09975986869307549,0.6071501811353348,1.512833360702015e-07,200,distance_boundary_and_eikonal_tolerances,365,3.609958637268717e-15
14,0.7456581043480122,0.8684352569345855,15.943229999999991,0.0006403583404468623,0.0012981587082501141,0.00011035991651808619,0.10096134536867454,0.6217023283349328,1.8994302341396319e-07,180,distance_boundary_and_eikonal_tolerances,393,6.198116793288249e-15
15,0.7113533403597112,0.8482750398332338,4.782968999999997,0.001821517538294994,0.0019041648988623087,0.00013085231932129796,0.10275080726369923,0.609395267695369,2.2242120661236653e-07,200,distance_boundary_and_eikonal_tolerances,421,7.594678526316896e-15
16,0.7012538616198142,0.842192929140332,14.34890699999999,0.0005463770844591892,0.0012939865202635896,0.00010993729437922152,0.1015797724442625,0.6182318663609201,2.7899749570001187e-07,200,distance_boundary_and_eikonal_tolerances,449,7.594678526316896e-15
17,0.6714528239284173,0.8240066261810329,4.304672099999997,0.0016288410306351472,0.0017542235026122683,0.00010761929891744977,0.10487504006585194,0.621855041753482,2.841777000384127e-07,200,distance_boundary_and_eikonal_tolerances,477,7.594678526316896e-15
18,0.6626426151080516,0.818494863229405,12.914016299999991,0.0005409513340394961,0.0005178406997230088,0.00010363751060070905,0.10398870329972504,0.6228244913018455,3.1395067898523643e-07,200,distance_boundary_and_eikonal_tolerances,505,7.594678526316896e-15
19,0.6364584526178556,0.8019096468952882,3.874204889999997,0.0016275276588487337,0.0014674050220616832,0.0002152026551271011,0.10609433247060603,0.6040240321981654,3.785099285669169e-07,220,distance_boundary_and_eikonal_tolerances,533,7.594678526316896e-15
20,0.6287110072650737,0.7968697421651546,11.62261466999999,0.0005337405988627491,0.0004612594370628209,0.0001926487811504727,0.10504085570596251,0.6172901140246587,4.2130237102103174e-07,200,distance_boundary_and_eikonal_tolerances,561,7.594678526316896e-15
21,0.6050793581600905,0.7813346493616226,3.486784400999997,0.0016354116767808018,0.0018330103281120715,0.00011716153930027672,0.10501348065174593,0.6476850947135071,6.533949360731928e-07,240,distance_boundary_and_eikonal_tolerances,589,7.594678526316896e-15
22,0.5980225338266498,0.7765611835223557,10.46035320299999,0.0005332570900831651,0.00047177196622795535,9.784194640481275e-05,0.1047195305945293,0.6674559155920278,6.813533029517704e-07,200,distance_boundary_and_eikonal_tolerances,617,7.594678526316896e-15
23,0.5768703785975184,0.7621208708829895,3.138105960899997,0.0016273352594253004,0.001829070218348237,0.00011381794697071518,0.10592547619112655,0.6959438169408725,7.685740763055393e-07,220,distance_boundary_and_eikonal_tolerances,645,7.594678526316896e-15
24,0.5703268713503625,0.7575192663780119,9.41431788269999,0.000535873030577408,0.0013305490412777328,9.77848786997596e-05,0.10658624478464451,0.7015795873632422,8.774699675195841e-07,200,distance_boundary_and_eikonal_tolerances,673,7.594678526316896e-15
25,0.5506383817330491,0.7435777339926276,2.824295364809997,0.0016286619476223179,0.001718365956654847,0.00011579110868986402,0.10737611549600039,0.7123466033091617,1.0498477296602693e-06,240,distance_boundary_and_eikonal_tolerances,701,7.594678526316896e-15
26,0.5072108575058935,0.7117909349722146,0.8472886094429991,0.003911966835118321,0.0028765507267923232,0.00016292518655436816,0.10922833712064679,0.661548573692012,1.7745612830577517e-06,300,distance_boundary_and_eikonal_tolerances,729,7.594678526316896e-15
27,0.48826083107677876,0.6974262472866573,2.5418658283289974,0.001597039621516526,0.0018766764664441885,0.00011355327818141372,0.11109112861396864,0.7019140997403693,1.8544927736022232e-06,220,distance_boundary_and_eikonal_tolerances,757,7.594678526316896e-15
