iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,trust_region_predicted_relative_change,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1,0,"0.5,1.5,2.5",1,2.223592919150227,1.1941148823310916,0.0,0.0,0.0,0.0,0.09797271827026022,0.4963451359850982,2.484369090918065e-08,0.0,0.011712094027614722,,0,0,initialized,1,4.415777987351829e-15
1,1,1,"0.5,1.5,2.5",1,2.0314622844471852,1.1388906587527723,0.001,0.0031005850406998743,0.003100578237625009,0.0001196594445046452,0.09747630287688298,0.4895609721886628,7.658487503470895e-05,0.10093858514906548,0.011790599388624624,,0,180,distance_boundary_and_eikonal_tolerances,8,5.001000662375645e-15
2,1,2,"0.5,1.5,2.5",1,1.9233073580369675,1.0999471826483507,0.0003,0.0026824495516128226,0.0026824534640406783,0.0001567023715661505,0.09406138669263953,0.4957256308044876,9.151105012491535e-05,0.06271286037400141,0.011832477712592437,,0,200,distance_boundary_and_eikonal_tolerances,15,5.001000662375645e-15
3,1,3,"0.5,1.5,2.5",1,1.8623091005730474,1.0778204913958158,8.999999999999999e-05,0.0019052717203366758,0.0019052711310608831,0.00015526542770589828,0.09939937181218723,0.511938048282703,0.00011680680319628499,0.03589597695670531,0.011845647585493783,,0,160,distance_boundary_and_eikonal_tolerances,22,5.001000662375645e-15
4,1,4,"0.5,1.5,2.5",1,1.8235318863095635,1.0652785675621603,2.6999999999999996e-05,0.0014075613922467287,0.001407566779298942,0.00016463941949862026,0.09550575968581847,0.5052280877815316,0.00010507063664438854,0.023088854830277433,0.011847228027706973,,0,180,distance_boundary_and_eikonal_tolerances,29,5.001000662375645e-15
5,1,5,"0.5,1.5,2.5",1,1.7980745738615085,1.0572687363548132,8.099999999999999e-06,0.0011327279945306248,0.001132725301514663,0.00015940186777336555,0.09998969326972196,0.516710459342278,0.0001153390515635875,0.01544203364048508,0.011847743210311349,,0,160,distance_boundary_and_eikonal_tolerances,36,5.001000662375645e-15
6,1,6,"0.5,1.5,2.5",1,1.780997710305623,1.0517507981475578,2.4299999999999996e-06,0.0009461436291255337,0.0009461407279759038,0.0002087937646164339,0.09409906371366068,0.5146476943499692,0.00011536231831626054,0.010423872672596845,0.011850151376328246,,0,180,distance_boundary_and_eikonal_tolerances,43,5.184091822754048e-15
7,1,7,"0.5,1.5,2.5",1,1.7689810523794671,1.0479370486970108,1e-06,0.0008033794575966506,0.0008033742689939322,0.00020900725624682694,0.09938659086560983,0.5357881714374311,0.00010331843705525551,0.00731568841890827,0.011854472595535206,,0,160,distance_boundary_and_eikonal_tolerances,50,6.2486453181349486e-15
8,1,8,"0.5,1.5,2.5",1,1.7600073640991871,1.045386889849888,1e-06,0.0006929603739230775,0.0006929536390000484,0.0002065603660233265,0.10038788767498845,0.5447143304772344,9.727288565483877e-05,0.005425277893630812,0.011860320275889775,,0,160,distance_boundary_and_eikonal_tolerances,57,7.037941581755571e-15
9,1,9,"0.5,1.5,2.5",1,1.7528914375210491,1.0437799431143562,1e-06,0.000609476331349782,0.0006094943003047577,0.0002162833936991034,0.10149768027137135,0.555829878540339,0.00011134609889380202,0.004266395606743601,0.011867424678491292,,0,160,distance_boundary_and_eikonal_tolerances,64,7.866990627285797e-15
