iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,modal_step_m,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,trust_region_predicted_relative_change,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1,0,"0.5,1.5",6,"0,0,0,0,0,0,0,0,0,0,0,0,0",1.4232416288537713,1.192383977933574,0.0,0.0,0.0,0.0,0.09797271827026022,0.4963451359850982,2.484369090918065e-08,0.0,0.00020005090421534633,,0,0,initialized,1,2.3089458201643585e-15
1,1,1,"0.5,1.5",6,"-0.001906243480602247,-0.00026512942184468734,-0.0016446374935129137,-0.00013969762199077167,0.00034029883219610928,0.00087476227695433887,-0.00042945503986223507,-0.00050958333632574154,-0.0012158270075501914,0.0005370322295701023,-0.00050178192768682935,0.00029712049670841865,0.00018468182574530543",1.2330660845698134,1.1118230350662668,2.9163775740531204,0.003979591608731698,0.003979560720083645,0.00014190545576883758,0.09423660334863788,0.4559574444117681,0.0001108767677775466,0.13353022786350877,0.0003947311181129844,,0,200,distance_boundary_and_eikonal_tolerances,28,2.862441598606556e-15
2,1,2,"0.5,1.5",6,"-0.001576791556164981,-0.00022422306913448146,-0.0022074770865998421,-0.00021690974057722294,0.00015388908073830809,0.0006139105373931448,-0.00050553382297158483,-0.00050442625351237048,-0.00084108769474793043,0.00038314347909285947,-0.00071510921033646787,0.00034081901143983976,0.00014730548872481078",1.0546536924186463,1.0302658400875653,3.0,0.00397499349608576,0.003974985772427604,0.00023522875044543226,0.09293011622644155,0.4899772126741463,0.0001849343463556568,0.15148817882726895,0.0005872675881104183,,0,220,distance_boundary_and_eikonal_tolerances,55,2.862441598606556e-15
3,1,3,"0.5,1.5",6,"-0.0013353336186085001,-4.2802740414582172e-05,-0.002780183893964719,-0.00048627409047007666,-0.00012708468656023032,0.00050959130511366458,-0.00039161966767240332,-0.00046512960956394283,-0.00046708469158252068,0.00020990846196190999,-0.00092563659801999819,0.00034030000704481805,0.00011885110151008931",0.8927873994252872,0.949599609901369,2.6965284669039273,0.00399122898238151,0.0039912348005069756,0.00030965202460472976,0.09580348858098615,0.5222826327588679,0.00021279568608837621,0.1666875843634567,0.0007696276328482535,,0,220,distance_boundary_and_eikonal_tolerances,82,2.862441598606556e-15
4,1,4,"0.5,1.5",6,"-0.00099957555680651794,0.00026903730184096706,-0.0027881653286568222,-0.0008059264276861172,-0.00032119585763603373,0.00052709520875565252,-0.00013092576677511521,-0.00031998255724119455,-6.1188324134578049e-05,4.1004053363937451e-05,-0.0010365306803460101,0.00024263758431080187,0.00017231146220731295",0.7665359985410302,0.8808138092884554,2.4900468257819433,0.003992669962931867,0.003992671687371495,0.0003938738715917445,0.09975528198587974,0.5525002106687866,0.00024102977278474356,0.15506389134361814,0.0009527926621653718,,0,240,distance_boundary_and_eikonal_tolerances,109,3.791854698549819e-15
5,1,5,"0.5,1.5",6,"-0.00066324032757625242,0.00060343666478922091,-0.0023363351081068162,-0.0010400346058360092,-0.00035170783069386887,0.00054684867533788387,0.00013194117560560707,-0.00016840942903028247,0.00020360395501402097,2.8801731061087403e-05,-0.0010273741127415381,0.00012717998592327401,0.00033300053708438528",0.6739753863278186,0.8260291885088904,2.3201510979096374,0.003980527219423815,0.003980541170992639,0.0004281845409204795,0.10156932487625282,0.5669178800993092,0.00024861681917793567,0.13017248213144472,0.001169847953557435,,0,300,distance_boundary_and_eikonal_tolerances,136,8.582355298827276e-15
6,1,6,"0.5,1.5",6,"-0.0004327321032812513,0.00093676420867691102,-0.0019385884934689874,-0.0012046480279367842,-0.00031445079729720967,0.00053132930620969257,0.00033082900531151434,-0.00012882482896140973,0.00030672703687688259,0.0002094481142897141,-0.0010007669835675826,0.00011764511348470544,0.00052864446597570332",0.6012852848398126,0.7795870573383861,1.9406625431608253,0.003990861521770289,0.003990965652430232,0.00044127049783040554,0.10816702632799137,0.7170637704762937,0.00029202515342748557,0.11574186611058478,0.001474921892959648,,0,280,distance_boundary_and_eikonal_tolerances,163,8.582355298827276e-15
7,1,7,"0.5,1.5",6,"-0.00027040432721261288,0.0012831690489418757,-0.0015418351314814304,-0.00129623371599526,-0.00021520583085178911,0.000526346854002076,0.00042410626420696495,-0.00025168972103107435,0.00023706948851351457,0.00055777658391181263,-0.00093336427585673969,0.00023525015858344331,0.00066781913134051035",0.5426725600015712,0.7392946308579423,1.4836152142986179,0.003998312489617348,0.003997607565665388,0.0004896127315007335,0.11401008909070928,0.8969670285743885,0.000303581776484459,0.10378575663299598,0.001921587858970758,,0,280,distance_boundary_and_eikonal_tolerances,190,8.582355298827276e-15
8,1,8,"0.5,1.5",6,"-1.7004681895117055e-06,1.4166203214046166e-05,-8.3022960126746732e-06,-1.2557013648505805e-05,-1.7980406319909926e-06,7.0989182994251863e-06,6.3485474594022777e-06,-4.2235242543129672e-06,-1.2269040607462709e-06,8.8447302653859126e-06,-5.6588781657704421e-06,1.0968307669064479e-06,2.2639388441113864e-06",0.5421948318770767,0.7389506247490155,11.86379907924377,4.337024447643316e-05,4.3363818159522354e-05,0.0004940559968260711,0.11310489957063719,0.9020965779495638,0.00028496531252000627,0.014087264267883688,0.0019269064965469155,,0,180,distance_boundary_and_eikonal_tolerances,228,8.582355298827276e-15
9,1,9,"0.5,1.5",6,"-3.1534669631031879e-07,2.4673621793335167e-06,-1.441924441690491e-06,-2.1973628408203262e-06,-3.27305356000629e-07,1.2881956484067407e-06,1.1473609446273365e-06,-7.4011481948983046e-07,-1.9859267998667195e-07,1.5338328045881623e-06,-9.3918200334634328e-07,1.1307579623722154e-07,2.9846100774449997e-07",0.5421115468282726,0.7388905422113523,35.591397237731314,7.764935172740552e-06,7.76365580563991e-06,0.0004720115336965366,0.1125610630483819,0.9182179501004449,0.00027319903181518244,0.0049156763804666225,0.0019278493697663464,,0,180,distance_boundary_and_eikonal_tolerances,269,8.582355298827276e-15
