iteration,stage,stage_iteration,stage_train_frequencies_ghz,stage_maximum_mode,modal_step_m,loss,relative_l2_error,applied_damping,accepted_backtrack_count,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,trust_region_predicted_relative_change,accepted_step_predicted_relative_change,arclength_refit_rms_m,arclength_refit_maximum_m,arclength_speed_ratio_before,arclength_speed_ratio_after,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1,0,"0.5,1.5,2.5",5,"0,0,0,0,0,0,0,0,0,0,0",2.219062507589622,1.1932495751158327,0.0,0,0.0,0.0,0.0,0.0933948455194287,0.4902231980828736,2.918452577868602e-08,0.0,0.0,0.0,0.0,1.00001817680281,1.00001817680281,0.0007229168981293282,,0,0,initialized,1,4.387037875908222e-15
1,1,1,"0.5,1.5,2.5",5,"-0.00067493908113709818,-0.00016148628376279648,-0.00064743401408678524,0.00093809419099657944,0.00058274920104949804,-0.00014965940951493911,-0.00057987490168539592,0.00021423224429253021,-5.0062963783038419e-05,0.00022804543756896242,-0.00031681905710740022",2.010286329199414,1.1633322342641443,1.4330125702369627,0,0.001997520264186305,0.0020071705303263093,9.356117487769253e-05,0.09643432029570796,0.5176309794179965,9.019801545672411e-05,0.10489768108640145,0.10489768108640145,7.989745742657985e-09,2.2184868292659244e-08,1.1224363125604977,1.0000297877047766,0.0006875957803275007,,0,460,distance_boundary_and_eikonal_tolerances,25,4.923362580238809e-15
2,1,2,"0.5,1.5,2.5",5,"-0.00052912062297690075,-6.2993923936311192e-05,-0.00094128626910500006,0.00084971886360225726,0.00027762625440572094,-0.00030970502751630696,-0.00058307511618697146,0.00016665728847515786,-6.6616382475486098e-05,0.00020728859284746133,-0.00021375580221556171",1.861974589578586,1.136851978040421,1.1459152647850992,0,0.001993005849313563,0.001998411758841967,0.000173720681855578,0.09435732935897387,0.555951757539251,0.00011871599329163224,0.08293323215524047,0.08293323215524047,5.42436601400761e-09,1.4303051606374825e-08,1.1202059555174864,1.0000201699075928,0.0006675362212422495,,0,280,distance_boundary_and_eikonal_tolerances,49,5.529289031111846e-15
3,1,3,"0.5,1.5,2.5",5,"-0.0004784399625627373,5.350579930045417e-05,-0.0011111632336946906,0.00083119527438673757,-1.4333247533173404e-05,-0.00040910494466850025,-0.00060011954020241121,8.7310081959203099e-05,-0.00012469990898414672,0.00018363527386169978,-0.00015374441648020989",1.7498890021410982,1.1113537422047022,0.7586190765256101,0,0.001992921812710336,0.0019951453453971933,0.00016316987928229675,0.09393816207260981,0.5834965575756275,0.00010104827724301876,0.0685144745276892,0.0685144745276892,6.3092420186760415e-09,1.9167174493754108e-08,1.1175620992137272,1.0000357731355878,0.0006754582768442029,,0,300,distance_boundary_and_eikonal_tolerances,73,1.4048014605765052e-14
4,1,4,"0.5,1.5,2.5",5,"-0.00049661876244448601,0.00020494215604664599,-0.0012000901058110832,0.00087566689572768884,-0.00034567849122009214,-0.00050087940875420363,-0.00068971460908492596,-6.3697131209254003e-05,-0.00016714630599540514,0.00017554121079417878,-6.6230208428828485e-05",1.6614845446540154,1.0850035609640467,0.3350531954029642,0,0.001998579354587198,0.0019982207653617464,0.00011031125682431599,0.09385790224196804,0.5912148423786112,9.099228073023493e-05,0.05899571469362257,0.05899571469362257,1.7942046953177926e-08,6.733270926559916e-08,1.117393905647457,1.000120058967881,0.0007229317870737789,,0,260,distance_boundary_and_eikonal_tolerances,97,1.6976774018743298e-14
5,1,5,"0.5,1.5,2.5",5,"-0.00047261772140559308,0.00028013317892913725,-0.00092320867980949821,0.00074893989286010487,-0.00068464513577116233,-0.00045690371659969358,-0.00085080053509666237,-0.00019093408347706573,-4.9155178430893968e-05,0.00016017084203023789,7.2776182203569448e-05",1.5965267911799446,1.0616777870356628,0.10051595862088926,0,0.0019828755538008193,0.0019893657081344737,0.00012487945284464348,0.09881896427203496,0.6194031611012424,9.785396282322193e-05,0.0449428806709174,0.0449428806709174,6.143515123370708e-08,2.386670716533396e-07,1.12694525614445,1.0003814860040365,0.0008199261816112639,,0,140,distance_boundary_and_eikonal_tolerances,121,1.6976774018743298e-14
6,1,6,"0.5,1.5,2.5",5,"-0.00041560287305548885,0.0003266262243058656,-0.00062690700868494112,0.00055128124497540718,-0.00075714457549958881,-0.00047905885630340127,-0.0008893986910305685,-0.0001886237919231721,7.3730651138888414e-05,0.00018283818014667294,0.00014614257143825954",1.5509166346187955,1.043095165779536,0.030154787586266777,0,0.0019383791398327385,0.0019497711694431322,0.00020465792472928958,0.07957544733791981,0.5936930452894296,0.0001101156519697972,0.0320679460195019,0.0320679460195019,1.466991809192286e-07,5.922486315446783e-07,1.1235967587242834,1.0008776526711478,0.0009476462548409541,,0,1200,distance_boundary_and_eikonal_tolerances_at_final_state,145,1.6976774018743298e-14
7,1,7,"0.5,1.5,2.5",5,"-0.00039418024869435341,0.00045234822587194044,-0.00056867993732142305,0.00054186391058569166,-0.00065168473992466324,-0.00062354609399116381,-0.00080819158746197272,-0.00022395555098523578,8.9812838247704173e-05,0.00020585476249435398,9.0666991211884926e-05",1.5167066389560286,1.0261293007151553,0.009046436275880032,0,0.001961866973879701,0.0019788536603426838,0.0002120591656867503,0.08479371741244512,0.6052404449838954,0.00011064779164888673,0.023518312856934134,0.023518312856934134,2.457805855779927e-07,9.883866626500597e-07,1.1194834995704799,1.0015252724328692,0.0010894260834502494,,0,140,distance_boundary_and_eikonal_tolerances,169,1.6976774018743298e-14
8,1,8,"0.5,1.5,2.5",5,"-0.00033489546198563972,0.0005426921998802855,-0.00051630635218438551,0.00056780673404067548,-0.00056875227800646567,-0.000637170411414803,-0.00068246963858024283,-0.00026050686868016304,7.2963619539183992e-05,0.00012633648034079148,-3.7389484048943605e-05",1.486381324044949,1.0095321982866747,0.03889097069755122,0,0.0019997316378148142,0.002013631826958412,0.00025493874447659313,0.08988181438522777,0.6323502133836196,0.00013888158024777354,0.019566187762394695,0.019566187762394695,3.195464164895862e-07,1.1986326739952928e-06,1.108540394773243,1.0021022717471635,0.001235962971613285,,0,240,distance_boundary_and_eikonal_tolerances,193,1.6976774018743298e-14
9,1,9,"0.5,1.5,2.5",5,"-0.00022121879820497002,0.00052604984610029758,-0.00049652364456504144,0.0005284559949079935,-0.00054106304588694772,-0.00051906725876388099,-0.00051477836102037399,-0.00026180832450888757,4.0842014643120727e-05,2.1320195158734373e-06,-0.00016411576454241077",1.4564359337519774,0.993163320140086,0.13966739653045993,0,0.0019964986281456832,0.002011351020807938,0.00014147023844049588,0.08817699340719536,0.6637622156963983,9.567330719088135e-05,0.018996280327491576,0.018996280327491576,3.652280012813718e-07,1.3297794301194394e-06,1.099777682806932,1.0025122073384334,0.0013679331165450258,,0,380,distance_boundary_and_eikonal_tolerances,217,1.6976774018743298e-14
