iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_radius,raw_network_output_weight[0],raw_network_output_weight[1],raw_network_output_weight[2],raw_network_output_weight[3],gradient_center_x,gradient_center_y,gradient_log_radius,gradient_network_output_weight[0],gradient_network_output_weight[1],gradient_network_output_weight[2],gradient_network_output_weight[3],step_center_x,step_center_y,step_log_radius,step_network_output_weight[0],step_network_output_weight[1],step_network_output_weight[2],step_network_output_weight[3]
0,0.8291970768227106,0.9297801403840364,0.48,0.52,0.06,0.001,15,5.160983034987128e-16,2.975720502436161,2.7805807515978813,0.0,0.48,0.52,-2.8134107167600364,0.8,-0.6,0.7,-0.5,-26.785844816751275,34.52126607827486,1.571782085770943,-0.04017487024972836,-0.05629197708290159,0.07483166717579381,-0.014173014367207993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.383068931603115,0.6348001922625551,0.48193667680217805,0.51,0.054290245082157566,0.001,30,5.098700572151888e-16,2.6638151854276657,2.4855726659297943,0.17820993810892105,0.48193667680217805,0.51,-2.9134107167600365,0.55,-0.85,0.44999999999999996,-0.75,-24.796254239823853,21.557245607144612,0.7502068212877784,-0.04244537192082302,-0.023768628439121538,0.06186453089983907,0.004457760602814894,0.0019366768021780723,-0.010000000000000009,-0.10000000000000009,-0.25,-0.25,-0.25,-0.25
2,0.17666493661969157,0.4323593701955754,0.4822651468578689,0.5,0.0491238451846789,0.0003,45,4.857851459210349e-16,2.579144526273012,2.412429883144796,0.16668477561324835,0.4822651468578689,0.5,-3.0134107167600366,0.6859340282430592,-1.0,0.19999999999999996,-1.0,-21.999595598668037,6.0717212236645475,0.05114377174153876,-0.043088270520141476,0.007240876082228688,0.04917058219805919,0.02308646166765979,0.00032847005569086596,-0.010000000000000009,-0.10000000000000009,0.1359340282430591,-0.15000000000000002,-0.25,-0.25
3,0.09354035542216985,0.31439278552466554,0.4869980909387962,0.49,0.04771726880102002,8.999999999999999e-05,60,4.619187620616811e-16,2.486901296302676,2.3170874137431383,0.16978469118475914,0.4869980909387962,0.49,-3.0424619172331733,0.9359340282430592,-1.0,0.005228908481514194,-1.0,-13.599284946625183,-9.328788726569298,-0.1879337810637883,-0.03375950476544493,0.029011225411869707,0.0291509502069132,0.03272543589701568,0.004732944080927282,-0.010000000000000009,-0.029051200473136696,0.25,0.0,-0.19477109151848576,0.0
4,0.012508449352431974,0.11506186739190692,0.4969980909387962,0.5,0.04947186034316921,2.6999999999999996e-05,75,4.774690437392262e-16,2.5976712284609675,2.430142695084214,0.16749781649559736,0.4969980909387962,0.5,-3.0063512489681004,1.0,-0.9645697250525441,0.2552289084815142,-0.75,0.8759839923396257,6.271668019052204,-0.0018377248679041676,0.005734497884422861,-0.013475508057525818,-0.00163477087234217,-0.011302395511431104,0.010000000000000009,0.010000000000000009,0.03611066826507292,0.06406597175694084,0.035430274947455875,0.25,0.25
5,0.011980653587945018,0.11265268043022017,0.4984280079400713,0.5000855660730541,0.049784950181891746,8.099999999999999e-06,91,4.664093369932016e-16,2.707200621254742,2.3642268916592,0.3429445717483759,0.4984280079400713,0.5000855660730541,-3.0000425458076148,0.875,-0.8395697250525441,0.1302289084815142,-0.625,2.794577881966526,5.6092755125705285,0.02443623946905056,0.009554283521705304,-0.013980653201389071,-0.006081959681784584,-0.013298088082475616,0.001429917001275094,8.556607305409969e-05,0.006308703160485596,-0.125,0.125,-0.125,0.125
6,0.008803384809039444,0.09656660372286804,0.4999992797003054,0.5000089755786629,0.050069945379573585,2.4299999999999994e-05,115,4.741768667669209e-16,4.053128686733544,2.374917620792985,1.6781805586069822,0.4999992797003054,0.5000089755786629,-2.994334343522173,0.625,-0.5895697250525441,0.04159019821615709,-0.375,3.8797605220848745,3.744469808554993,0.032336787717072886,0.010796345937860968,-0.011235166691478825,-0.008707451411157297,-0.012066157109810929,0.001571271760234083,-7.659049439123766e-05,0.005708202285441555,-0.25,0.25,-0.0886387102653571,0.25
7,0.002560085694037829,0.05207030709377467,0.500312903319325,0.5001115668511482,0.05004971700641234,7.289999999999998e-06,130,4.716554471100864e-16,2.512410278432071,2.3434848431497812,0.16889536753296852,0.500312903319325,0.5001115668511482,-2.994738427454428,0.375,-0.3395697250525441,0.17803515302933362,-0.125,1.9970571416240874,2.1111308490888203,0.007073404074167215,0.005667429939117955,-0.0061746137406435584,-0.0044691408851233305,-0.0065226260694123545,0.00031362361901959845,0.00010259127248535282,-0.00040408393225499495,-0.25,0.25,0.13644495481317653,0.25
8,0.0001109666580883588,0.010811723963866749,0.5002044207850108,0.5000843757099467,0.05005012143153734,2.186999999999999e-06,145,4.566041350343436e-16,2.5225546741858125,2.355991424061358,0.16653431486338377,0.5002044207850108,0.5000843757099467,-2.9947303470193085,0.125,-0.08956972505254412,0.08779349303307292,0.06615541269003417,0.41693168948629306,0.40828218430067587,-0.0004342216681358634,0.0011683697557138466,-0.001220556790384894,-0.0009350817090770495,-0.0013016602066101913,-0.00010848253431416932,-2.719114120153243e-05,8.080435119683926e-06,-0.25,0.25,-0.0902416599962607,0.19115541269003417
9,7.485039656249399e-06,0.002711823655870116,0.5000160611369421,0.5000054459817352,0.050056183311086785,6.560999999999997e-07,160,4.739119521123496e-16,2.183977458626032,2.013567985035479,0.17038170993328094,0.5000160611369421,0.5000054459817352,-2.994609238172619,0.0032729658846854803,-0.0010616536987597958,0.006523004280225231,0.0060420789973942846,-4.818382718888015e-06,4.568476542928315e-05,-6.184969606924143e-05,3.507095197846043e-07,-1.1683076402245065e-08,6.895451790037968e-08,4.308581744434642e-07,-0.00018835964806873662,-7.892972821144095e-05,0.00012110884668947719,-0.12172703411531452,0.08850807135378433,-0.08127048875284769,-0.06011333369263988
