best_same_branch_fd_mixed_ratio,case,direction,discrete_gate_passed,fd_observed_orders,maximum_adjoint_jvp_absolute_difference,num_nodes,relative_physical_jvp_norm,same_branch_fd_step_count,scattered_objective_jvp,seconds,total_objective_jvp
0.01276938149714072,circle,translation_x,True,"[2.000000982161741, 2.0047513928261145, 0.3959527699556375, -1.1026687500653252]",1.214306433183765e-17,32,0.5001505066964619,5,0.004079903634574405,0.19673784542828798,7.313601074559094e-05
0.0067728872898688815,circle,translation_y,True,"[1.9999976681946865, 1.9991069945467839, 0.17251452666945644, -0.9520917721040537]",5.074066167232161e-17,32,0.19317651135004482,5,0.00206314737490733,0.1958742318674922,3.963994269646064e-05
3.187693084433378e-05,circle,scale,True,"[1.9999940147511666, 2.004847990592347, 0.35595675523551085, -0.967664490989149]",1.7564075194265172e-17,32,0.47202175135982133,5,0.00181979365758428,0.19556244648993015,5.4294544986600064e-05
0.00014280877630293257,circle,shape_mode4,True,"[2.000035360943406, 1.9681247202352021, -0.7592967207453857, -1.104425103326971]",3.577867169202165e-18,32,0.09127089508670398,5,-0.0002885692412486362,0.19626126810908318,-4.286935262309729e-06
4.089370640370364e-05,circle,interior_epsr,True,"[2.0000025028632673, 2.0009432713275808, 0.5110400549864116, -0.9705354979253972]",4.163336342344337e-17,32,0.4557721991198823,5,0.0026001309786096377,0.1966121094301343,5.026090864106798e-05
0.00010760194828699499,circle,exterior_epsr,True,"[1.999972286151303, 1.9996133690267233, 1.9191519180594643, -0.9038572451662846]",6.765421556309548e-17,32,2.7045932957243597,5,0.003738292504956744,0.19653922505676746,0.0012744059986629452
7.001114531417212e-05,circle,mixed,True,"[1.9999812723186448, 1.987077818140524, 0.03010052364692345, -0.8292817260789505]",5.963111948670274e-19,32,0.43998459354193825,5,-0.00040537618926886804,0.19505329057574272,0.00023156791073707163
0.014942870788191249,circle,tangential_phase,True,"[-1.009404945299575, -0.8969821983029985, -1.1434536642602062, -1.0472580372727207]",1.8212299484152375e-18,32,4.622927372625127e-15,5,1.0409176977626248e-16,0.19576309900730848,2.2729713974635666e-18
0.013092130137042905,circle,translation_x,True,"[2.000000901112987, 2.007704316878048, 0.10386639269610488, -0.8779073039425642]",1.474514954580286e-17,64,0.5001505066964553,5,0.004079903634605758,0.5757858641445637,7.313601074630422e-05
0.006773117368483137,circle,translation_y,True,"[1.999982918018846, 1.9999152815540517, -0.03723444489540394, -0.732207247914985]",6.938893903907228e-18,64,0.1931765113500936,5,0.002063147374939802,0.5702850995585322,3.963994269719836e-05
3.468078064255926e-05,circle,scale,True,"[2.00000047802969, 2.0051044743812345, 0.31803571685659315, -1.0896615820775741]",1.951563910473908e-18,64,0.4720217513588989,5,0.0018197936574628015,0.5606338176876307,5.429454498383689e-05
0.00017665903127252888,circle,shape_mode4,True,"[1.9999018993510078, 1.8265667840691053, -0.7467097118393848, -0.8802714334399678]",1.2685165418080402e-17,64,0.09127089508821148,5,-0.00028856924143067094,0.4355527414008975,-4.286935266443819e-06
4.848797850730247e-05,circle,interior_epsr,True,"[1.9999992438019227, 2.0007395630770928, 0.37904387448714544, -1.087254753293116]",4.597017211338539e-17,64,0.45577219911990113,5,0.0026001309787314682,0.4281900143250823,5.0260908643836154e-05
0.00017857687281538955,circle,exterior_epsr,True,"[1.9999722517085117, 1.9997301581249702, 1.886072675013611, -0.8438715836445578]",7.502679033599691e-17,64,2.7045932957246643,5,0.0037382925059986877,0.4284137152135372,0.0012744059987744366
8.866979600800086e-05,circle,mixed,True,"[1.9999934262480576, 1.9882281649274651, -0.00608078674094859, -0.8350621444582159]",1.0299920638612292e-17,64,0.43998459353486963,5,-0.0004053761892338167,0.42366984486579895,0.00023156791075543275
0.014942888359270476,circle,tangential_phase,True,"[-1.2175816001985578, -0.9257856539114221, -1.106683798111152, -0.6701518183177789]",4.235939575132289e-18,64,5.203983498778431e-15,5,-2.026702952304011e-17,0.427861163392663,-4.687391139005454e-19
