iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,0.8123911623556666,0.9288450223099215,0.0,0.0,0.0,0.0,0.1001227152455013,0.5040874638879582,0.00011351073599193476,0,initialized,1,5.07880456271596e-16
1,0.7975438638751333,0.920354668009685,100.0,0.0004936096682830642,0.0027916440210776676,6.517602103597641e-05,0.09996382116867092,0.4989845319551689,0.00011790717294028405,160,distance_boundary_and_eikonal_tolerances,17,5.07880456271596e-16
2,0.7503861709441455,0.8928516995721639,30.0,0.001568186905077879,0.0019972260004733366,8.137957820715411e-05,0.0971295443074834,0.493134845947342,0.00011796730247635653,160,distance_boundary_and_eikonal_tolerances,33,5.07880456271596e-16
3,0.7348102985152074,0.8835746871618337,90.0,0.0005370907151157282,0.0007144686827139165,0.00010993905085191788,0.09547684607863409,0.49785281054263597,0.0001150915651556908,160,distance_boundary_and_eikonal_tolerances,49,5.07880456271596e-16
4,0.686676830066908,0.8542500942411727,27.0,0.0017104806282120764,0.0021869839685265176,0.00014342295721623229,0.09391528615274733,0.4952886961268802,0.00011462056647349589,160,distance_boundary_and_eikonal_tolerances,65,5.07880456271596e-16
5,0.6710081968700626,0.8444765750122288,81.0,0.0005813014308188489,0.0027315934432095936,0.0002489420186042277,0.09329812804714756,0.49692928396643343,9.282186158372785e-05,160,distance_boundary_and_eikonal_tolerances,81,5.07880456271596e-16
6,0.622423658447365,0.8134044650988832,24.3,0.001853779729371396,0.0022730290814945904,8.094271723460272e-05,0.08889212766028669,0.4904560725151548,9.616857876875232e-05,180,distance_boundary_and_eikonal_tolerances,97,5.07880456271596e-16
7,0.6070589105158398,0.8033232706618734,72.9,0.0006257914209253505,0.0007961712670075885,0.00011935028540198857,0.09137670236896325,0.5139536158413394,7.3696670585063e-05,160,distance_boundary_and_eikonal_tolerances,113,5.07880456271596e-16
8,0.5589689340754452,0.7709013201223995,21.87,0.0019801541589977868,0.0032612531346198634,0.00012009925045581204,0.09003864278224047,0.49427738207139604,7.919508345313221e-05,180,distance_boundary_and_eikonal_tolerances,129,5.07880456271596e-16
9,0.54359200646806,0.7602348302264422,65.61,0.0006537293810260803,0.0008468157987471838,0.00011148759979291223,0.08901601527737542,0.5037136870062263,6.592065055370869e-05,180,distance_boundary_and_eikonal_tolerances,145,5.07880456271596e-16
10,0.4960996516764847,0.7262966448291297,19.683,0.002067861212466427,0.0025077418467408636,0.00011346365941432792,0.09184401742592735,0.4772482572777582,7.525186207483874e-05,180,distance_boundary_and_eikonal_tolerances,161,5.07880456271596e-16
11,0.4808788892832558,0.7150732402958037,59.04899999999999,0.000677626273035366,0.002682736783681979,9.716993676492127e-05,0.09227048327930283,0.48319987717898194,7.941449197260142e-05,180,distance_boundary_and_eikonal_tolerances,177,5.07880456271596e-16
12,0.43594218461725687,0.6808515402098371,17.714699999999997,0.0020607969511108864,0.0024875346145084433,0.00011897080014437617,0.09269032477465296,0.47898605056428745,0.00010043169907825167,200,distance_boundary_and_eikonal_tolerances,193,5.07880456271596e-16
13,0.4217228129750943,0.6696533013643862,53.14409999999999,0.0006700077354547386,0.0026194505090124543,9.486897245038283e-05,0.0933073523211834,0.5002040302188645,9.150593746000413e-05,180,distance_boundary_and_eikonal_tolerances,209,5.07880456271596e-16
14,0.3794142329441683,0.6351595534272554,15.943229999999996,0.002064351276609312,0.002443499266447713,0.0001374358824077829,0.09848717003999757,0.5177302854449025,8.781090703851267e-05,180,distance_boundary_and_eikonal_tolerances,225,5.07880456271596e-16
15,0.3663344287849414,0.6241060862882476,47.829689999999985,0.0006468374146495481,0.0008459426930961829,0.00012303794047066513,0.09763203016235922,0.5252761067427243,7.555916803439998e-05,180,distance_boundary_and_eikonal_tolerances,241,5.07880456271596e-16
16,0.32782191439883135,0.5903528256804313,14.348906999999995,0.00195113322127035,0.003203532695582677,0.00012451182928610845,0.09676693865010949,0.5245569299343895,7.739240766767991e-05,200,distance_boundary_and_eikonal_tolerances,257,5.07880456271596e-16
17,0.3161360525538299,0.5797208676069812,43.046720999999984,0.0006007742819733904,0.00077963919529513,0.00010368936385789018,0.09683254948987115,0.5291190276481242,8.12911787179682e-05,180,distance_boundary_and_eikonal_tolerances,273,5.07880456271596e-16
18,0.2814114573416526,0.5469061568354178,12.914016299999995,0.0018026267394055957,0.0032135317943990916,0.00010166474692444086,0.09948086304734678,0.516841438326695,6.167887469703259e-05,180,distance_boundary_and_eikonal_tolerances,289,5.07880456271596e-16
19,0.27093691149871857,0.5366140507578387,38.742048899999986,0.000549280669380842,0.0007676357655804043,9.525739075954632e-05,0.09845491696698909,0.5171324145996841,7.030847765297776e-05,180,distance_boundary_and_eikonal_tolerances,305,5.07880456271596e-16
20,0.23953247335223157,0.5045005877651951,11.622614669999995,0.0016671910538900003,0.0023690890427104433,9.082596061032208e-05,0.09675520560487583,0.48085974687146493,7.658952860172333e-05,200,distance_boundary_and_eikonal_tolerances,321,5.07880456271596e-16
21,0.22995414873850398,0.4942923008543594,34.867844009999985,0.000492690321761437,0.0026140573572840963,7.177099532290097e-05,0.09660427349476927,0.47904058779095016,6.704120990201796e-05,180,distance_boundary_and_eikonal_tolerances,337,5.07880456271596e-16
22,0.20140857758562392,0.462538234304169,10.460353202999995,0.0015169402740290543,0.0024156574433351423,7.683144884315897e-05,0.09802588797236873,0.5178653133111646,7.749440487980763e-05,180,distance_boundary_and_eikonal_tolerances,353,5.07880456271596e-16
23,0.19267756236805175,0.45238214760329,31.381059608999987,0.0005040923797155118,0.000807889044478632,7.527968613888832e-05,0.0971169600701844,0.5261701347432362,7.287173162031507e-05,180,distance_boundary_and_eikonal_tolerances,369,5.07880456271596e-16
24,0.16669193447518998,0.4207065834322779,9.414317882699995,0.001582727466489481,0.0028707755867998764,8.268712579588383e-05,0.09669156541179745,0.5599971526681887,8.836827368987124e-05,180,distance_boundary_and_eikonal_tolerances,385,5.07880456271596e-16
25,0.15877465683489506,0.4105760061288362,28.242953648099984,0.0005437743162986974,0.0008401499243587716,7.715317416073718e-05,0.09655515376703454,0.574013437955048,8.125479173532596e-05,180,distance_boundary_and_eikonal_tolerances,401,5.07880456271596e-16
26,0.1350522878555637,0.3785953553697074,8.472886094429995,0.0017593486745204685,0.0027360259312221346,8.177824162603997e-05,0.096927065781019,0.607270420605478,0.00010023749388291675,180,distance_boundary_and_eikonal_tolerances,417,5.07880456271596e-16
27,0.12790618884900135,0.3684213178163567,25.418658283289982,0.0006184103936024395,0.0009056924565000153,6.885022131666541e-05,0.0963517768589893,0.6060322155789708,8.734356317511432e-05,180,distance_boundary_and_eikonal_tolerances,433,5.07880456271596e-16
28,0.10644629001138763,0.3360223449115907,7.6255974849869945,0.0019440005759761752,0.002858064096918514,6.2602377577223e-05,0.09660674025163984,0.6365865562064483,9.377166414800686e-05,180,distance_boundary_and_eikonal_tolerances,449,5.07880456271596e-16
29,0.09999045126840124,0.3256505387028168,22.876792454960984,0.000690293477045416,0.0009834243238927233,6.875706914320098e-05,0.09546292947810728,0.6378504137777385,8.111636330164831e-05,180,distance_boundary_and_eikonal_tolerances,465,5.07880456271596e-16
30,0.08100395094502441,0.29303506952429004,6.8630377364882955,0.0021232228405943343,0.002762081432969179,5.9112589214351944e-05,0.095208254706649,0.676322366649123,7.921458216117103e-05,180,distance_boundary_and_eikonal_tolerances,481,5.07880456271596e-16
