iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,radial_spectral_tail_rms_m,radial_spectral_tail_limit_m,spectral_tail_rejection_count,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,2.223592919150227,1.1941148823310916,0.0,0.0,0.0,0.0,0.09797271827026022,0.4963451359850982,2.484369090918065e-08,0.0007190024970595784,0.0009190024970595784,0,0,initialized,1,4.415777987351829e-15
1,1.9937514989056009,1.1612716972504051,1.0,0.002305303294496308,0.002054171704879052,7.273266439561575e-05,0.09465641114793827,0.5138459022607119,2.733409830427071e-08,0.0006917913626047866,0.0009190024970595784,0,220,distance_boundary_and_eikonal_tolerances,25,4.804253000639223e-15
2,1.9155628103992715,1.1488447921046383,3.0,0.0008059693795683758,0.0008900862649403877,9.654339929229019e-05,0.09331188377094486,0.5103101000034975,2.632991477353585e-08,0.0006921431133760269,0.0009190024970595784,0,200,distance_boundary_and_eikonal_tolerances,49,4.804253000639223e-15
3,1.7913323932652376,1.1249003994388858,0.8999999999999999,0.001935480259017545,0.0015873318257499693,8.52794205721788e-05,0.09986756815902993,0.5516400161103175,3.0888272485010866e-08,0.0007110528644435575,0.0009190024970595784,0,160,distance_boundary_and_eikonal_tolerances,73,7.247042055383673e-15
4,1.6675135734542244,1.091696866429966,0.26999999999999996,0.0033225216717569944,0.0026291023017630815,0.00011462443228502865,0.0956637894674401,0.5755652788887062,2.386187985398136e-08,0.0007807979823434793,0.0009190024970595784,0,200,distance_boundary_and_eikonal_tolerances,97,1.2952995515608968e-14
5,1.5861792551649776,1.0615757217433586,0.08099999999999999,0.002907657689185808,0.002431097443367702,0.00012044145321179495,0.0999907339900337,0.6138960749596755,1.7442138793184736e-08,0.0009069553007103318,0.0009190024970595784,0,180,distance_boundary_and_eikonal_tolerances,121,1.3861243381748265e-14
6,1.5783245140885631,1.0589685371173527,0.024299999999999995,0.0002366287073162343,0.00028997575508336794,8.620053731014192e-05,0.09575098373290176,0.6151380624840987,1.729763105884699e-08,0.0009092878799730562,0.0009190024970595784,3,180,distance_boundary_and_eikonal_tolerances,151,1.3861243381748265e-14
7,1.574588060061191,1.0578534047201247,0.007289999999999998,0.00012828602898025558,0.00015161744927219705,7.940155814031984e-05,0.09684029713480873,0.6133200645040502,2.0155034444581735e-08,0.0009159469805661705,0.0009190024970595784,4,160,distance_boundary_and_eikonal_tolerances,183,1.3861243381748265e-14
8,1.5723209847440782,1.0573787581775853,2.1869999999999994,5.563583939639486e-05,0.00010296731575755864,7.265299291457041e-05,0.09297373496887164,0.5998211380837111,2.6329568667904715e-08,0.000912516022573316,0.0009190024970595784,21,180,distance_boundary_and_eikonal_tolerances,249,1.3861243381748265e-14
9,1.5693247926693963,1.0564704929272768,0.6560999999999998,0.00010281535518421185,0.00015935010507983464,9.136367005416288e-05,0.09089819770378958,0.5906879408806787,2.445993876562004e-08,0.000907591832718111,0.0009190024970595784,3,180,distance_boundary_and_eikonal_tolerances,279,1.3861243381748265e-14
