[initialization] random MLP -> wrong ellipse contour
[initialization] redistance=distance_boundary_and_eikonal_tolerances/500, heldout=3.060 mm, boundary=0.252 mm, eikonal=9.618e-02, best_step=500
[oracle] nystrom_ref independent Nystrom/Muller solution of the exact star
[modes] ka_max=6.91 on the initial contour -> wave limit 9, 24-angle limit 11; using 5

[KRESS] alternating MLP inverse
  KRESS iter=00 loss=2.2236e+00 rel=1.1941e+00 step=0.000 mm curve=0.000 mm projection=0.000 mm tail=0.719/0.919 mm tail_rejects=0 eikonal=9.797e-02 redistance=initialized/0
  KRESS iter=01 loss=1.9938e+00 rel=1.1613e+00 step=2.305 mm curve=2.054 mm projection=0.073 mm tail=0.692/0.919 mm tail_rejects=0 eikonal=9.466e-02 redistance=distance_boundary_and_eikonal_tolerances/220
  KRESS iter=02 loss=1.9156e+00 rel=1.1488e+00 step=0.806 mm curve=0.890 mm projection=0.097 mm tail=0.692/0.919 mm tail_rejects=0 eikonal=9.331e-02 redistance=distance_boundary_and_eikonal_tolerances/200
  KRESS iter=03 loss=1.7913e+00 rel=1.1249e+00 step=1.935 mm curve=1.587 mm projection=0.085 mm tail=0.711/0.919 mm tail_rejects=0 eikonal=9.987e-02 redistance=distance_boundary_and_eikonal_tolerances/160
  KRESS iter=04 loss=1.6675e+00 rel=1.0917e+00 step=3.323 mm curve=2.629 mm projection=0.115 mm tail=0.781/0.919 mm tail_rejects=0 eikonal=9.566e-02 redistance=distance_boundary_and_eikonal_tolerances/200
  KRESS iter=05 loss=1.5862e+00 rel=1.0616e+00 step=2.908 mm curve=2.431 mm projection=0.120 mm tail=0.907/0.919 mm tail_rejects=0 eikonal=9.999e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=06 loss=1.5783e+00 rel=1.0590e+00 step=0.237 mm curve=0.290 mm projection=0.086 mm tail=0.909/0.919 mm tail_rejects=3 eikonal=9.575e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=07 loss=1.5746e+00 rel=1.0579e+00 step=0.128 mm curve=0.152 mm projection=0.079 mm tail=0.916/0.919 mm tail_rejects=4 eikonal=9.684e-02 redistance=distance_boundary_and_eikonal_tolerances/160
  KRESS iter=08 loss=1.5723e+00 rel=1.0574e+00 step=0.056 mm curve=0.103 mm projection=0.073 mm tail=0.913/0.919 mm tail_rejects=21 eikonal=9.297e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=09 loss=1.5693e+00 rel=1.0565e+00 step=0.103 mm curve=0.159 mm projection=0.091 mm tail=0.908/0.919 mm tail_rejects=3 eikonal=9.090e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=10 loss=1.5648e+00 rel=1.0550e+00 step=0.168 mm curve=0.231 mm projection=0.084 mm tail=0.917/0.919 mm tail_rejects=3 eikonal=9.423e-02 redistance=distance_boundary_and_eikonal_tolerances/160
  KRESS iter=11 loss=1.5641e+00 rel=1.0547e+00 step=0.057 mm curve=0.077 mm projection=0.076 mm tail=0.906/0.919 mm tail_rejects=5 eikonal=9.062e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=12 loss=1.5585e+00 rel=1.0523e+00 step=0.260 mm curve=0.262 mm projection=0.072 mm tail=0.918/0.919 mm tail_rejects=3 eikonal=9.386e-02 redistance=distance_boundary_and_eikonal_tolerances/160
  KRESS iter=13 loss=1.5559e+00 rel=1.0514e+00 step=0.134 mm curve=0.164 mm projection=0.081 mm tail=0.912/0.919 mm tail_rejects=4 eikonal=9.036e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=14 loss=1.5519e+00 rel=1.0502e+00 step=0.138 mm curve=0.144 mm projection=0.070 mm tail=0.909/0.919 mm tail_rejects=4 eikonal=8.899e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=15 loss=1.5465e+00 rel=1.0476e+00 step=0.280 mm curve=0.319 mm projection=0.064 mm tail=0.919/0.919 mm tail_rejects=3 eikonal=8.814e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=16 loss=1.5433e+00 rel=1.0464e+00 step=0.139 mm curve=0.143 mm projection=0.069 mm tail=0.916/0.919 mm tail_rejects=4 eikonal=8.691e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=17 loss=1.5411e+00 rel=1.0453e+00 step=0.138 mm curve=0.132 mm projection=0.072 mm tail=0.917/0.919 mm tail_rejects=4 eikonal=8.600e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=18 loss=1.5373e+00 rel=1.0440e+00 step=0.139 mm curve=0.172 mm projection=0.111 mm tail=0.917/0.919 mm tail_rejects=4 eikonal=8.475e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=19 loss=1.5356e+00 rel=1.0436e+00 step=0.069 mm curve=0.097 mm projection=0.063 mm tail=0.918/0.919 mm tail_rejects=5 eikonal=8.433e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=20 loss=1.5323e+00 rel=1.0422e+00 step=0.141 mm curve=0.134 mm projection=0.051 mm tail=0.914/0.919 mm tail_rejects=4 eikonal=8.369e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=21 loss=1.5292e+00 rel=1.0409e+00 step=0.139 mm curve=0.168 mm projection=0.054 mm tail=0.914/0.919 mm tail_rejects=4 eikonal=8.292e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=22 loss=1.5277e+00 rel=1.0403e+00 step=0.069 mm curve=0.078 mm projection=0.038 mm tail=0.912/0.919 mm tail_rejects=5 eikonal=8.168e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=23 loss=1.5256e+00 rel=1.0397e+00 step=0.070 mm curve=0.093 mm projection=0.044 mm tail=0.916/0.919 mm tail_rejects=5 eikonal=8.134e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=24 loss=1.5245e+00 rel=1.0392e+00 step=0.070 mm curve=0.118 mm projection=0.063 mm tail=0.916/0.919 mm tail_rejects=5 eikonal=8.093e-02 redistance=distance_boundary_and_eikonal_tolerances/180
  KRESS iter=25 loss=1.5234e+00 rel=1.0387e+00 step=0.070 mm curve=0.087 mm projection=0.050 mm tail=0.915/0.919 mm tail_rejects=5 eikonal=7.962e-02 redistance=distance_boundary_and_eikonal_tolerances/180

Artifacts: /home/drdeng/Neural_SDF_BEM_AD/results/inverse_solver_comparison/mlp-fixed-ellipse-to-star-kress-20260903
