iteration,loss,relative_l2_error,applied_damping,maximum_modal_field_update_m,curve_change_m,redistance_curve_drift_m,eikonal_rms,eikonal_maximum_deviation,maximum_curve_field_residual,redistance_steps,redistance_stop_reason,evaluation_count,maximum_system_residual
0,1.4569779068399922,1.1983362858073157,0.0,0.0,0.0,0.0,0.1035290179060815,0.4300899494994429,2.067940201402104e-07,0,initialized,1,3.930839651453294e-15
1,1.36773041272275,1.1626453567804322,10.0,0.0016658469855220677,0.0021167378356364585,0.00010084898138012314,0.10301438394241694,0.379453210964969,1.3912356335000174e-07,100,distance_boundary_and_eikonal_tolerances,33,4.492907000174154e-15
2,1.3373349491973663,1.1503147429186376,30.0,0.0005535014410883901,0.0016656822366724916,0.0001573025447879677,0.10217335216351524,0.41350400743823756,1.1151673825820704e-07,160,distance_boundary_and_eikonal_tolerances,65,4.889113437301533e-15
3,1.2516287458744553,1.1146397149904639,9.0,0.0016884438367127455,0.0024327472590351734,0.00012202756246018847,0.10054065940543677,0.4562243294678223,9.24934766364377e-08,160,distance_boundary_and_eikonal_tolerances,97,5.408481600846864e-15
4,1.221837756315086,1.1019705072842942,26.999999999999996,0.0006045836466272807,0.0016624041909102587,0.00014050076472330315,0.09946043954601402,0.47220725409920794,9.373775118875355e-08,160,distance_boundary_and_eikonal_tolerances,129,5.408481600846864e-15
5,1.1382167967483245,1.0654423653130274,8.099999999999998,0.0017324543606984245,0.0024131945877123606,0.00015656330321023418,0.09913953278061588,0.46873543937414597,6.077662359103495e-08,160,distance_boundary_and_eikonal_tolerances,161,6.8024866120959565e-15
6,1.1109212736446432,1.0531663944768335,24.299999999999994,0.0006050556713795293,0.0016858634347143493,0.00011857995513485779,0.09934380870715526,0.4700307780982318,6.696493189996267e-08,160,distance_boundary_and_eikonal_tolerances,193,6.8024866120959565e-15
7,1.0366656195895354,1.0187844660396903,7.289999999999997,0.0016540216456911799,0.0023056445224666996,0.00014944550356229126,0.09913499620377327,0.4401599226545647,7.629098451502475e-08,160,distance_boundary_and_eikonal_tolerances,225,6.8024866120959565e-15
8,0.8835118290152459,0.9428315821276121,2.186999999999999,0.003842102424239991,0.0044865091018362726,0.0001545913234596374,0.09853675549901812,0.3967736780134602,1.0127711808950723e-07,180,distance_boundary_and_eikonal_tolerances,257,7.837439084394225e-15
9,0.8274868678595271,0.9129642419444559,6.560999999999996,0.0018581877874268024,0.002766133157024692,0.0001342714947147732,0.0942231596697427,0.32377556212445735,1.5745965322496586e-07,180,distance_boundary_and_eikonal_tolerances,289,9.274066795660551e-15
10,0.8068678863031951,0.9016992487719926,19.68299999999999,0.0007606080136696768,0.001806471443814634,4.406039270117703e-05,0.09873029701156456,0.31106252313248295,1.662148013774345e-07,140,distance_boundary_and_eikonal_tolerances,321,1.059827528223388e-14
11,0.7480155302435654,0.8686866882582075,5.904899999999997,0.002253399184687243,0.0032010853480856647,0.00012699964295513348,0.09331621506448369,0.2955088046452067,2.0125366192308425e-07,180,distance_boundary_and_eikonal_tolerances,353,1.0938393422409127e-14
12,0.728070928239521,0.8571620983406526,17.71469999999999,0.000854539936193215,0.0018217405071783864,0.00011659532019909786,0.09475664979333102,0.2919588310100927,2.216141985261419e-07,160,distance_boundary_and_eikonal_tolerances,385,1.0938393422409127e-14
13,0.67212629171131,0.8240146263455013,5.314409999999997,0.0023919427487916287,0.0031048743820878784,0.00015876965512706995,0.09280070811689332,0.3427083184918476,2.40801846409025e-07,180,distance_boundary_and_eikonal_tolerances,417,1.1276939035338573e-14
14,0.655257424555181,0.8137069004130562,15.943229999999991,0.0007830675711769785,0.0009134086004978429,0.0001423551774954735,0.09593794452533581,0.3738693570726488,2.431716023647279e-07,160,distance_boundary_and_eikonal_tolerances,449,1.1276939035338573e-14
15,0.609112242750634,0.7847520136025999,4.782968999999997,0.0021546832081434926,0.0027766220110877044,0.00017964870683457476,0.09494033084647903,0.43204700806659213,2.427975506862079e-07,180,distance_boundary_and_eikonal_tolerances,481,1.1276939035338573e-14
