iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_radius,raw_network_output_weight[0],raw_network_output_weight[1],raw_network_output_weight[2],raw_network_output_weight[3],gradient_center_x,gradient_center_y,gradient_log_radius,gradient_network_output_weight[0],gradient_network_output_weight[1],gradient_network_output_weight[2],gradient_network_output_weight[3],step_center_x,step_center_y,step_log_radius,step_network_output_weight[0],step_network_output_weight[1],step_network_output_weight[2],step_network_output_weight[3]
0,0.82963533180698,0.9298030413186434,0.48,0.52,0.06,0.001,15,6.124087904294581e-16,1.8491998696699739,1.7272625509649515,0.0,0.48,0.52,-2.8134107167600364,0.8,-0.6,0.7,-0.5,-26.74081343913017,34.46709998931325,1.5771003691353749,-0.04009672042542364,-0.05621541587268765,0.07471328414834669,-0.01414226137521803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3838008703665535,0.6352689347054717,0.48192094573568806,0.51,0.054290245082157566,0.001,30,4.974568195665779e-16,1.6722711017355323,1.5598577735945582,0.11238945834338665,0.48192094573568806,0.51,-2.9134107167600365,0.55,-0.85,0.44999999999999996,-0.75,-24.804000274731376,21.543520099920165,0.7543845525687489,-0.042471064030107974,-0.02373310335371888,0.06188249603745566,0.0044982580699740975,0.0019209457356880733,-0.010000000000000009,-0.10000000000000009,-0.25,-0.25,-0.25,-0.25
2,0.17701205867258415,0.4327687733114081,0.48223862970359305,0.5,0.0491238451846789,0.0003,45,4.729383257969201e-16,1.5588303934782743,1.4558080025017262,0.10299962479621172,0.48223862970359305,0.5,-3.0134107167600366,0.6912728273952676,-1.0,0.19999999999999996,-1.0,-22.030484806182365,6.078299772692357,0.05465229503206951,-0.04314418393219013,0.007249664751504621,0.04923195114313999,0.023114880726059522,0.0003176839679049914,-0.010000000000000009,-0.10000000000000009,0.1412728273952676,-0.15000000000000002,-0.25,-0.25
3,0.09347192464566513,0.3143152692374248,0.4869955060816747,0.49,0.04768079728494155,8.999999999999999e-05,60,4.77433473818805e-16,1.488134858198464,1.3898999942466617,0.09821109287440777,0.4869955060816747,0.49,-3.0432265347846967,0.9412728273952676,-1.0,0.008262812006326697,-1.0,-13.600495530121998,-9.32849145039131,-0.1869441868035016,-0.03373374973792066,0.028984457023148856,0.029130384436111913,0.032694689876421684,0.0047568763780816425,-0.010000000000000009,-0.029815818024660157,0.25,0.0,-0.19173718799367326,0.0
4,0.012463116538255659,0.11487833542294344,0.4969955060816747,0.5,0.04942192690163884,2.6999999999999996e-05,75,4.793055370898684e-16,1.4519984172657132,1.3486535977572203,0.10332040581852198,0.4969955060816747,0.5,-3.0073610888612814,1.0,-0.9651726722225701,0.2582628120063267,-0.75,0.8552085241726932,6.263747634346576,-0.0014940323898511472,0.005680213367880242,-0.013430294610080684,-0.0015875629159294328,-0.011249865854161187,0.010000000000000009,0.010000000000000009,0.03586544592341534,0.05872717260473237,0.03482732777742992,0.25,0.25
5,0.011887577872886822,0.1122206190584826,0.4984216058637631,0.5000820058459292,0.049731808725626145,8.099999999999999e-06,91,4.699917757887379e-16,1.3153726421296597,1.1507820822298527,0.16457190178334713,0.4984216058637631,0.5000820058459292,-3.001110536001429,0.875,-0.8401726722225701,0.13326281200632673,-0.625,2.766063627265114,5.595921693900597,0.02441256328516888,0.00947477897892858,-0.0139150057283349,-0.006011611381794801,-0.013221156745868512,0.001426099782088408,8.200584592921167e-05,0.00625055285985221,-0.125,0.125,-0.125,0.125
6,0.00875294536291858,0.09628111430101922,0.4999919602703362,0.5000032072754448,0.05001430019983972,2.4299999999999994e-05,115,4.775496310736153e-16,1.9787900745868683,1.1516049383208156,0.8271678602322936,0.4999919602703362,0.5000032072754448,-2.995446310448543,0.625,-0.5901726722225701,0.038617546738971456,-0.375,3.8724817079827254,3.7298649743015955,0.03233396293468955,0.010759746016781455,-0.011186575170742025,-0.00868167028013827,-0.012018401992284582,0.0015703544065731045,-7.879857048442851e-05,0.0056642255528860375,-0.25,0.25,-0.09464526526735527,0.25
7,0.002540316242849799,0.051870373327060904,0.5003034546552043,0.5001075790069285,0.04999403637939669,7.289999999999998e-06,130,4.663198399586163e-16,1.2273634485900402,1.1451234687119722,0.08222126681357622,0.5003034546552043,0.5001075790069285,-2.995851553079577,0.375,-0.3401726722225701,0.17405042046147973,-0.125,1.9941115617470722,2.102689111919036,0.007167586015557445,0.0056497398777108545,-0.0061478356694813895,-0.004457774723532435,-0.006497178503397692,0.0003114943848681051,0.00010437173148369894,-0.0004052426310336976,-0.25,0.25,0.13543287372250828,0.25
8,0.00010427183343653507,0.010509504645026613,0.5001996557756514,0.5000829119018586,0.04999370009066214,2.186999999999999e-06,145,4.651789586591785e-16,1.229771327227354,1.1484099822118878,0.0813439479097724,0.5001996557756514,0.5000829119018586,-2.9958582796791866,0.125,-0.09017267222257008,0.08556801822950845,0.06559286570403938,0.4192899069051673,0.40876411831863,-0.00039103712710363236,0.0011725168540907762,-0.0012222748974366816,-0.00093941894539124,-0.001304556635449102,-0.00010379887955291878,-2.466710506987546e-05,-6.726599609763184e-06,-0.25,0.25,-0.08848240223197128,0.19059286570403938
9,2.52595948355918e-09,5.211930748127637e-05,0.5000155871954359,0.5000053792276035,0.04999935507918538,6.560999999999997e-07,160,4.70593731129149e-16,1.2285469081252813,1.1467043366283178,0.08182475622743368,0.5000155871954359,0.5000053792276035,-2.9957451720534687,0.0031297625628849968,-0.0010074678772723916,0.006283086279297287,0.005958056958612429,-0.00023418191846466885,-0.00017750951051261413,-6.108496092372372e-05,-2.9209751861805964e-07,6.598910638419721e-07,5.759570053817642e-07,1.1455218010219238e-06,-0.00018406858021546846,-7.753267425514299e-05,0.0001131076257179231,-0.121870237437115,0.08916520434529769,-0.07928493195021116,-0.059634808745426954
10,3.736315613650323e-14,2.0157076935102918e-07,0.5000001095458263,0.5000000344689542,0.05000000137154795,1.9682999999999992e-07,175,4.919955475416828e-16,1.226218331605196,1.1431747814640403,0.08302409574389458,0.5000001095458263,0.5000000344689542,-2.9957322461230325,7.853352543876844e-06,5.319582691752861e-06,4.144954363408029e-05,1.833608898205684e-05,-2.281649401610997e-07,-8.82641992643868e-07,1.3017221861949044e-07,-1.0744429661114356e-09,1.876266848718969e-09,1.7661049068114835e-09,2.8263983154780162e-09,-1.547764960962983e-05,-5.3447586492172405e-06,1.292593043622503e-05,-0.00312190921034112,0.0010127874599641445,-0.006241636735663207,-0.005939720869630372
