iteration,loss,relative_l2_error,center_x_m,center_y_m,radius_m,damping,evaluation_count,maximum_system_residual,iteration_seconds,jacobian_seconds,line_search_seconds,raw_center_x,raw_center_y,raw_log_mean_radius,raw_amplitude,raw_rotation,gradient_center_x,gradient_center_y,gradient_log_mean_radius,gradient_amplitude,gradient_rotation,step_center_x,step_center_y,step_log_mean_radius,step_amplitude,step_rotation
0,1.4504218950785246,1.1955320327477328,0.48,0.52,0.06,0.001,11,4.593051827882253e-15,6.5973383048549294,6.005466282367706,0.0,0.48,0.52,-2.8134107167600364,0.12,0.25,-17.579601306352533,18.606370094263447,-1.8535071925258808,2.366224800844757,0.28726142469726335,0.0,0.0,0.0,0.0,0.0
1,1.0730862686713427,1.0371744668677616,0.4822706220022151,0.517794928116204,0.0653757705108003,0.001,22,4.099881710080858e-15,6.717419288121164,6.114527487196028,0.6028731232509017,0.4822706220022151,0.517794928116204,-2.7276035706504387,0.05,0.22343485098307164,-18.32114023358693,20.782719627645598,-0.44562403848335075,1.2750860338346874,0.1700823731689818,0.002270622002215117,-0.0022050718837960392,0.08580714610959772,-0.06999999999999999,-0.026565149016928358
2,0.8652730515213702,0.9237895373178511,0.4873948288030789,0.5112635009699864,0.06618146203831804,0.0003,33,4.646137470056522e-15,6.917204672470689,6.3042157758027315,0.6129698678851128,0.4873948288030789,0.5112635009699864,-2.7153548848874514,0.05,0.13593861429596205,-18.065805763448076,9.168540536592266,0.9277420190697225,0.7670623178643236,0.13995426701967345,0.005124206800863784,-0.006531427146217572,0.012248685762987321,0.0,-0.0874962366871096
3,0.7204169728643086,0.8364270284656584,0.49266273728185433,0.5077587833938885,0.06522151075522546,8.999999999999999e-05,44,4.088839951372122e-15,6.930124660953879,6.302457861602306,0.6276479056105018,0.49266273728185433,0.5077587833938885,-2.7299659449023475,0.05,0.067234321827688,-13.429011525351967,8.298147576554241,1.900534794595653,-0.0024802860599266174,0.12541615994054428,0.0052679084787754515,-0.0035047175760979377,-0.014611060014896093,0.0,-0.06870429246827404
4,0.572631131247888,0.7406367836463544,0.49676510300204124,0.504306993485673,0.06306387306596585,2.6999999999999996e-05,55,2.5671672935427404e-15,6.721654777415097,6.11476822104305,0.606867085210979,0.49676510300204124,0.504306993485673,-2.7636072080077643,0.05,0.0014452728087236272,-8.03562547347608,9.715361019318529,1.822757832313454,-1.238058472884547,0.008107009759233397,0.004102365720186907,-0.0034517899082154857,-0.03364126310541682,0.0,-0.06578904901896437
5,0.3906834780106893,0.6096797317896162,0.4989474459541528,0.5015710790861435,0.060472634326786734,8.099999999999999e-06,66,2.6161376838076127e-15,6.616482215002179,6.0117758037522435,0.6046866392716765,0.4989474459541528,0.5015710790861435,-2.8055643414523117,0.0934047675280299,-0.0028535161111113497,-4.463401540888751,6.821833039796765,2.118001222775778,-1.4224147420228317,-0.02322110868104372,0.00218234295211156,-0.002735914399529471,-0.041957133444547434,0.043404767528029894,-0.004298788919834977
6,0.14742548613534073,0.3735332268343143,0.4997196111476407,0.5004169236161251,0.055951619218504674,2.4299999999999996e-06,77,4.029800073950864e-15,6.626645229756832,6.0252794260159135,0.6013470711186528,0.4997196111476407,0.5004169236161251,-2.883267904187122,0.15564124941532725,0.0009709121523469163,-1.9766767314683777,2.9667308736545017,1.53903487464732,-1.2545001009678518,0.015523639261680582,0.0007721651934878837,-0.0011541554700184031,-0.07770356273481038,0.06223648188729736,0.003824428263458266
7,0.00563873258983924,0.07282878490314255,0.4999568747841112,0.5000627712339623,0.05095968340752791,7.289999999999998e-07,88,5.195505521059977e-15,6.671823843382299,6.072311842814088,0.5994926672428846,0.4999568747841112,0.5000627712339623,-2.976720480305661,0.22666291427404361,-0.00016001038588960687,-0.35671935915169295,0.5169945129022514,0.22695493161138777,-0.31006525958917475,-0.003446380515751183,0.0002372636364705305,-0.0003541523821628534,-0.09345257611853874,0.07102166485871636,-0.0011309225382365232
8,8.606547500996761e-06,0.002832196925510759,0.49999939617761885,0.5000009127882276,0.05000343096259881,2.1869999999999994e-07,99,5.556675043822213e-15,6.74493198748678,6.129509328864515,0.6154017234221101,0.49999939617761885,0.5000009127882276,-2.995663656656208,0.24886658059183028,7.130492751182977e-06,-0.004867401819199572,0.007644605086275264,-0.0010778855562481736,-0.01519278738688323,0.00016321156759180127,4.2521393507632954e-05,-6.185844573469712e-05,-0.01894317635054721,0.02220366631778667,0.00016714087864078985
9,5.447702388685225e-11,7.152940856197225e-06,0.5000000015295772,0.49999999693465,0.049999899452462644,6.560999999999998e-08,110,5.5070499359141614e-15,6.772597959265113,6.153920590877533,0.6186585277318954,0.5000000015295772,0.49999999693465,-2.99573428450676,0.2500038270313319,-1.557793401617768e-07,1.805522278118032e-06,-3.806920989961875e-06,-4.430844645048558e-06,-2.164429295749155e-05,-4.6582174753366915e-07,6.053519583937295e-07,-9.158535775322107e-07,-7.062785055200749e-05,0.0011372464395016102,-7.286272091344754e-06
10,3.6891448707813336e-11,5.880771954407011e-06,0.5000000012754936,0.4999999973694152,0.049999905376549116,1.9682999999999992e-08,121,5.234820401518319e-15,6.682283882983029,6.0701896930113435,0.6120757749304175,0.5000000012754936,0.4999999973694152,-2.9957341660247994,0.2500054271999871,-1.3519614467670297e-07,1.6374052620289707e-09,1.5288960935646423e-10,2.3843803178438778e-11,4.0144502466663604e-10,4.695110260825564e-11,-2.54083643014269e-10,4.3476516831120193e-10,1.1848196068697803e-07,1.600168655191414e-06,2.0583195485073838e-08
