status,shape,source_kind,num_nodes,frequency_ghz,frequency_hz,reference_kind,reference_nodes,receiver_absolute_error_l2,receiver_relative_error_l2,receiver_mixed_relative_error_l2,receiver_max_absolute_error,receiver_adjacent_relative_difference,receiver_error_ratio_to_previous,receiver_reference_l2,receiver_observed_l2,trace_reference_kind,dirichlet_trace_relative_error_l2,neumann_trace_relative_error_l2,maximum_trace_relative_error_l2,condition_number_2,linear_system_relative_residual,maximum_per_source_residual,incident_representation_leak,circle_delta_v_scaled_action_error,circle_delta_k_scaled_action_error,circle_delta_kp_scaled_action_error,circle_delta_t_scaled_action_error,circle_max_scaled_block_action_error,overlap_pair_count,overlap_max_relative_error,near_pair_count,direct_pair_count,minimum_speed,speed_ratio,area,perimeter,retained_block_bytes,retained_system_matrix_bytes,retained_core_dense_bytes,k_exterior_real,k_exterior_imag,k_interior_real,k_interior_imag,block_build_seconds,matrix_composition_seconds,system_assembly_seconds,condition_seconds,solve_seconds,receiver_seconds,forward_total_seconds,measured_total_seconds,reference_seconds,reference_relative_residual,reference_incident_consistency,timing_repeats,largest_n_gate,failure_reason
ok,circle,analytic,64,0.5,500000000.0,analytic_mie_series,,6.110438786538858e-17,1.5715062190986182e-15,1.5715062190986182e-15,2.715271730114205e-17,,,0.0388826891823799,0.038882689182379915,analytic_mie_series,1.0090660671043012e-15,1.2738581124177744e-15,1.2738581124177744e-15,119.3422255339372,4.859907849952667e-16,5.02923035741857e-16,7.087043794790038e-17,2.250078771777698e-16,3.8396606261861596e-16,3.360846517703503e-16,2.5900335539967284e-15,2.5900335539967284e-15,256,9.212144727533151e-15,768,3264,0.05,1.0000000000000002,0.007853981633974483,0.3141592653589793,262144,262144,524288,25.668754417769875,0.0,18.150550313417227,0.0,0.010071206837892532,4.148110747337341e-05,0.010123887099325657,0.0014304807409644127,0.0002708854153752327,0.0006686728447675705,0.011950833722949028,0.013447219505906105,0.002060490660369396,,,3,diagnostic,
ok,circle,analytic,128,0.5,500000000.0,analytic_mie_series,,5.301560159604079e-17,1.3634756934472877e-15,1.3634756934472877e-15,2.343482367555115e-17,1.2002404261923247e-15,0.8676234792308666,0.0388826891823799,0.03888268918237991,analytic_mie_series,1.0072445931037268e-15,1.250548199703116e-15,1.250548199703116e-15,119.34222553393735,6.189290646869508e-16,6.524903740783995e-16,1.1679124402928695e-16,2.233982725056553e-16,3.928832733924425e-16,2.7939088178673626e-16,2.5687526715125774e-15,2.5687526715125774e-15,256,9.212144727533151e-15,3072,13184,0.049999999999999996,1.0000000000000002,0.007853981633974485,0.3141592653589793,1048576,1048576,2097152,25.668754417769875,0.0,18.150550313417227,0.0,0.03522827383130789,0.00010935217142105103,0.035349260084331036,0.008583653718233109,0.00160948745906353,0.0009293239563703537,0.03863198682665825,0.04716801177710295,0.002060490660369396,,,3,diagnostic,
ok,circle,analytic,256,0.5,500000000.0,analytic_mie_series,,5.611099775661108e-17,1.4430842860024809e-15,1.4430842860024809e-15,1.9778890766513102e-17,1.236990962006595e-15,1.0583865139201112,0.0388826891823799,0.03888268918237991,analytic_mie_series,1.0548424993624477e-15,1.2810568418626885e-15,1.2810568418626885e-15,119.34222553393711,6.152137430917293e-16,6.346638264299318e-16,7.337461906629579e-17,2.068071238142393e-16,3.807787180988163e-16,2.7062865397546657e-16,2.5672983328682005e-15,2.5672983328682005e-15,256,9.212144727533151e-15,12288,52992,0.049999999999999996,1.0000000000000002,0.007853981633974478,0.3141592653589793,4194304,4194304,8388608,25.668754417769875,0.0,18.150550313417227,0.0,0.13525453861802816,0.0007709367200732231,0.13603166863322258,0.05398896615952253,0.01170225441455841,0.0015094857662916183,0.15017402917146683,0.2041197819635272,0.002060490660369396,,,3,pass,
ok,circle,analytic,64,2.5,2500000000.0,analytic_mie_series,,1.1225926258071353e-15,1.719280380961455e-14,1.719280380961455e-14,5.98617858301563e-16,,,0.06529433117705676,0.06529433117705682,analytic_mie_series,7.79409811522686e-14,1.827835444738293e-14,7.79409811522686e-14,12056.462541495654,6.851994554343725e-15,1.0514566976565862e-14,4.536006388307311e-16,6.3374947059745e-16,3.2293351031450368e-15,3.044483239934647e-15,1.6465658315499388e-14,1.6465658315499388e-14,128,4.98549109634324e-15,128,3904,0.05,1.0000000000000002,0.007853981633974483,0.3141592653589793,262144,262144,524288,128.34377208884936,0.0,90.75275156708614,0.0,0.01725662499666214,4.045851528644562e-05,0.017310106195509434,0.0012524612247943878,0.00028601381927728653,0.0005546817556023598,0.018722306936979294,0.02000290621072054,0.0026059597730636597,,,3,diagnostic,
ok,circle,analytic,128,2.5,2500000000.0,analytic_mie_series,,7.079633969070056e-16,1.0842647196848402e-14,1.0842647196848402e-14,4.3851462592535174e-16,1.3054939002537102e-14,0.6306503184073434,0.06529433117705676,0.06529433117705684,analytic_mie_series,6.428312542795651e-14,9.909248385576523e-15,6.428312542795651e-14,12056.462541495659,2.9748838447325206e-15,3.4128396850986263e-15,2.5109186481238606e-16,7.374050580101963e-16,3.6234866997462525e-15,2.9653313930160035e-15,1.6512286945072488e-14,1.6512286945072488e-14,256,4.985491096343221e-15,512,15744,0.049999999999999996,1.0000000000000002,0.007853981633974485,0.3141592653589793,1048576,1048576,2097152,128.34377208884936,0.0,90.75275156708614,0.0,0.06502545159310102,0.00011440925300121307,0.06515367422252893,0.007749311625957489,0.001633928157389164,0.0007253419607877731,0.0682496428489685,0.07604833040386438,0.0026059597730636597,,,3,diagnostic,
ok,circle,analytic,256,2.5,2500000000.0,analytic_mie_series,,1.0388784256417953e-15,1.5910698630554904e-14,1.5910698630554904e-14,4.575758607539688e-16,1.3454316307424383e-14,1.467418273572492,0.06529433117705676,0.06529433117705684,analytic_mie_series,1.8670298132911637e-13,1.7571357088995046e-14,1.8670298132911637e-13,12056.462541495577,4.30500936332388e-15,5.075346816035388e-15,1.6107954837323298e-16,7.332410561739866e-16,3.638621065688208e-15,3.0347502953420132e-15,1.714380719807507e-14,1.714380719807507e-14,256,8.33292453913897e-15,2048,63232,0.049999999999999996,1.0000000000000002,0.007853981633974478,0.3141592653589793,4194304,4194304,8388608,128.34377208884936,0.0,90.75275156708614,0.0,0.2548286011442542,0.0007706601172685623,0.25553519651293755,0.0505506070330739,0.011010236106812954,0.001089063473045826,0.2691058563068509,0.31980808172374964,0.0026059597730636597,,,3,pass,
ok,circle,analytic,64,8.0,8000000000.0,analytic_mie_series,,0.0002270526796016656,0.00882695800535339,0.00882695800535339,7.642980846314616e-05,,,0.025722641873220906,0.025583936975674834,analytic_mie_series,0.009744797722472717,0.0065162424504922375,0.009744797722472717,527046.18710547,3.586667790434288e-15,4.2758854363797644e-15,1.5680212713877548e-15,7.661290718597963e-08,1.3300274880509293e-06,1.3300274880661807e-06,2.3178454799184736e-05,2.3178454799184736e-05,0,,0,4032,0.05,1.0000000000000002,0.007853981633974483,0.3141592653589793,262144,262144,524288,410.700070684318,0.0,290.40880501467564,0.0,0.013353200629353523,3.887247294187546e-05,0.013403496704995632,0.001269669272005558,0.0002848096191883087,0.000505007803440094,0.01473685447126627,0.01602839771658182,0.006176916882395744,,,3,diagnostic,
ok,circle,analytic,128,8.0,8000000000.0,analytic_mie_series,,1.3284654018377042e-15,5.16457605087886e-14,5.16457605087886e-14,6.221675060750206e-16,0.008826958005354404,5.850912678803545e-12,0.025722641873220906,0.025722641873220608,analytic_mie_series,6.285104084725396e-14,4.187543603330502e-14,6.285104084725396e-14,505739.04106455337,7.688110332999757e-15,8.584371817139362e-15,1.5688234309344755e-15,5.972968338665512e-16,6.982636177418824e-15,9.250492051123879e-15,1.294816655802717e-13,1.294816655802717e-13,256,2.366981320574131e-15,0,16256,0.049999999999999996,1.0000000000000002,0.007853981633974485,0.3141592653589793,1048576,1048576,2097152,410.700070684318,0.0,290.40880501467564,0.0,0.053327128291130066,0.00010834448039531708,0.05344529263675213,0.007768954150378704,0.0016310261562466621,0.0006775353103876114,0.056466979905962944,0.06428317166864872,0.006176916882395744,,,3,diagnostic,
ok,circle,analytic,256,8.0,8000000000.0,analytic_mie_series,,1.1516651787276757e-15,4.4772429846198685e-14,4.4772429846198685e-14,4.84729125121099e-16,4.1463107303412246e-14,0.8669139423085797,0.025722641873220906,0.025722641873220937,analytic_mie_series,1.5136979142589816e-13,3.0918836291887645e-14,1.5136979142589816e-13,505739.0410642959,1.11982557998648e-14,1.3348845887556827e-14,9.119668339974865e-16,5.20815929086012e-16,6.039234675482681e-15,8.969338788955281e-15,1.2512517413890552e-13,1.2512517413890552e-13,256,7.374212510678988e-15,512,64768,0.049999999999999996,1.0000000000000002,0.007853981633974478,0.3141592653589793,4194304,4194304,8388608,410.700070684318,0.0,290.40880501467564,0.0,0.21032433863729239,0.0006655193865299225,0.21105058211833239,0.049975342117249966,0.011010505259037018,0.0010095098987221718,0.22441242169588804,0.2743889531120658,0.006176916882395744,,,3,pass,
ok,ellipse,analytic,64,0.5,500000000.0,independent_nystrom_ref_frozen_high_N,512,3.260683946579526e-15,8.570680063536777e-14,8.570680063536777e-14,1.4244900232955457e-15,,,0.03804463499287327,0.038044634992875255,nystrom_ref_periodic_resample,1.6136758525616785e-14,4.3450901014576185e-13,4.3450901014576185e-13,96.12217673190912,4.900734003472423e-16,5.316240186643267e-16,8.748904909638544e-17,,,,,,256,5.830869011617042e-15,696,3336,0.03571428571428572,1.9599999999999995,0.007853981633974478,0.3409035981126373,262144,262144,524288,25.668754417769875,0.0,18.150550313417227,0.0,0.010929666459560394,4.09446656703949e-05,0.01098120678216219,0.0014933329075574875,0.00027087610214948654,0.0006140638142824173,0.012460548430681229,0.01397201232612133,0.6744726076722145,6.304015459982332e-16,1.7311641793946378e-15,3,diagnostic,
